arm,step,group,candidate_mse_offdiag,centered_candidate_mse_offdiag,temporal_variance,speed_abs,near_duplicate_pairs_mse_lt_1e_8,minimum,maximum
MAM,archive,AU,0.18160834013281418,0.09683625356031686,0.08584599000440025,0.02040383542116754,0.0,0.0,1.0
MAM,archive,VA,0.11866587691100398,0.00673607722156948,0.020654446285143697,0.02890850424393059,0.0,-0.6980982393026351,0.7869407624006272
MAM,archive,expression,0.12108643084522437,0.02368162519953817,0.017973863029969034,0.014748507589665522,0.0,1.4789404094717186e-07,0.9997834905982017
R1,2000,AU,0.08739958009407961,0.03223301970066563,0.030916034527219978,0.04771519111747992,0.0,0.000983073192401207,0.9986189931631089
R1,2000,VA,0.6915315068342254,0.04879302588451455,0.02899726208717861,0.0385041702956954,0.0,-0.9956919632852077,0.9886413656175137
R1,2000,expression,0.09642985707714123,0.032924007750012516,0.024646152881320334,0.02807216121352261,0.0,3.38136095479058e-05,0.9948946595191955
R1,6000,AU,0.18633786474681088,0.130287125981116,0.06964236814669791,0.03882621446120864,0.0,3.7465600001951314e-06,0.9999449715018273
R1,6000,VA,0.3193333163090862,0.04649991473640695,0.02507094308612131,0.031114324483884053,0.0,-0.9609426930546761,0.8038107387721538
R1,6000,expression,0.11579280867911838,0.06393427535825864,0.03412522290546397,0.023708688443916697,0.0,3.9676358603024654e-07,0.9991007745265961
R2,2000,AU,0.031209596921461323,0.016520257784292513,0.034651859552955494,0.010794569307302321,0.0,0.0003192518332070904,0.9922218807041645
R2,2000,VA,0.001571175062294161,0.001032753747408245,0.02049127694028056,0.020995519304231956,0.0,-0.5567255690693855,0.39654348473995926
R2,2000,expression,0.013259522241722953,0.006832185851544374,0.019637392419707286,0.010369589188819408,0.0,1.6988891991331913e-05,0.9298258610069752
R2,6000,AU,0.060065295626111806,0.039267059749659064,0.05006035409980868,0.015289323133560778,0.0,1.1857331844566944e-05,0.999873910844326
R2,6000,VA,0.003429243219060628,0.0023483437706993135,0.017658540857424052,0.022962362995691158,0.0,-0.4760879840701818,0.4321821339428425
R2,6000,expression,0.023026211762336008,0.012952073937255375,0.023799268594771213,0.012475583197360933,0.0,1.4758987283869373e-06,0.9675191573798656
