arm,step,input_index,FRC,target_side_mean,one_to_one_mean,selected_slots,selected_distinct_content,unique_reference_contents,duplicate_reference_slots,selected_distinct_slots
MAM,archive,0,0.7461312490210537,0.0284918184144331,0.02393094578071894,"[9, 3, 9, 3, 9, 9, 9, 4, 9, 9]",3,10,0,3
MAM,archive,1,0.7186469842796341,0.05291503098071263,0.04295073556190615,"[8, 0, 8, 0, 8, 8, 8, 5, 8, 8]",3,10,0,3
MAM,archive,2,1.417341478024676,0.07071994528155914,0.06441794570224649,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,10,0,1
MAM,archive,3,0.810026363210211,0.04514616258289702,0.037847283018560184,"[0, 0, 9, 0, 5, 5, 5, 0, 0, 9]",3,10,0,3
MAM,archive,4,0.984788233699399,0.07227779473015064,0.06386753935287762,"[0, 3, 6, 0, 6, 6, 6, 0, 7, 6]",4,10,0,4
MAM,archive,5,1.4378146209854938,0.0565116110687678,0.045444774233902925,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 4]",2,10,0,2
MAM,archive,6,1.1493316294375964,0.054963704462228626,0.0478726719010307,"[0, 3, 0, 3, 0, 0, 0, 9, 3, 0]",3,10,0,3
MAM,archive,7,0.4746413532859744,0.031203264539896775,0.026311234910246162,"[2, 0, 6, 0, 0, 0, 6, 0, 0, 2]",3,10,0,3
MAM,archive,8,0.6941407684951325,0.06392749234498987,0.05525728332609321,"[5, 5, 2, 8, 5, 5, 0, 5, 5, 0]",4,10,0,4
MAM,archive,9,0.7202335127787297,0.03708184560902998,0.036488366188882335,"[1, 1, 1, 1, 1, 7, 5, 1, 1, 1]",3,10,0,3
MAM,archive,10,0.179381589411991,0.017205625182266385,0.013396484157096869,"[3, 6, 2, 3, 8, 6, 9, 6, 4, 8]",6,10,0,6
MAM,archive,11,0.7646990001766747,0.05015472322099971,0.043807765940209666,"[5, 9, 5, 3, 5, 3, 5, 3, 3, 5]",3,10,0,3
MAM,archive,12,0.834421286566979,0.033580082712963574,0.029289827186244795,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,10,0,1
MAM,archive,13,0.3602777400708591,0.0254847752821032,0.022784172467255524,"[8, 9, 5, 9, 8, 8, 8, 8, 5, 8]",3,10,0,3
MAM,archive,14,0.23459857737687115,0.020882948592138108,0.0182427736995602,"[6, 3, 6, 1, 7, 3, 3, 1, 1, 6]",4,10,0,4
MAM,archive,15,0.9624777428524336,0.05532415248114908,0.04719644806854741,"[0, 0, 0, 3, 0, 0, 0, 0, 3, 0]",2,10,0,2
MAM,archive,16,0.9908244913602229,0.06496760243022537,0.05568288056804782,"[4, 2, 9, 4, 9, 9, 9, 2, 4, 4]",3,10,0,3
MAM,archive,17,0.5820525184898852,0.044226916818849896,0.03550245842406855,"[9, 9, 0, 9, 0, 5, 9, 9, 9, 9]",3,10,0,3
MAM,archive,18,0.5513448540868291,0.03487016144553912,0.03355268203617793,"[0, 0, 0, 0, 9, 0, 0, 1, 0, 0]",3,10,0,3
MAM,archive,19,0.4868052621784482,0.04022629716493283,0.03283537747153091,"[0, 8, 0, 8, 9, 8, 0, 7, 8, 8]",4,10,0,4
MAM,archive,20,0.8067856241738448,0.04365461265644612,0.04081210775319579,"[0, 0, 9, 0, 0, 0, 0, 0, 0, 0]",2,10,0,2
MAM,archive,21,0.8553373394945181,0.05883711878619744,0.05347482134101733,"[6, 0, 6, 0, 6, 6, 6, 0, 6, 6]",2,10,0,2
MAM,archive,22,0.5987774341271904,0.03071033806191025,0.022533583535839907,"[6, 0, 6, 0, 6, 4, 6, 0, 0, 6]",3,10,0,3
