/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
R2-cont 50 1.6106810569763184 94.33715844154358
R2-cont 100 1.613053560256958 188.77330613136292
R2-cont 150 1.5816878080368042 282.0368974208832
R2-cont 200 1.6603186130523682 375.4063138961792
R2-cont 250 1.745383620262146 467.9302475452423
R2-cont 300 1.6487159729003906 560.0599296092987
R2-cont 350 1.7032091617584229 652.5465044975281
R2-cont 400 1.6060702800750732 744.8436601161957
R2-cont 450 1.6939146518707275 837.7449338436127
R2-cont 500 1.656396508216858 930.5522794723511
R2-cont 550 1.537867546081543 1034.7831671237946
R2-cont 600 1.5535211563110352 1138.6004610061646
R2-cont 650 1.5610146522521973 1232.1502780914307
R2-cont 700 1.6014293432235718 1325.8078372478485
R2-cont 750 1.6624746322631836 1420.004287481308
R2-cont 800 1.6393922567367554 1513.4569766521454
R2-cont 850 1.6775810718536377 1606.5091924667358
R2-cont 900 1.7037843465805054 1699.7423667907715
R2-cont 950 1.6058671474456787 1793.125192642212
R2-cont 1000 1.6314921379089355 1885.8335809707642
