/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
R3-cover 50 1.6057466268539429 93.42409348487854
R3-cover 100 1.6050713062286377 187.79712009429932
R3-cover 150 1.5794774293899536 281.05901551246643
R3-cover 200 1.6579005718231201 374.480544090271
R3-cover 250 1.7408967018127441 467.04807472229004
R3-cover 300 1.637885570526123 559.115314245224
R3-cover 350 1.6942564249038696 651.7130653858185
R3-cover 400 1.6036598682403564 743.9501979351044
R3-cover 450 1.6879849433898926 836.9202258586884
R3-cover 500 1.6538970470428467 929.9420127868652
R3-cover 550 1.5343172550201416 1033.8824825286865
R3-cover 600 1.5464258193969727 1137.7088315486908
R3-cover 650 1.5500426292419434 1231.1624324321747
R3-cover 700 1.5983638763427734 1324.8710083961487
R3-cover 750 1.6593362092971802 1418.9857788085938
R3-cover 800 1.6394398212432861 1512.5711505413055
R3-cover 850 1.673829436302185 1605.5090956687927
R3-cover 900 1.6999537944793701 1698.6957204341888
R3-cover 950 1.6183017492294312 1792.1386139392853
R3-cover 1000 1.6089582443237305 1884.8504042625427
