reference,session,group,crop_start,length,weight,temporal_variance,speed_abs,minimum,maximum
listener/session0/Camera-2024-06-21-103121-103102,session0,AU,7,750,0.0006024096385542168,0.12753680462839342,0.020026702269692925,0.0,1.0
listener/session0/Camera-2024-06-21-103121-103102,session0,VA,7,750,0.0006024096385542168,0.0420027022288412,0.04390376787359151,-0.5604571104049683,0.7006018161773682
listener/session0/Camera-2024-06-21-103121-103102,session0,expression,7,750,0.0006024096385542168,0.05109663972261661,0.031039599613146944,1.2303750717096527e-14,0.9999920129776001
listener/session0/Camera-2024-06-26-093649-093642,session0,AU,1,750,0.0006024096385542168,0.049335588191663,0.015487316421895861,0.0,1.0
listener/session0/Camera-2024-06-26-093649-093642,session0,VA,1,750,0.0006024096385542168,0.014085337815428813,0.03140437113586191,-0.41722971200942993,0.39566540718078613
listener/session0/Camera-2024-06-26-093649-093642,session0,expression,1,750,0.0006024096385542168,0.0244075393860713,0.023483348258560917,6.453078580525998e-15,0.9998677968978882
listener/session0/Camera-2024-06-26-105024-105025,session0,AU,3,750,0.0006024096385542168,0.06365856697819315,0.01290609701824655,0.0,1.0
listener/session0/Camera-2024-06-26-105024-105025,session0,VA,3,750,0.0006024096385542168,0.020150010950606655,0.029620711178144563,-0.45400550961494446,0.7053836584091187
listener/session0/Camera-2024-06-26-105024-105025,session0,expression,3,750,0.0006024096385542168,0.04952281853752629,0.0285308860020726,9.172586870826241e-14,0.9999961853027344
listener/session0/Camera-2024-06-26-122334-122317,session0,AU,190,750,0.0006024096385542168,0.07651173416407063,0.021361815754339118,0.0,1.0
listener/session0/Camera-2024-06-26-122334-122317,session0,VA,190,750,0.0006024096385542168,0.018931971541429837,0.02782549083889406,-0.5449838042259216,0.5764569640159607
listener/session0/Camera-2024-06-26-122334-122317,session0,expression,190,750,0.0006024096385542168,0.026489937863413488,0.015432608174093672,1.420934509073176e-15,0.9999213218688965
listener/session0/Camera-2024-06-26-151459-151413,session0,AU,0,691,0.0006024096385542168,0.11653572152659801,0.01565217391304348,0.0,1.0
listener/session0/Camera-2024-06-26-151459-151413,session0,VA,0,691,0.0006024096385542168,0.06273159262937919,0.04369295086927604,-0.6401482224464417,0.6912949085235596
listener/session0/Camera-2024-06-26-151459-151413,session0,expression,0,691,0.0006024096385542168,0.054408662725943614,0.02377675934717181,6.4412737296737355e-12,0.9999631643295288
listener/session0/Camera-2024-06-26-160214-160213,session0,AU,79,750,0.0006024096385542168,0.062561756415962,0.01611036938139742,0.0,1.0
listener/session0/Camera-2024-06-26-160214-160213,session0,VA,79,750,0.0006024096385542168,0.012195019672453525,0.039391224321042584,-0.435749351978302,0.48647812008857727
listener/session0/Camera-2024-06-26-160214-160213,session0,expression,79,750,0.0006024096385542168,0.036131055479580745,0.045263123712334416,4.0994176479577514e-16,0.9997829794883728
listener/session0/Camera-2024-06-28-103912-104008,session0,AU,267,750,0.0006024096385542168,0.09830660139445178,0.008989764129951045,0.0,1.0
listener/session0/Camera-2024-06-28-103912-104008,session0,VA,267,750,0.0006024096385542168,0.056223056336837725,0.03437971829054989,-0.49437013268470764,0.9083458185195923
listener/session0/Camera-2024-06-28-103912-104008,session0,expression,267,750,0.0006024096385542168,0.03228250903002173,0.020599965535168466,5.4514841432544165e-15,1.0
listener/session0/Camera-2024-06-28-112322-112419,session0,AU,95,750,0.0006024096385542168,0.05242676160807001,0.022162883845126834,0.0,1.0
listener/session0/Camera-2024-06-28-112322-112419,session0,VA,95,750,0.0006024096385542168,0.011968784823730198,0.03622482315412112,-0.4806213676929474,0.5997459292411804
listener/session0/Camera-2024-06-28-112322-112419,session0,expression,95,750,0.0006024096385542168,0.023870482860818547,0.02385373620832236,2.2436551585808956e-13,0.9999186992645264
listener/session0/Camera-2024-06-28-120152-120208,session0,AU,23,750,0.0006024096385542168,0.020537487019730016,0.00818869603916333,0.0,1.0
listener/session0/Camera-2024-06-28-120152-120208,session0,VA,23,750,0.0006024096385542168,0.00492366778554538,0.02859382277655506,-0.6980465650558472,0.4575355350971222
listener/session0/Camera-2024-06-28-120152-120208,session0,expression,23,750,0.0006024096385542168,0.02046317562149708,0.023421678479118975,2.8802657416233945e-14,0.9998692274093628
listener/session0/Camera-2024-06-28-153101-153104,session0,AU,288,750,0.0006024096385542168,0.04452870493991989,0.003115264797507788,0.0,1.0
listener/session0/Camera-2024-06-28-153101-153104,session0,VA,288,750,0.0006024096385542168,0.022991013520369794,0.023418278200862723,-0.16302762925624847,0.6818838715553284
listener/session0/Camera-2024-06-28-153101-153104,session0,expression,288,750,0.0006024096385542168,0.04346289668228104,0.015302790864229573,8.292635360534975e-18,0.9999991655349731
listener/session0/Camera-2024-06-28-160651-160703,session0,AU,114,750,0.0006024096385542168,0.11111490876724522,0.017534490431686693,0.0,1.0
listener/session0/Camera-2024-06-28-160651-160703,session0,VA,114,750,0.0006024096385542168,0.0375958452709164,0.034940663277506036,-0.5831419825553894,0.5290386080741882
listener/session0/Camera-2024-06-28-160651-160703,session0,expression,114,750,0.0006024096385542168,0.04198710627886955,0.01828458091819442,1.656029642842921e-13,0.9999552965164185
listener/session0/Camera-2024-06-28-164549-164628,session0,AU,31,750,0.0006024096385542168,0.14441940364931016,0.018602581219403648,0.0,1.0
listener/session0/Camera-2024-06-28-164549-164628,session0,VA,31,750,0.0006024096385542168,0.053829341877533535,0.03081749049630837,-0.3656792640686035,0.8955016732215881
listener/session0/Camera-2024-06-28-164549-164628,session0,expression,31,750,0.0006024096385542168,0.05880445836080424,0.008064307081107482,1.3632192403875905e-19,0.9999998807907104
listener/session0/Camera-2024-07-04-103805-103835,session0,AU,207,750,0.0006024096385542168,0.059152291944815284,0.016733422340898977,0.0,1.0
listener/session0/Camera-2024-07-04-103805-103835,session0,VA,207,750,0.0006024096385542168,0.023414540145881423,0.03825895230376593,-0.6067534685134888,0.7887596487998962
