/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
S0_quality 50 1.6139252185821533 209.5863482952118
S0_quality 100 1.6084990501403809 418.47586727142334
S0_quality 150 1.569899559020996 627.3787157535553
S0_quality 200 1.642728328704834 836.3320665359497
S0_quality 250 1.7623217105865479 1045.507764339447
S0_quality 300 1.6401889324188232 1254.2789046764374
S0_quality 350 1.7329126596450806 1463.391489982605
S0_quality 400 1.5949196815490723 1672.245129108429
S0_quality 450 1.6972754001617432 1881.240974187851
S0_quality 500 1.6856944561004639 2099.968341112137
S0_quality 550 1.5550769567489624 2329.685835838318
S0_quality 600 1.5412003993988037 2538.8204214572906
S0_quality 650 1.5428719520568848 2748.052125453949
S0_quality 700 1.5915534496307373 2957.3118274211884
S0_quality 750 1.6467894315719604 3166.3732347488403
S0_quality 800 1.6686547994613647 3375.555583715439
S0_quality 850 1.6911022663116455 3584.471879005432
S0_quality 900 1.7032825946807861 3793.7148253917694
S0_quality 950 1.6068309545516968 4002.334239959717
S0_quality 1000 1.6184208393096924 4220.939653635025
S0_quality 1050 1.6382585763931274 4450.545880079269
S0_quality 1100 1.628119945526123 4659.876075029373
S0_quality 1150 1.6745065450668335 4869.243017673492
S0_quality 1200 1.6020681858062744 5078.0962171554565
S0_quality 1250 1.7354487180709839 5287.169064760208
S0_quality 1300 1.648651361465454 5496.233429908752
S0_quality 1350 1.674355387687683 5705.109199047089
S0_quality 1400 1.6471370458602905 5914.086855173111
S0_quality 1450 1.67103111743927 6126.536665916443
S0_quality 1500 1.672552227973938 6340.129774570465
S0_quality 1550 1.6269460916519165 6550.7185752391815
S0_quality 1600 1.6006757020950317 6759.637823820114
