/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
S1_joint 50 1.6139326095581055 208.68076872825623
S1_joint 100 1.6085706949234009 417.1659359931946
S1_joint 150 1.5705349445343018 626.0574250221252
S1_joint 200 1.6446226835250854 834.7514171600342
S1_joint 250 1.7634655237197876 1043.2841374874115
S1_joint 300 1.637747049331665 1251.6556911468506
S1_joint 350 1.7363231182098389 1460.333974123001
S1_joint 400 1.5957510471343994 1669.1753146648407
S1_joint 450 1.6995179653167725 1878.02588057518
S1_joint 500 1.6919859647750854 2096.9494631290436
S1_joint 550 1.5586503744125366 2326.7784616947174
S1_joint 600 1.5477818250656128 2535.980188369751
S1_joint 650 1.5543723106384277 2745.074336528778
S1_joint 700 1.5923455953598022 2954.478674888611
S1_joint 750 1.6541237831115723 3163.513407230377
S1_joint 800 1.6821330785751343 3372.677716255188
S1_joint 850 1.690664291381836 3581.617845058441
S1_joint 900 1.7078101634979248 3790.841868162155
S1_joint 950 1.6157158613204956 3999.5727519989014
S1_joint 1000 1.6225167512893677 4218.281362533569
S1_joint 1050 1.6430268287658691 4447.666254281998
S1_joint 1100 1.6359597444534302 4657.079340457916
S1_joint 1150 1.661182165145874 4866.309678316116
S1_joint 1200 1.6082810163497925 5075.307698965073
S1_joint 1250 1.7322895526885986 5284.302320957184
S1_joint 1300 1.6612352132797241 5493.3331990242
S1_joint 1350 1.6751339435577393 5702.263592720032
S1_joint 1400 1.6570507287979126 5911.380331993103
S1_joint 1450 1.6756762266159058 6123.684500217438
S1_joint 1500 1.6741218566894531 6337.421419382095
S1_joint 1550 1.6328762769699097 6547.936068534851
S1_joint 1600 1.6126717329025269 6756.746896266937
