/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
S2_staged 50 1.6165462732315063 205.40682578086853
S2_staged 100 1.6124703884124756 409.5465998649597
S2_staged 150 1.5695230960845947 613.2850053310394
S2_staged 200 1.645751714706421 817.2484061717987
S2_staged 250 1.7575889825820923 1021.5472269058228
S2_staged 300 1.6297767162322998 1225.693102836609
S2_staged 350 1.741777777671814 1429.0450830459595
S2_staged 400 1.600609540939331 1633.2795624732971
S2_staged 450 1.7010725736618042 1837.6749730110168
S2_staged 500 1.6883677244186401 2042.0372591018677
S2_staged 550 1.5864423513412476 2269.910104036331
S2_staged 600 1.5518958568572998 2487.3976209163666
S2_staged 650 1.5561153888702393 2694.9684879779816
S2_staged 700 1.5985534191131592 2902.1663756370544
S2_staged 750 1.6449662446975708 3109.3516545295715
S2_staged 800 1.669858455657959 3316.3554990291595
S2_staged 850 1.692842960357666 3523.784713745117
S2_staged 900 1.7083420753479004 3730.1467142105103
S2_staged 950 1.6175037622451782 3936.9528856277466
S2_staged 1000 1.6299258470535278 4143.192430734634
S2_staged 1050 1.6470402479171753 4369.85174202919
S2_staged 1100 1.6389902830123901 4585.740662574768
S2_staged 1150 1.6633667945861816 4792.806983709335
S2_staged 1200 1.6158212423324585 4999.80587887764
S2_staged 1250 1.7354686260223389 5206.289278745651
S2_staged 1300 1.6665396690368652 5413.862421751022
S2_staged 1350 1.6762560606002808 5621.416230916977
S2_staged 1400 1.6728750467300415 5827.490192651749
S2_staged 1450 1.6801899671554565 6036.012432813644
S2_staged 1500 1.6700382232666016 6247.514261484146
S2_staged 1550 1.6391173601150513 6457.72528219223
S2_staged 1600 1.6032425165176392 6664.2006850242615
