/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
R2 550 1.7004313468933105 52.72301173210144
R2 600 1.669680118560791 92.06896376609802
R2 650 1.6681917905807495 131.1599462032318
R2 700 1.6436728239059448 169.7623414993286
R2 750 1.6914863586425781 207.9955198764801
R2 800 1.6409437656402588 246.54487228393555
R2 850 1.7015548944473267 284.96095871925354
R2 900 1.6952370405197144 323.58211731910706
R2 950 1.6925289630889893 362.45811915397644
R2 1000 1.6738945245742798 401.4626290798187
R2 1050 1.6718417406082153 440.3801472187042
R2 1100 1.7839351892471313 478.92417550086975
R2 1150 1.7668641805648804 518.540195941925
R2 1200 1.6639138460159302 557.4038770198822
R2 1250 1.6909050941467285 595.0404522418976
R2 1300 1.6942998170852661 633.2117636203766
R2 1350 1.6123849153518677 671.3488879203796
R2 1400 1.7389813661575317 709.8440475463867
R2 1450 1.728175163269043 748.238320350647
R2 1500 1.7641428709030151 786.0224690437317
R2 1550 1.6802570819854736 824.3588662147522
R2 1600 1.6315094232559204 861.57173371315
R2 1650 1.7127435207366943 898.6560196876526
R2 1700 1.5140000581741333 936.4936037063599
R2 1750 1.732296109199524 973.638418674469
R2 1800 1.6039931774139404 1010.6754667758942
R2 1850 1.661467432975769 1047.980129957199
R2 1900 1.703221321105957 1085.765469789505
R2 1950 1.67008638381958 1123.5951862335205
R2 2000 1.5614423751831055 1161.1274816989899
R2 2050 1.697712779045105 1211.7480053901672
R2 2100 1.6567933559417725 1249.06729388237
R2 2150 1.5720964670181274 1286.2018702030182
R2 2200 1.6491568088531494 1323.2917098999023
R2 2250 1.6547269821166992 1360.5460262298584
R2 2300 1.6624935865402222 1398.4306616783142
R2 2350 1.5682576894760132 1435.8543360233307
R2 2400 1.7844598293304443 1473.7787516117096
R2 2450 1.6832804679870605 1510.3489396572113
R2 2500 1.6820650100708008 1547.6462252140045
R2 2550 1.753754734992981 1585.6237907409668
R2 2600 1.7061388492584229 1623.1275796890259
R2 2650 1.6587945222854614 1660.6490955352783
R2 2700 1.6823426485061646 1698.0242908000946
R2 2750 1.628800868988037 1735.2890620231628
R2 2800 1.6199008226394653 1772.6697781085968
R2 2850 1.7172163724899292 1809.3745696544647
R2 2900 1.6219375133514404 1846.1356382369995
R2 2950 1.665245771408081 1883.048374414444
R2 3000 1.724860668182373 1919.8234400749207
R2 3050 1.6748714447021484 1956.7393834590912
R2 3100 1.5669901371002197 1993.8359491825104
R2 3150 1.6687155961990356 2030.8097631931305
R2 3200 1.5932248830795288 2067.566638946533
R2 3250 1.6442824602127075 2104.423758506775
R2 3300 1.6312193870544434 2141.5260066986084
R2 3350 1.6616419553756714 2178.5881826877594
R2 3400 1.580209732055664 2215.5125386714935
R2 3450 1.6603728532791138 2252.496618747711
R2 3500 1.6164075136184692 2289.67099237442
R2 3550 1.689342737197876 2326.791468858719
R2 3600 1.5793216228485107 2363.7165021896362
R2 3650 1.667460560798645 2400.5426065921783
R2 3700 1.6549475193023682 2437.6011855602264
R2 3750 1.649233102798462 2474.251697778702
R2 3800 1.6263622045516968 2511.448888063431
R2 3850 1.7245447635650635 2548.6410386562347
R2 3900 1.698106288909912 2585.7364761829376
R2 3950 1.6334338188171387 2622.971788406372
R2 4000 1.609155297279358 2659.769170999527
R2 4050 1.6951556205749512 2696.860030412674
R2 4100 1.6485168933868408 2733.7084658145905
R2 4150 1.6822586059570312 2770.9402220249176
R2 4200 1.5461827516555786 2808.158456325531
R2 4250 1.6649888753890991 2845.3498814105988
R2 4300 1.5994316339492798 2882.6116547584534
R2 4350 1.6955032348632812 2919.5546917915344
R2 4400 1.6281083822250366 2956.4206500053406
R2 4450 1.7340632677078247 2992.75093460083
R2 4500 1.6791256666183472 3029.3369953632355
R2 4550 1.652713656425476 3066.218348264694
R2 4600 1.5662693977355957 3102.8139758110046
R2 4650 1.6393954753875732 3139.927173137665
R2 4700 1.622004747390747 3176.9190323352814
R2 4750 1.6821060180664062 3213.618660926819
R2 4800 1.6990739107131958 3250.0919904708862
R2 4850 1.5211501121520996 3286.742825269699
R2 4900 1.6391870975494385 3323.646529197693
R2 4950 1.6597809791564941 3360.673485994339
R2 5000 1.5716488361358643 3397.321538209915
R2 5050 1.62892484664917 3434.0512397289276
R2 5100 1.6597301959991455 3470.676332950592
R2 5150 1.5911694765090942 3507.448736190796
R2 5200 1.5785338878631592 3544.6815087795258
R2 5250 1.6699931621551514 3581.5212264060974
R2 5300 1.7386839389801025 3618.611401319504
R2 5350 1.6473079919815063 3655.8261103630066
R2 5400 1.664276361465454 3692.772296667099
R2 5450 1.6774687767028809 3729.4197611808777
R2 5500 1.5948631763458252 3766.418511390686
R2 5550 1.692537784576416 3803.206346988678
R2 5600 1.7044779062271118 3840.224228620529
R2 5650 1.592085361480713 3876.948651075363
R2 5700 1.6702922582626343 3913.5544168949127
R2 5750 1.6284843683242798 3950.480678319931
R2 5800 1.6091234683990479 3986.979392528534
R2 5850 1.6834059953689575 4023.80806517601
R2 5900 1.6926491260528564 4060.5398864746094
R2 5950 1.6977986097335815 4097.429771661758
R2 6000 1.639553189277649 4134.4947514534
