C0 16 {"loss": 0.4035578668117523, "cross_distance": 0.4048609435558319, "self_distance": 0.0026061171665787697}
C0 32 {"loss": 0.3148449659347534, "cross_distance": 0.31696000695228577, "self_distance": 0.004230056423693895}
C0 48 {"loss": 0.26581525802612305, "cross_distance": 0.26906028389930725, "self_distance": 0.006490003317594528}
C0 64 {"loss": 0.26172882318496704, "cross_distance": 0.27753597497940063, "self_distance": 0.03161434084177017}
C0 80 {"loss": 0.33814555406570435, "cross_distance": 0.3585212230682373, "self_distance": 0.040751297026872635}
C0 96 {"loss": 0.2856193482875824, "cross_distance": 0.33524811267852783, "self_distance": 0.09925754368305206}
C0 112 {"loss": 0.23034541308879852, "cross_distance": 0.27425333857536316, "self_distance": 0.08781585097312927}
C0 128 {"loss": 0.2682238519191742, "cross_distance": 0.33779293298721313, "self_distance": 0.13913819193840027}
C1 16 {"loss": 0.4179134964942932, "cross_distance": 0.418314129114151, "self_distance": 0.0008012515609152615}
C1 32 {"loss": 0.31564760208129883, "cross_distance": 0.3162407875061035, "self_distance": 0.001186347333714366}
C1 48 {"loss": 0.2662709057331085, "cross_distance": 0.2672539949417114, "self_distance": 0.001966185634955764}
C1 64 {"loss": 0.270248681306839, "cross_distance": 0.2717454433441162, "self_distance": 0.0029935273341834545}
C1 80 {"loss": 0.35227349400520325, "cross_distance": 0.35515791177749634, "self_distance": 0.005768828094005585}
C1 96 {"loss": 0.3196336627006531, "cross_distance": 0.3238920569419861, "self_distance": 0.008516845293343067}
C1 112 {"loss": 0.2566172480583191, "cross_distance": 0.2634740471839905, "self_distance": 0.013713614083826542}
C1 128 {"loss": 0.31258565187454224, "cross_distance": 0.3285052478313446, "self_distance": 0.03183918818831444}
C2 16 {"loss": 0.43823695182800293, "cross_distance": 0.4390298128128052, "self_distance": 0.001585702644661069}
C2 32 {"loss": 0.31932517886161804, "cross_distance": 0.320008248090744, "self_distance": 0.0013661221601068974}
C2 48 {"loss": 0.2708168029785156, "cross_distance": 0.2724577784538269, "self_distance": 0.003281940007582307}
C2 64 {"loss": 0.2736024856567383, "cross_distance": 0.2766644358634949, "self_distance": 0.006123967003077269}
C2 80 {"loss": 0.3560391962528229, "cross_distance": 0.3613668978214264, "self_distance": 0.010655424557626247}
C2 96 {"loss": 0.3414818048477173, "cross_distance": 0.34569403529167175, "self_distance": 0.008424472063779831}
C2 112 {"loss": 0.26077258586883545, "cross_distance": 0.27675721049308777, "self_distance": 0.03196929022669792}
C2 128 {"loss": 0.2908754348754883, "cross_distance": 0.3273254632949829, "self_distance": 0.07290007174015045}
