/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
C0 4 conditional 0.364533931016922
C0 8 conditional 0.3298739492893219
C0 4 conditional 0.364533931016922
C0 8 conditional 0.3298739492893219
C1 4 conditional 0.39544641971588135
C1 8 conditional 0.3289424180984497
C1 4 conditional 0.39544641971588135
C1 8 conditional 0.3289424180984497
C2 4 conditional 0.3650296926498413
C2 8 conditional 0.33363837003707886
C2 4 conditional 0.3650296926498413
C2 8 conditional 0.33363837003707886
