seed,arm,step,conditional,group
123,C0,1000,0.24947981145232917,1.003815260529518
123,C0,128,0.28539717607200144,0.9302207559347153
123,C0,1500,0.24297541864216327,0.8914270430803299
123,C0,2000,0.2427032494917512,0.884849825501442
123,C0,500,0.2737382296472788,0.917943862080574
123,C1,1000,0.2518136937171221,0.8068909674882889
123,C1,128,0.28450098522007466,0.9412715703248977
123,C1,1500,0.2502840932458639,0.8053524404764175
123,C1,2000,0.2531775118783116,0.8377632051706314
123,C1,500,0.2650130555033684,0.8286091357469558
123,C2,1000,0.25764458775520327,0.8103344649076462
123,C2,128,0.28444215655326843,0.9043070822954178
123,C2,1500,0.24715720862150192,0.7996574699878692
123,C2,2000,0.244262183457613,0.7800050914287567
123,C2,500,0.26128337625414133,0.8360146224498749
42,C0,1000,0.2477146154269576,1.0691079646348953
42,C0,128,0.28780087232589724,0.9261608421802521
42,C0,1500,0.24293302316218615,1.058799648284912
42,C0,2000,0.24210536014288664,0.9473165005445481
42,C0,500,0.24919713865965604,1.0944512993097306
42,C1,1000,0.267946588806808,0.9147521108388901
42,C1,128,0.29340146780014037,0.9480098485946655
42,C1,1500,0.24720076899975538,0.8029186218976975
42,C1,2000,0.24349538795650005,0.7843578368425369
42,C1,500,0.2595589080825448,0.8682080924510955
42,C2,1000,0.25299649853259326,0.7987612962722779
42,C2,128,0.29417268354445697,0.9422913819551468
42,C2,1500,0.2526191307231784,0.8150389313697814
42,C2,2000,0.2471230948343873,0.786653208732605
42,C2,500,0.24915447942912577,0.8164279103279114
2026,C0,1000,0.2516483299434185,0.9127596646547318
2026,C0,128,0.2842987148091197,0.9263032585382461
2026,C0,1500,0.2538172945380211,0.982014736533165
2026,C0,2000,0.2604824837297201,1.0847131818532945
2026,C0,500,0.2604570770636201,1.0019310265779495
2026,C1,1000,0.2542132820934057,0.8223069489002228
2026,C1,128,0.28224858436733485,0.9190472543239594
2026,C1,1500,0.26756740678101776,0.8524828970432281
2026,C1,2000,0.24988610111176968,0.8133488237857819
2026,C1,500,0.2602842912077904,0.8477913647890091
2026,C2,1000,0.25034748055040834,0.7993692845106125
2026,C2,128,0.3213195886462927,1.0242518603801727
2026,C2,1500,0.2547538371756673,0.8130863219499588
2026,C2,2000,0.2564407728612423,0.8022350281476974
2026,C2,500,0.2683889066800475,0.8624397665262222
