seed,arm,lambda_group,step,K,bank,aggregation,conditional_ES,group_ES
123,C1,0.3,1000,32,0,bank0 only,0.2557217374444008,0.7826201111078263
123,C2,0.1,500,32,0,bank0 only,0.26128337625414133,0.8360146224498749
123,C0,0,1000,32,0,bank0 only,0.24947981145232917,1.003815260529518
123,C2,0.3,1500,32,0,bank0 only,0.2525350386276841,0.7736921459436417
123,C1,0.03,1000,32,0,bank0 only,0.24814439546316863,0.8472402602434158
123,C1,0.1,2000,32,0,bank0 only,0.2531775118783116,0.8377632051706314
123,C0,0,128,32,0,bank0 only,0.28539717607200144,0.9302207559347153
123,C2,0.03,500,32,0,bank0 only,0.27307438626885416,0.9032851427793502
123,C1,0.3,500,32,0,bank0 only,0.26103847231715915,0.7943139731884002
123,C1,0.03,500,32,0,bank0 only,0.2603718416765332,0.8823820352554321
123,C1,0.1,1500,32,0,bank0 only,0.2502840932458639,0.8053524404764175
123,C1,0.03,128,32,0,bank0 only,0.2831735212355852,0.9660445868968963
123,C1,0.3,1500,32,0,bank0 only,0.2575821509584785,0.8038681119680404
123,C0,0,1500,32,0,bank0 only,0.24297541864216327,0.8914270430803299
123,C1,0.1,128,32,0,bank0 only,0.28450098522007466,0.9412715703248977
123,C1,0.03,1500,32,0,bank0 only,0.24538612458854914,0.847808587551117
123,C1,0.3,2000,32,0,bank0 only,0.27146388180553915,0.837932887673378
123,C2,0.1,2000,32,0,bank0 only,0.244262183457613,0.7800050914287567
123,C2,0.1,128,32,0,bank0 only,0.28444215655326843,0.9043070822954178
123,C0,0,2000,32,0,bank0 only,0.2427032494917512,0.884849825501442
123,C1,0.1,1000,32,0,bank0 only,0.2518136937171221,0.8068909674882889
123,C1,0.1,500,32,0,bank0 only,0.2650130555033684,0.8286091357469558
123,C2,0.1,1000,32,0,bank0 only,0.25764458775520327,0.8103344649076462
123,C2,0.3,1000,32,0,bank0 only,0.2510114934295416,0.7717342704534531
123,C2,0.3,500,32,0,bank0 only,0.26769166234880687,0.7988349884748459
123,C2,0.03,128,32,0,bank0 only,0.2909979745745659,0.9721541970968246
123,C2,0.3,128,32,0,bank0 only,0.3485779358074069,0.9563485503196716
123,C1,0.3,128,32,0,bank0 only,0.310951167345047,0.9345821976661682
123,C2,0.1,1500,32,0,bank0 only,0.24715720862150192,0.7996574699878692
123,C1,0.03,2000,32,0,bank0 only,0.24528135340660812,0.8301163107156754
123,C0,0,500,32,0,bank0 only,0.2737382296472788,0.917943862080574
123,C2,0.03,1000,32,0,bank0 only,0.2509914427995682,0.8400328874588012
123,C2,0.3,2000,32,0,bank0 only,0.24600313249975442,0.7575078040361405
123,C2,0.03,1500,32,0,bank0 only,0.2517390413209796,0.8353201866149902
123,C2,0.03,2000,32,0,bank0 only,0.24232487808912992,0.8198721200227738
42,C1,0.3,1000,32,0,bank0 only,0.258946031332016,0.8035045236349105
42,C2,0.1,500,32,0,bank0 only,0.24915447942912577,0.8164279103279114
42,C0,0,1000,32,0,bank0 only,0.2477146154269576,1.0691079646348953
42,C2,0.3,1500,32,0,bank0 only,0.2508473783731461,0.7691930145025253
42,C1,0.03,1000,32,0,bank0 only,0.2425122121348977,0.8412584483623504
42,C1,0.1,2000,32,0,bank0 only,0.24349538795650005,0.7843578368425369
42,C0,0,128,32,0,bank0 only,0.28780087232589724,0.9261608421802521
42,C2,0.03,500,32,0,bank0 only,0.24725396391004323,0.8413575708866119
42,C1,0.3,500,32,0,bank0 only,0.26221234668046234,0.8218685328960419
42,C1,0.03,500,32,0,bank0 only,0.24783724769949914,0.8455984085798264
42,C1,0.1,1500,32,0,bank0 only,0.24720076899975538,0.8029186218976975
42,C1,0.03,128,32,0,bank0 only,0.2890131577849388,0.9509139806032181
42,C1,0.3,1500,32,0,bank0 only,0.24759269803762435,0.7881766885519028
42,C0,0,1500,32,0,bank0 only,0.24293302316218615,1.058799648284912
42,C1,0.1,128,32,0,bank0 only,0.29340146780014037,0.9480098485946655
42,C1,0.03,1500,32,0,bank0 only,0.24175411872565747,0.830123832821846
42,C1,0.3,2000,32,0,bank0 only,0.2622970312833786,0.8494414716959
42,C2,0.1,2000,32,0,bank0 only,0.2471230948343873,0.786653208732605
42,C2,0.1,128,32,0,bank0 only,0.29417268354445697,0.9422913819551468
42,C0,0,2000,32,0,bank0 only,0.24210536014288664,0.9473165005445481
42,C1,0.1,1000,32,0,bank0 only,0.267946588806808,0.9147521108388901
42,C1,0.1,500,32,0,bank0 only,0.2595589080825448,0.8682080924510955
42,C2,0.1,1000,32,0,bank0 only,0.25299649853259326,0.7987612962722779
42,C2,0.3,1000,32,0,bank0 only,0.25934541448950765,0.794649550318718
42,C2,0.3,500,32,0,bank0 only,0.26998219415545466,0.8367555111646652
42,C2,0.03,128,32,0,bank0 only,0.2808158382773399,0.9069993287324906
42,C2,0.3,128,32,0,bank0 only,0.35805192589759827,0.9676170438528061
42,C1,0.3,128,32,0,bank0 only,0.3026724664494395,0.9405297249555588
42,C2,0.1,1500,32,0,bank0 only,0.2526191307231784,0.8150389313697814
42,C1,0.03,2000,32,0,bank0 only,0.2573961490765214,0.8745152711868286
42,C0,0,500,32,0,bank0 only,0.24919713865965604,1.0944512993097306
42,C2,0.03,1000,32,0,bank0 only,0.24861005004495382,0.8396555542945862
