seed,arm,lambda_group,mean,session_bootstrap_low,session_bootstrap_high,quantity,interpretation
2026,C0,0,-0.002508344356901944,-0.002613617423269902,-0.0024023569102399065,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
42,C1,0.3,0.007314755046740168,0.0018020565239246816,0.012732881250488565,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
42,C2,0.03,-0.0015789610091596906,-0.0036399277408141685,0.0005198539919685531,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
123,C1,0.1,0.0023487337110564125,-0.001920277008158157,0.006908895282493908,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
2026,C2,0.3,-0.008058279142715037,-0.013475117456284354,-0.003162529082968829,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
42,C2,0.1,-0.0008491270933300322,-0.0028140726949321157,0.0009881973142735598,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
42,C1,0.03,0.002716200822964304,0.000577989325020462,0.004858064537541935,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
123,C0,0,-0.002431060914881526,-0.002542410690872928,-0.002322415357315916,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
123,C2,0.3,0.0005218714652583014,-0.0018209793403744703,0.0028745018872898083,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
2026,C1,0.3,-0.0018431508401408794,-0.010767615106794989,0.0066850833487464125,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
2026,C2,0.03,-0.008887602244503797,-0.013841679793666116,-0.004567100198683329,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
42,C1,0.1,-0.0028666122574359243,-0.005350615891977223,-0.00036799244731665164,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
2026,C2,0.1,-0.0016201331699267033,-0.004785825447645037,0.0012754043282009648,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
2026,C1,0.03,-0.005321229291148484,-0.010324954746407456,-0.0007779165589483448,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
123,C1,0.3,0.02300152789708227,0.01864617322462146,0.02713035994693637,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
123,C2,0.03,-0.003395931125618516,-0.005406521781231273,-0.0013739945753710367,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
42,C0,0,-0.002456865249201662,-0.00254755792429206,-0.0023682495929533663,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
123,C2,0.1,-0.0013271914618089783,-0.003867649638210419,0.0012667390840826514,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
42,C2,0.3,0.003280618159100407,0.0001385231908177876,0.006718579813395621,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
2026,C1,0.1,-0.004759272881783546,-0.010228972381469794,0.00026927886435296655,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
123,C1,0.03,-0.002522624266333877,-0.004096440391149368,-0.000968686545733359,conditional_ES - 1.01*C0_ES,"engineering screen; bootstrap conditional on fixed model/list, not statistical equivalence"
