seed,arm,lambda_group,K,bank,step,origin,subset_rank,positions,group_ES
123,C0,0,32,0,2000,phase22_reused,0,"[0, 1]",0.9101166218519211
123,C0,0,32,0,2000,phase22_reused,1,"[0, 2]",0.8853302717208862
123,C0,0,32,0,2000,phase22_reused,2,"[0, 3]",0.9007738083600998
123,C0,0,32,0,2000,phase22_reused,3,"[1, 2]",0.8863452076911926
123,C0,0,32,0,2000,phase22_reused,4,"[1, 3]",0.9090372741222381
123,C0,0,32,0,2000,phase22_reused,5,"[2, 3]",0.8872166484594345
123,C0,0,32,1,2000,phase22_reused,0,"[0, 1]",0.9996216326951981
123,C0,0,32,1,2000,phase22_reused,1,"[0, 2]",0.953087431192398
123,C0,0,32,1,2000,phase22_reused,2,"[0, 3]",0.9786303520202637
123,C0,0,32,1,2000,phase22_reused,3,"[1, 2]",0.9631460130214691
123,C0,0,32,1,2000,phase22_reused,4,"[1, 3]",0.9950677335262299
123,C0,0,32,1,2000,phase22_reused,5,"[2, 3]",0.9570296108722687
123,C1,0.03,32,0,2000,phase23_new,0,"[0, 1]",0.8360548913478851
123,C1,0.03,32,0,2000,phase23_new,1,"[0, 2]",0.8386425495147705
123,C1,0.03,32,0,2000,phase23_new,2,"[0, 3]",0.8344011425971984
123,C1,0.03,32,0,2000,phase23_new,3,"[1, 2]",0.8329053044319152
123,C1,0.03,32,0,2000,phase23_new,4,"[1, 3]",0.8338956296443939
123,C1,0.03,32,0,2000,phase23_new,5,"[2, 3]",0.8359254509210586
123,C1,0.03,32,1,2000,phase23_new,0,"[0, 1]",0.828989765048027
123,C1,0.03,32,1,2000,phase23_new,1,"[0, 2]",0.8324882447719574
123,C1,0.03,32,1,2000,phase23_new,2,"[0, 3]",0.8269337028264999
123,C1,0.03,32,1,2000,phase23_new,3,"[1, 2]",0.8267245531082154
123,C1,0.03,32,1,2000,phase23_new,4,"[1, 3]",0.8258305490016937
123,C1,0.03,32,1,2000,phase23_new,5,"[2, 3]",0.8290860176086425
123,C1,0.1,32,0,2000,phase22_reused,0,"[0, 1]",0.8448062151670456
123,C1,0.1,32,0,2000,phase22_reused,1,"[0, 2]",0.8516690731048584
123,C1,0.1,32,0,2000,phase22_reused,2,"[0, 3]",0.8440996587276459
123,C1,0.1,32,0,2000,phase22_reused,3,"[1, 2]",0.8416181921958923
123,C1,0.1,32,0,2000,phase22_reused,4,"[1, 3]",0.8392285704612732
123,C1,0.1,32,0,2000,phase22_reused,5,"[2, 3]",0.8478718906641006
123,C1,0.1,32,1,2000,phase22_reused,0,"[0, 1]",0.8127314388751984
123,C1,0.1,32,1,2000,phase22_reused,1,"[0, 2]",0.8198931783437728
123,C1,0.1,32,1,2000,phase22_reused,2,"[0, 3]",0.8129950225353241
123,C1,0.1,32,1,2000,phase22_reused,3,"[1, 2]",0.8101498067378998
123,C1,0.1,32,1,2000,phase22_reused,4,"[1, 3]",0.8075267434120178
123,C1,0.1,32,1,2000,phase22_reused,5,"[2, 3]",0.8160600990056992
123,C1,0.3,32,0,2000,phase23_new,0,"[0, 1]",0.8452228128910064
123,C1,0.3,32,0,2000,phase23_new,1,"[0, 2]",0.8484541893005371
123,C1,0.3,32,0,2000,phase23_new,2,"[0, 3]",0.8453127354383468
123,C1,0.3,32,0,2000,phase23_new,3,"[1, 2]",0.8404879093170166
123,C1,0.3,32,0,2000,phase23_new,4,"[1, 3]",0.8407114654779434
123,C1,0.3,32,0,2000,phase23_new,5,"[2, 3]",0.8459853917360306
123,C1,0.3,32,1,2000,phase23_new,0,"[0, 1]",0.8450289845466614
123,C1,0.3,32,1,2000,phase23_new,1,"[0, 2]",0.8478348881006241
123,C1,0.3,32,1,2000,phase23_new,2,"[0, 3]",0.8469998210668563
123,C1,0.3,32,1,2000,phase23_new,3,"[1, 2]",0.8388964325189591
123,C1,0.3,32,1,2000,phase23_new,4,"[1, 3]",0.8415728062391281
123,C1,0.3,32,1,2000,phase23_new,5,"[2, 3]",0.8474694550037384
123,C2,0.03,32,0,2000,phase23_new,0,"[0, 1]",0.8270272225141525
123,C2,0.03,32,0,2000,phase23_new,1,"[0, 2]",0.8290132969617844
123,C2,0.03,32,0,2000,phase23_new,2,"[0, 3]",0.825568163394928
123,C2,0.03,32,0,2000,phase23_new,3,"[1, 2]",0.8228979080915451
123,C2,0.03,32,0,2000,phase23_new,4,"[1, 3]",0.8236479759216309
123,C2,0.03,32,0,2000,phase23_new,5,"[2, 3]",0.8258659362792968
123,C2,0.03,32,1,2000,phase23_new,0,"[0, 1]",0.8373507380485534
123,C2,0.03,32,1,2000,phase23_new,1,"[0, 2]",0.8374736100435257
123,C2,0.03,32,1,2000,phase23_new,2,"[0, 3]",0.8346132099628448
123,C2,0.03,32,1,2000,phase23_new,3,"[1, 2]",0.829373249411583
123,C2,0.03,32,1,2000,phase23_new,4,"[1, 3]",0.8316582441329956
123,C2,0.03,32,1,2000,phase23_new,5,"[2, 3]",0.8317511171102524
123,C2,0.1,32,0,2000,phase22_reused,0,"[0, 1]",0.7905245065689087
123,C2,0.1,32,0,2000,phase22_reused,1,"[0, 2]",0.793587264418602
123,C2,0.1,32,0,2000,phase22_reused,2,"[0, 3]",0.7890687435865402
123,C2,0.1,32,0,2000,phase22_reused,3,"[1, 2]",0.7859618395566941
123,C2,0.1,32,0,2000,phase22_reused,4,"[1, 3]",0.7865194588899612
123,C2,0.1,32,0,2000,phase22_reused,5,"[2, 3]",0.7919949412345886
123,C2,0.1,32,1,2000,phase22_reused,0,"[0, 1]",0.7878842741250992
123,C2,0.1,32,1,2000,phase22_reused,1,"[0, 2]",0.7911363691091537
123,C2,0.1,32,1,2000,phase22_reused,2,"[0, 3]",0.7870405673980713
123,C2,0.1,32,1,2000,phase22_reused,3,"[1, 2]",0.7825637727975845
123,C2,0.1,32,1,2000,phase22_reused,4,"[1, 3]",0.7834943681955338
123,C2,0.1,32,1,2000,phase22_reused,5,"[2, 3]",0.7887717097997665
123,C2,0.3,32,0,2000,phase23_new,0,"[0, 1]",0.7725442051887512
123,C2,0.3,32,0,2000,phase23_new,1,"[0, 2]",0.7721370577812194
123,C2,0.3,32,0,2000,phase23_new,2,"[0, 3]",0.7686562418937684
123,C2,0.3,32,0,2000,phase23_new,3,"[1, 2]",0.7622979372739792
123,C2,0.3,32,0,2000,phase23_new,4,"[1, 3]",0.763544625043869
123,C2,0.3,32,0,2000,phase23_new,5,"[2, 3]",0.7665500402450561
123,C2,0.3,32,1,2000,phase23_new,0,"[0, 1]",0.7730139672756196
123,C2,0.3,32,1,2000,phase23_new,1,"[0, 2]",0.7721772372722626
123,C2,0.3,32,1,2000,phase23_new,2,"[0, 3]",0.7682250052690506
123,C2,0.3,32,1,2000,phase23_new,3,"[1, 2]",0.7631955415010452
123,C2,0.3,32,1,2000,phase23_new,4,"[1, 3]",0.7636727601289749
123,C2,0.3,32,1,2000,phase23_new,5,"[2, 3]",0.7663839399814606
42,C0,0,32,0,2000,phase22_reused,0,"[0, 1]",0.9900749266147614
42,C0,0,32,0,2000,phase22_reused,1,"[0, 2]",0.9438810825347901
42,C0,0,32,0,2000,phase22_reused,2,"[0, 3]",0.9695962876081466
42,C0,0,32,0,2000,phase22_reused,3,"[1, 2]",0.9494305431842804
42,C0,0,32,0,2000,phase22_reused,4,"[1, 3]",0.9873379826545715
42,C0,0,32,0,2000,phase22_reused,5,"[2, 3]",0.9505080163478852
42,C0,0,32,1,2000,phase22_reused,0,"[0, 1]",0.9688333868980408
42,C0,0,32,1,2000,phase22_reused,1,"[0, 2]",0.9312391579151154
42,C0,0,32,1,2000,phase22_reused,2,"[0, 3]",0.9480116605758667
42,C0,0,32,1,2000,phase22_reused,3,"[1, 2]",0.9341880679130554
42,C0,0,32,1,2000,phase22_reused,4,"[1, 3]",0.9648307383060455
42,C0,0,32,1,2000,phase22_reused,5,"[2, 3]",0.9352109104394912
42,C1,0.03,32,0,2000,phase23_new,0,"[0, 1]",0.8797155559062958
42,C1,0.03,32,0,2000,phase23_new,1,"[0, 2]",0.8887666046619416
42,C1,0.03,32,0,2000,phase23_new,2,"[0, 3]",0.875311204791069
42,C1,0.03,32,0,2000,phase23_new,3,"[1, 2]",0.8833399146795273
42,C1,0.03,32,0,2000,phase23_new,4,"[1, 3]",0.8747499465942383
42,C1,0.03,32,0,2000,phase23_new,5,"[2, 3]",0.8833991438150406
42,C1,0.03,32,1,2000,phase23_new,0,"[0, 1]",0.8430954724550247
42,C1,0.03,32,1,2000,phase23_new,1,"[0, 2]",0.8497516751289368
42,C1,0.03,32,1,2000,phase23_new,2,"[0, 3]",0.8399812281131744
42,C1,0.03,32,1,2000,phase23_new,3,"[1, 2]",0.845173591375351
