seed,arm,lambda_group,origin,requested_steps,actual_optimizer_steps,training_rows,source_occurrences,unique_sources,source_population,reference_exposures,parameter_count,optimizer_compute_seconds,peak_allocated_bytes,initialization_hash
123,C0,0,phase22_reused,2000,2000,2000,8000,1646,1660,0,8729496,79.47934179037111,494416384,ed4c56f6bf2f33fd883c1f829c97b50a6875c81dae020be09110cf842e33c958
123,C1,0.1,phase22_reused,2000,2000,2000,8000,1646,1660,16000,8729496,86.63409650913673,530687488,ed4c56f6bf2f33fd883c1f829c97b50a6875c81dae020be09110cf842e33c958
123,C2,0.1,phase22_reused,2000,2000,2000,8000,1646,1660,16000,8729496,87.03247652389109,530686976,ed4c56f6bf2f33fd883c1f829c97b50a6875c81dae020be09110cf842e33c958
123,C1,0.03,phase23_new,2000,2000,2000,8000,1646,1660,16000,8729496,91.6975794028549,530687488,ed4c56f6bf2f33fd883c1f829c97b50a6875c81dae020be09110cf842e33c958
123,C2,0.03,phase23_new,2000,2000,2000,8000,1646,1660,16000,8729496,84.40341777785216,530686976,ed4c56f6bf2f33fd883c1f829c97b50a6875c81dae020be09110cf842e33c958
123,C1,0.3,phase23_new,2000,2000,2000,8000,1646,1660,16000,8729496,87.54718785861041,530687488,ed4c56f6bf2f33fd883c1f829c97b50a6875c81dae020be09110cf842e33c958
123,C2,0.3,phase23_new,2000,2000,2000,8000,1646,1660,16000,8729496,85.45156981167383,530686976,ed4c56f6bf2f33fd883c1f829c97b50a6875c81dae020be09110cf842e33c958
42,C0,0,phase22_reused,2000,2000,2000,8000,1648,1660,0,8729496,78.65172475410509,494416384,d4224c5bf71a98b77b39eb2e3b0cd03aa268231db79569dade2a2dbf15498fac
42,C1,0.1,phase22_reused,2000,2000,2000,8000,1648,1660,16000,8729496,86.04375328411697,530687488,d4224c5bf71a98b77b39eb2e3b0cd03aa268231db79569dade2a2dbf15498fac
42,C2,0.1,phase22_reused,2000,2000,2000,8000,1648,1660,16000,8729496,83.91346579059609,530686976,d4224c5bf71a98b77b39eb2e3b0cd03aa268231db79569dade2a2dbf15498fac
42,C1,0.03,phase23_new,2000,2000,2000,8000,1648,1660,16000,8729496,87.3701610477001,530687488,d4224c5bf71a98b77b39eb2e3b0cd03aa268231db79569dade2a2dbf15498fac
42,C2,0.03,phase23_new,2000,2000,2000,8000,1648,1660,16000,8729496,85.7182859814493,530686976,d4224c5bf71a98b77b39eb2e3b0cd03aa268231db79569dade2a2dbf15498fac
42,C1,0.3,phase23_new,2000,2000,2000,8000,1648,1660,16000,8729496,83.92836029533646,530687488,d4224c5bf71a98b77b39eb2e3b0cd03aa268231db79569dade2a2dbf15498fac
42,C2,0.3,phase23_new,2000,2000,2000,8000,1648,1660,16000,8729496,84.81659352683346,530686976,d4224c5bf71a98b77b39eb2e3b0cd03aa268231db79569dade2a2dbf15498fac
2026,C0,0,phase22_reused,2000,2000,2000,8000,1650,1660,0,8729496,83.15099482337246,494416384,68a4424648171393ccb200e688e8f0523ca49421af45f59b7c1fdf2d283cb8d8
2026,C1,0.1,phase22_reused,2000,2000,2000,8000,1650,1660,16000,8729496,87.11410223541316,530687488,68a4424648171393ccb200e688e8f0523ca49421af45f59b7c1fdf2d283cb8d8
2026,C2,0.1,phase22_reused,2000,2000,2000,8000,1650,1660,16000,8729496,88.54134805756621,530686976,68a4424648171393ccb200e688e8f0523ca49421af45f59b7c1fdf2d283cb8d8
2026,C1,0.03,phase23_new,2000,2000,2000,8000,1650,1660,16000,8729496,87.08873026695801,530687488,68a4424648171393ccb200e688e8f0523ca49421af45f59b7c1fdf2d283cb8d8
2026,C2,0.03,phase23_new,2000,2000,2000,8000,1650,1660,16000,8729496,82.15590809029527,530686976,68a4424648171393ccb200e688e8f0523ca49421af45f59b7c1fdf2d283cb8d8
2026,C1,0.3,phase23_new,2000,2000,2000,8000,1650,1660,16000,8729496,82.47244886972476,530687488,68a4424648171393ccb200e688e8f0523ca49421af45f59b7c1fdf2d283cb8d8
2026,C2,0.3,phase23_new,2000,2000,2000,8000,1650,1660,16000,8729496,83.90597483341116,530686976,68a4424648171393ccb200e688e8f0523ca49421af45f59b7c1fdf2d283cb8d8
