seed,arm,lambda_group,input_index,frames,K,boundary_abs_change,interior_abs_change,finite,domain,candidate_consistency_max_error
1,MAM,,0,1926,10,0.14194835722446442,0.01954055018723011,True,True,2.2649765014648438e-06
1,MAM,,1,1167,10,0.37042343616485596,0.019400792196393013,True,True,1.1920928955078125e-06
1,MAM,,2,1470,10,0.05721036344766617,0.023576445877552032,True,True,1.5497207641601562e-06
1,MAM,,3,692,10,,0.01880788803100586,True,True,0.0
1,MAM,,4,1053,10,0.22142617404460907,0.016523273661732674,True,True,1.1920928955078125e-06
1,MAM,,5,1048,10,0.14956103265285492,0.01714332215487957,True,True,1.6391277313232422e-06
1,MAM,,6,2399,10,0.15351468324661255,0.018237851560115814,True,True,1.2516975402832031e-06
1,MAM,,7,1922,10,0.09973698854446411,0.016886401921510696,True,True,1.430511474609375e-06
1,MAM,,8,2068,10,0.20280811190605164,0.013773167505860329,True,True,1.2516975402832031e-06
1,MAM,,9,1497,10,0.14376449584960938,0.015501786954700947,True,True,1.7583370208740234e-06
1,MAM,,10,1558,10,0.17457686364650726,0.018744008615612984,True,True,1.3113021850585938e-06
1,MAM,,11,1227,10,0.14560185372829437,0.015238182619214058,True,True,1.6093254089355469e-06
1,MAM,,12,4147,10,0.1958666294813156,0.014459715224802494,True,True,1.4603137969970703e-06
1,MAM,,13,4776,10,0.16155840456485748,0.015648284927010536,True,True,1.6987323760986328e-06
1,MAM,,14,4410,10,0.18912658095359802,0.018160060048103333,True,True,1.6093254089355469e-06
1,MAM,,15,1980,10,0.11462609469890594,0.017416460439562798,True,True,1.5497207641601562e-06
1,MAM,,16,1085,10,0.3229258060455322,0.017413929104804993,True,True,9.834766387939453e-07
1,MAM,,17,3846,10,0.24616897106170654,0.016371672973036766,True,True,1.3113021850585938e-06
1,MAM,,18,2070,10,0.13933530449867249,0.013774638995528221,True,True,1.1920928955078125e-06
1,MAM,,19,2335,10,0.17113624513149261,0.014250077307224274,True,True,1.3709068298339844e-06
1,MAM,,20,1109,10,0.1335347592830658,0.02312348037958145,True,True,1.3709068298339844e-06
1,MAM,,21,1020,10,0.3643477261066437,0.023680808022618294,True,True,1.0728836059570312e-06
1,MAM,,22,935,10,0.1219928041100502,0.02128049172461033,True,True,1.2516975402832031e-06
