record_type,seed,arm,lambda_group,K,step,banks,origin,marginal_loss,marginal_cross,marginal_self,spread_within_input_descriptor_self,spread_between_input_descriptor_distance,conditional_loss,conditional_cross_distance,conditional_self_distance,conditional_correct_common_loss,conditional_correct_common_cross_distance,conditional_correct_common_self_distance,conditional_shuffled_loss,conditional_shuffled_cross_distance,conditional_shuffled_self_distance,central_overall,central_AU,central_VA,central_expression,central_correct_common_overall,central_correct_common_AU,central_correct_common_VA,central_correct_common_expression,central_shuffled_overall,central_shuffled_AU,central_shuffled_VA,central_shuffled_expression,per_input_population_loss,per_input_population_cross,per_input_population_self,conditional_shuffle_gap_correct,conditional_shuffle_gap_shuffled,conditional_shuffle_gap_ratio,conditional_shuffle_gap_difference,central_shuffle_gap_correct,central_shuffle_gap_shuffled,central_shuffle_gap_ratio,central_shuffle_gap_difference,channels_overall_cross_distance,channels_overall_self_distance,channels_overall_ES,channels_overall_prediction_std,channels_overall_boundary_fraction,channels_overall_temporal_mean,channels_overall_temporal_std,channels_overall_velocity_abs_mean,channels_overall_velocity_rms,channels_overall_expression_entropy,channels_AU_cross_distance,channels_AU_self_distance,channels_AU_ES,channels_AU_prediction_std,channels_AU_boundary_fraction,channels_AU_temporal_mean,channels_AU_temporal_std,channels_AU_velocity_abs_mean,channels_AU_velocity_rms,channels_VA_cross_distance,channels_VA_self_distance,channels_VA_ES,channels_VA_prediction_std,channels_VA_boundary_fraction,channels_VA_temporal_mean,channels_VA_temporal_std,channels_VA_velocity_abs_mean,channels_VA_velocity_rms,channels_expression_cross_distance,channels_expression_self_distance,channels_expression_ES,channels_expression_prediction_std,channels_expression_boundary_fraction,channels_expression_temporal_mean,channels_expression_temporal_std,channels_expression_velocity_abs_mean,channels_expression_velocity_rms,channels_expression_expression_entropy,shuffle_gap_3perm,aux_covariance_population_RMS,aux_covariance_paired_RMS,aux_autocorrelation_population_RMS,aux_autocorrelation_paired_RMS,conditional_delta_C0,conditional_relative_delta_C0,engineering_screen_1pct
"preserved Phase23 historical K32/K64, not Phase24 new measurement",123,C0,0,32,2000,"mean(bank0,bank1)",phase22_reused,0.9223518878221513,1.560654193162918,1.276604601740837,1.1980147644877435,1.302801214158535,0.24310609148815276,0.3857660859823227,0.28531999075785275,0.24310609148815276,0.3857660859823227,0.28531999075785275,0.26222548065707085,0.40488547589629886,0.28531999075785275,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.3869234580546618,0.3750483708456159,0.6219617202877998,0.30117177218198776,0.9616468042135239,1.5606541872024535,1.1980147644877435,0.24310609148815276,0.26222548065707085,1.0786490504537811,0.01911938916891813,0.37291207276284694,0.3869234580546618,1.0375728926875623,0.014011385291814837,0.38576607760041953,0.2853199826553464,0.24310608645901083,0.13388150744140148,0.09896050808019935,0.14543072935193777,0.06107498605269939,0.01304438895022031,0.042118562804535034,1.3752218402922154,0.35800817310810085,0.14057811442762613,0.28771911477670076,0.08698297671508044,0.07742147207500238,0.17967160684056582,0.041185933991800996,0.010029203147860245,0.02246853273536544,0.7138792995363474,0.8663995370268822,0.2806795310229063,0.6544640485197306,0.0,-0.029652816538873594,0.275151857919991,0.04548869906575419,0.1258082770043984,0.29246418122202156,0.15451504038646818,0.215206660842523,0.09167063729837537,0.16408634185791016,0.125,0.04484774833545088,0.010586784034967423,0.025020408642012625,1.3752218402922154,0.013678383640944959,0.015311554070933105,0.024229402119511037,0.4228770958055672,0.49162458603105996,0.0,0.0,True
"preserved Phase23 historical K32/K64, not Phase24 new measurement",123,C0,0,64,2000,"mean(bank0,bank1)",phase22_reused,0.9267190009355545,1.5660889863967897,1.2787399679422378,1.1998633805662395,1.3050321637342375,0.24432181594893337,0.3853998830541968,0.2821561312302947,0.24432181594893337,0.3853998830541968,0.2821561312302947,0.26323472149670124,0.4043127870187163,0.2821561312302947,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.37291207276284694,0.35721079632639885,0.614585853740573,0.28927689883857965,0.3869234580546618,0.3750483708456159,0.6219617202877998,0.30117177218198776,0.9661573018878697,1.5660889893770218,1.1998633805662395,0.24432181594893337,0.26323472149670124,1.0774132726636712,0.01891290554776788,0.37291207276284694,0.3869234580546618,1.0375728926875623,0.014011385291814837,0.3853998776525259,0.2821561244316399,0.2443218154832721,0.13309745914302767,0.10093694855459034,0.14251129813492297,0.06211588915903121,0.013157942675752564,0.04281707323389128,1.3684788167476656,0.3577488140203059,0.1382311388850212,0.2886332438327372,0.08602874614298345,0.07895843895021244,0.17703817267902194,0.04201683741994202,0.010037704078422393,0.022737733958638272,0.7121468216180802,0.8575933407992125,0.2833501512184739,0.6534273386001587,0.0,-0.046394937661534644,0.2786466732621193,0.046248553594341504,0.12804448686074466,0.29245432615280154,0.15249146041460335,0.21620859554968774,0.09126884574070573,0.1673809051513672,0.125,0.04566892493749038,0.010735736601054669,0.025494621333200483,1.3684788167476656,0.013510092409948507,,,,,0.0,0.0,True
"preserved Phase23 historical K32/K64, not Phase24 new measurement",123,C1,0.03,32,2000,"mean(bank0,bank1)",phase23_new,0.826875850558281,1.3652311891317366,1.07671068161726,1.0470269035547972,1.0866052743047474,0.24301452813670038,0.38454834930598736,0.2830676426179707,0.24301452813670038,0.38454834930598736,0.2830676426179707,0.26389448223635553,0.4054283043369651,0.2830676426179707,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.38499697372317315,0.3727650923654437,0.6128805046901107,0.30458387210965154,0.8417177446186542,1.3652311950922011,1.0470269035547972,0.24301452813670038,0.26389448223635553,1.0859384955172393,0.020879954099655137,0.36705284789204595,0.38499697372317315,1.0488870361153138,0.0179441258311272,0.3845483429729939,0.2830676408484578,0.24301452171057464,0.1311783217359334,0.11826696512289346,0.1423316622618586,0.03666982984868809,0.010876922073657624,0.024051673436770216,1.318389368802309,0.353686663042754,0.11956529468297958,0.2939040156081319,0.08394881661515682,0.09236989851222005,0.17583413450047375,0.028870096791069954,0.009302112655132078,0.017855383557616733,0.7170115407556296,0.8439483873546123,0.2950373470783234,0.6651788644492627,0.0,-0.03961011693754699,0.13071501371450722,0.01901648439816199,0.04977089305175468,0.28909838097169993,0.14910709401592612,0.21454483368434013,0.08623352204449475,0.1963907241821289,0.125,0.027783038490451873,0.011794798560731578,0.02386723450035788,1.318389368802309,0.015265644807368518,0.013828592762354628,0.022455010402383818,0.357938681535451,0.44062387779515433,-9.156335145238392e-05,-0.0003766394782289775,True
"preserved Phase23 historical K32/K64, not Phase24 new measurement",123,C1,0.03,64,2000,"mean(bank0,bank1)",phase23_new,0.8345779031515121,1.3555816918611527,1.0420075789093972,1.0124117828905583,1.0518728442490102,0.24311238750815392,0.3856982445344329,0.2851717138662934,0.24311238750815392,0.3856982445344329,0.2851717138662934,0.2639586644247174,0.40654452089220283,0.2851717138662934,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.36705284789204595,0.3488453863188624,0.6151662776246667,0.28291923543438313,0.38499697372317315,0.3727650923654437,0.6128805046901107,0.30458387210965154,0.8493757970631123,1.3555816881358624,1.0124117828905583,0.24311238750815392,0.2639586644247174,1.085745971017858,0.02084627691656349,0.36705284789204595,0.38499697372317315,1.0488870361153138,0.0179441258311272,0.3856982391327619,0.2851717140525579,0.24311238182708622,0.1377306323032826,0.11357601687777788,0.14605666580609977,0.03400242559146136,0.010762767030973919,0.023274737264728174,1.3350634418427945,0.35626857364550235,0.12909877160564065,0.2917191881686449,0.0943620170466602,0.0905779563581291,0.18422132674604655,0.026208814798155802,0.009273225811193699,0.017396635375916958,0.7143462609499693,0.8395046960562468,0.2945939129218459,0.6656295396387577,0.0,-0.05595150917652063,0.11873417538590729,0.017987965053180233,0.046853088366333395,0.28929585181176665,0.14910723296925427,0.21474223537370563,0.08707208056002855,0.1850914001464844,0.12499999995343387,0.027432513306848705,0.0117493568584905,0.02363642503332812,1.3350634418427945,0.015252754495789608,,,,,-0.001209428440779453,-0.004950145103015444,True
"preserved Phase23 historical K32/K64, not Phase24 new measurement",123,C1,0.1,32,2000,"mean(bank0,bank1)",phase22_reused,0.8225775375962258,1.2905513674020768,0.9359476566314697,0.8970878805965186,0.9489009153097867,0.24788588611409068,0.37713225837796926,0.258492743037641,0.24788588611409068,0.37713225837796926,0.258492743037641,0.2721204158850014,0.4013667883351445,0.258492743037641,0.36008775848895314,0.34905072171241047,0.5772227134555579,0.288729296810925,0.36008775848895314,0.34905072171241047,0.5772227134555579,0.288729296810925,0.38478532526642084,0.3741769211366773,0.6024032421410084,0.3169536410830915,0.8420074149966239,1.2905513539910316,0.8970878805965186,0.24788588611409068,0.2721204158850014,1.0977308982601375,0.024234529770910743,0.36008775848895314,0.38478532526642084,1.068587632306932,0.024697566777467705,0.3771322503685951,0.2584927354007959,0.2478858827613294,0.13019545753486456,0.11761712413281203,0.15854083066806196,0.04213989084819332,0.020894029393093663,0.04200500154984184,1.3287574246525764,0.35812566308304666,0.14184810384176672,0.2872016107663512,0.09911009892821313,0.09086629682569765,0.19596802932210267,0.036347077938262376,0.02123506432690192,0.04043419189401902,0.6546885430812837,0.7204970713704825,0.29444000739604237,0.5632228365167975,0.0,0.012000275350510493,0.11880612755194306,0.02276454898528755,0.05415198183618486,0.2888001770712435,0.13777536456473172,0.21991249481216074,0.08022367912344636,0.19717922210693362,0.12499999990686775,0.033834862615913154,0.01978695730067557,0.04064700769085903,1.3287574246525764,0.017874352851261696,0.013665755158428858,0.02232881757849487,0.24469808556494388,0.3646830662636378,0.0047797946259379165,0.019661352772687924,False
"preserved Phase23 historical K32/K64, not Phase24 new measurement",123,C1,0.1,64,2000,"mean(bank0,bank1)",phase22_reused,0.8147616714239121,1.2991223186254501,0.9687212839722634,0.9321615535765886,0.9809078607708215,0.2458271567709744,0.3779938573017716,0.26433340143412354,0.2458271567709744,0.3779938573017716,0.26433340143412354,0.26961308987811206,0.4017797913402319,0.26433340143412354,0.36008775848895314,0.34905072171241047,0.5772227134555579,0.288729296810925,0.36008775848895314,0.34905072171241047,0.5772227134555579,0.288729296810925,0.38478532526642084,0.3741769211366773,0.6024032421410084,0.3169536410830915,0.8330415412783623,1.2991223193705081,0.9321615535765886,0.2458271567709744,0.26961308987811206,1.0967572590574541,0.023785933107137683,0.36008775848895314,0.38478532526642084,1.068587632306932,0.024697566777467705,0.37799385134130714,0.26433339882642026,0.24582715267315508,0.13398106107488275,0.11576934545300901,0.15897590341046453,0.04161075369920582,0.020784719570656307,0.04174237024853937,1.335770248621702,0.35844680164009335,0.14167865733616053,0.2876074736006558,0.10090643051080406,0.09114365106215701,0.1956649761646986,0.035426139237824825,0.021004242298658937,0.039895739156054336,0.6584512080997229,0.7418221175670623,0.28754014931619165,0.5844962149858475,0.0,0.019711597223431455,0.12005449389107525,0.022953015309758483,0.05445645408472046,0.2890875349752605,0.1425438451115042,0.21781561081297696,0.08336722529493273,0.1908848762512207,0.12499999990686775,0.033595977025106555,0.019831039353448432,0.0407387242797995,1.335770248621702,0.017537373242278893,,,,,0.0015053408220410125,0.006161303345730082,True
"preserved Phase23 historical K32/K64, not Phase24 new measurement",123,C1,0.3,32,2000,"mean(bank0,bank1)",phase23_new,0.8375543177127838,1.38213250041008,1.0891563698649407,1.0474939484149217,1.1030438436816135,0.2685386803001165,0.3833268158137798,0.2295762707479298,0.2685386803001165,0.3833268158137798,0.2295762707479298,0.28997007403522734,0.4047582088038325,0.2295762707479298,0.38619724437594416,0.3604896472766995,0.7116616450250148,0.29556676708161833,0.38619724437594416,0.3604896472766995,0.7116616450250148,0.29556676708161833,0.41169537995010613,0.3962162774056196,0.7171300567686558,0.3126305716112256,0.8583855550736189,1.382132525742054,1.0474939484149217,0.2685386803001165,0.28997007403522734,1.0798088087786546,0.02143139373511077,0.38619724437594416,0.41169537995010613,1.066023608261018,0.025498135574161973,0.3833268100395799,0.22957626627758143,0.2685386771336198,0.12704995097592475,0.09199651896487922,0.20593724818900228,0.056062073109205815,0.025384393020067363,0.05604992423322983,1.2983871549367905,0.36336758118122814,0.13930433788336813,0.2937154120765626,0.09552166434004902,0.04040842910026186,0.24141538497060538,0.053516963077709076,0.029681343020638448,0.058763072825968266,0.6720648812130093,0.635758938267827,0.3541854120790958,0.5296230766922235,0.0,0.263600369496271,0.1314009831752628,0.02066989517479669,0.06780312383780256,0.29316802099347117,0.14181591309607028,0.22226006384007635,0.08552222219295799,0.21172332763671875,0.12499999990686775,0.041999435727484526,0.018506234537926502,0.04603656458784826,1.2983871549367905,0.016170512481282154,0.013366786059292483,0.02233330738264054,0.26809775236097466,0.380011795090888,0.025432588811963752,0.10461518531387007,False
"preserved Phase23 historical K32/K64, not Phase24 new measurement",123,C1,0.3,64,2000,"mean(bank0,bank1)",phase23_new,0.8306394860148429,1.3715296715497969,1.081780369579792,1.0420971870422364,1.0950080970923106,0.2656773159280419,0.38396862205117943,0.2365826121531427,0.2656773159280419,0.38396862205117943,0.2365826121531427,0.28682077014818785,0.40511207524687054,0.2365826121531427,0.38619724437594416,0.3604896472766995,0.7116616450250148,0.29556676708161833,0.38619724437594416,0.3604896472766995,0.7116616450250148,0.29556676708161833,0.41169537995010613,0.3962162774056196,0.7171300567686558,0.3126305716112256,0.8504810586571694,1.3715296514332294,1.0420971870422364,0.2656773159280419,0.28682077014818785,1.079607273630868,0.021143454220145963,0.38619724437594416,0.41169537995010613,1.066023608261018,0.025498135574161973,0.38396861460059883,0.2365826115012169,0.26567730829119685,0.12947056191042067,0.09221084394957871,0.20275098690763116,0.05683886074693874,0.02542666065855883,0.056074263411574066,1.2989385697990656,0.363419845700264,0.13984688841737808,0.293496401514858,0.09576419913209974,0.04140732027590275,0.240788743738085,0.05493287190329284,0.02988632457272615,0.05925620746565982,0.67500028796494,0.6616555966436863,0.34417248945683243,0.554881153255701,0.0,0.22847192897461355,0.12650227039121092,0.01890108769002836,0.0636168427648954,0.29336610976606603,0.14307785900309683,0.22182717993855477,0.08631736226379871,0.21052017211914062,0.125,0.042996746371500194,0.01869618270138744,0.04649318422889337,1.2989385697990656,0.015973650477826597,,,,,0.021355499979108516,0.08740725790762832,False
"preserved Phase23 historical K32/K64, not Phase24 new measurement",123,C2,0.03,32,2000,"mean(bank0,bank1)",phase23_new,0.8231974020600319,1.4279796987771989,1.2095645904541015,1.1706287350505589,1.222543208921949,0.24214122127741575,0.3907850721850991,0.29728770032525065,0.24214122127741575,0.3907850721850991,0.29728770032525065,0.26410128455609083,0.41274513490498066,0.29728770032525065,0.3629589151591063,0.34793057963252066,0.610442404076457,0.2785034947097301,0.3629589151591063,0.34793057963252066,0.610442404076457,0.2785034947097301,0.38453105334192517,0.37482865136116744,0.6147994387894868,0.30146910855546594,0.8426653299480676,1.4279796965420246,1.1706287350505589,0.24214122127741575,0.26410128455609083,1.0906920379722846,0.021960063278675085,0.3629589151591063,0.38453105334192517,1.0594341047480884,0.02157213818281889,0.39078506641089916,0.2972876992076635,0.2421412166208029,0.14093336965888736,0.10838470212183893,0.157175002200529,0.0467555774259381,0.013581065120524727,0.0315498239826411,1.3766249477863313,0.35884135523810984,0.14700578576885165,0.2853384604677558,0.09658658190164715,0.08520620147392038,0.19240663507953287,0.03310884640086442,0.011217383401526605,0.021600758939166555,0.7413212187588215,0.8979910530149937,0.29232569225132465,0.6839978091418744,0.0,0.021637878603723952,0.19259752496145666,0.02713507756125182,0.07058731043944136,0.29001537067815664,0.1448393999133259,0.2175956705585122,0.08831750657409429,0.17894058227539061,0.125,0.035882717801723626,0.014624464343069122,0.03092724454763811,1.3766249477863313,0.01676521549622218,0.01425962984961903,0.022975034955268057,0.3495802305531546,0.4343545588393098,-0.0009648702107370177,-0.003968926507890645,True
"preserved Phase23 historical K32/K64, not Phase24 new measurement",123,C2,0.03,64,2000,"mean(bank0,bank1)",phase23_new,0.8300033688545227,1.4326700955629348,1.2053334534168243,1.1632582832127811,1.2193585101515056,0.2438761418685317,0.39058826956897974,0.2934242557734251,0.2438761418685317,0.39058826956897974,0.2934242557734251,0.2661687582731247,0.4128808856010437,0.2934242557734251,0.3629589151591063,0.34793057963252066,0.610442404076457,0.2785034947097301,0.3629589151591063,0.34793057963252066,0.610442404076457,0.2785034947097301,0.38453105334192517,0.37482865136116744,0.6147994387894868,0.30146910855546594,0.8510409619659185,1.4326701037585736,1.1632582832127811,0.2438761418685317,0.2661687582731247,1.0914078198147878,0.022292616404592985,0.3629589151591063,0.38453105334192517,1.0594341047480884,0.02157213818281889,0.3905882643535733,0.29342424869537354,0.24387613954022525,0.14134896453469992,0.10895107765682041,0.15689211930148306,0.0462673336151056,0.013593473474611529,0.031537202309118585,1.374157889187336,0.35888770325109365,0.14575119307264686,0.2860121066682041,0.097676509921439,0.08549957731738686,0.19394670166075229,0.03250914622331038,0.011208645164151676,0.021514105660025963,0.7393095910549163,0.8829855810850858,0.29781680051237347,0.6808044429868461,0.0,0.006551333443348995,0.1932200388982892,0.027507239632541314,0.07072738171555101,0.29002588326111434,0.1429406451061368,0.21855556117370725,0.08837096467614174,0.18016042709350585,0.125,0.03532576396828517,0.014586584134667645,0.03098629151645582,1.374157889187336,0.017011072083065903,,,,,-0.00044567408040166456,-0.0018241272424678466,True
