seed,lambda_group,contrast,metric,mean,MC_SE,MC_CI_low,MC_CI_high,banks
123,0.03,C2-C0,conditional_delta,0.0004558737622573951,0.0019257874093221684,-0.0040978898492378445,0.005009637373752635,8
123,0.03,C2-C0,group_delta,-0.10777022428810595,0.006113101846224121,-0.12222541316614413,-0.09331503541006778,8
123,0.03,C2-C1,conditional_delta,0.0007802243577316355,0.0017925272570204435,-0.003458429065859998,0.005018877781323269,8
123,0.03,C2-C1,group_delta,-0.011945853754878055,0.003843809506771575,-0.021035018933093022,-0.00285668857666309,8
123,0.1,C2-C0,conditional_delta,-0.0011376361828297314,0.0012120227420961962,-0.004003614552272383,0.0017283421866129208,8
123,0.1,C2-C0,group_delta,-0.15334054008126258,0.005456604647837979,-0.16624335976289417,-0.14043772039963098,8
123,0.1,C2-C1,conditional_delta,0.00027278545312583655,0.0006761591078298928,-0.0013260767711840685,0.0018716476774357416,8
123,0.1,C2-C1,group_delta,-0.027701639756560315,0.00231488689135768,-0.03317547743955891,-0.022227802073561714,8
42,0.03,C2-C0,conditional_delta,0.0021858339896425674,0.0007927327678420408,0.00031131886177100513,0.00406034911751413,8
42,0.03,C2-C0,group_delta,-0.1421653650701046,0.007150897020932716,-0.1590745495864447,-0.1252561805537645,8
42,0.03,C2-C1,conditional_delta,-0.004312569624744345,0.0008179991557224854,-0.0062468302661481566,-0.002378308983340534,8
42,0.03,C2-C1,group_delta,-0.016504289954900747,0.0032642894927725906,-0.024223108053730326,-0.00878547185607117,8
42,0.1,C2-C0,conditional_delta,0.0026671375147998416,0.000858060932799662,0.0006381458237574343,0.004696129205842249,8
42,0.1,C2-C0,group_delta,-0.19966764524579048,0.006718396530878363,-0.21555412861452228,-0.18378116187705867,8
42,0.1,C2-C1,conditional_delta,-0.0007558391895145164,0.0010790783933967514,-0.003307454127910254,0.0017957757488812212,8
42,0.1,C2-C1,group_delta,-0.014988136664032939,0.0030521037755163976,-0.022205215269996914,-0.007771058058068965,8
2026,0.03,C2-C0,conditional_delta,-0.0034977047936990933,0.0008245141637990087,-0.0054473709811999746,-0.001548038606198212,8
2026,0.03,C2-C0,group_delta,-0.22830688916146752,0.011349603991162494,-0.25514443800494463,-0.20146934031799044,8
2026,0.03,C2-C1,conditional_delta,-0.0013605184387415654,0.0005081450773770931,-0.002562090612034932,-0.0001589462654481991,8
2026,0.03,C2-C1,group_delta,-0.010973547771573042,0.001495841588307711,-0.014510651067826525,-0.007436444475319558,8
2026,0.1,C2-C0,conditional_delta,0.003834072826430203,0.001158258584118489,0.0010952264888081029,0.006572919164052303,8
2026,0.1,C2-C0,group_delta,-0.261076120659709,0.013240943470359206,-0.2923859767036895,-0.22976626461572847,8
2026,0.1,C2-C1,conditional_delta,0.004823915753513583,0.0016515659509047111,0.000918582852899405,0.00872924865412776,8
2026,0.1,C2-C1,group_delta,-0.0029571145772934043,0.0015681716098872353,-0.00666525119669206,0.0007510220421052512,8
