seed,lambda_group,contrast,metric,half,mean
123,0.03,C2-C0,conditional_delta,banks1_4,0.004078516177833079
123,0.03,C2-C0,conditional_delta,banks5_8,-0.0031667686533182887
123,0.03,C2-C0,group_delta,banks1_4,-0.10197828263044356
123,0.03,C2-C0,group_delta,banks5_8,-0.11356216594576835
123,0.03,C2-C1,conditional_delta,banks1_4,0.0033607217017561156
123,0.03,C2-C1,conditional_delta,banks5_8,-0.0018002729862928446
123,0.03,C2-C1,group_delta,banks1_4,-0.009456097334623353
123,0.03,C2-C1,group_delta,banks5_8,-0.014435610175132757
123,0.1,C2-C0,conditional_delta,banks1_4,0.0015518375672400053
123,0.1,C2-C0,conditional_delta,banks5_8,-0.003827109932899468
123,0.1,C2-C0,group_delta,banks1_4,-0.14813688397407526
123,0.1,C2-C0,group_delta,banks5_8,-0.15854419618844987
123,0.1,C2-C1,conditional_delta,banks1_4,0.0014789100270718378
123,0.1,C2-C1,conditional_delta,banks5_8,-0.0009333391208201647
123,0.1,C2-C1,group_delta,banks1_4,-0.02834520265460011
123,0.1,C2-C1,group_delta,banks5_8,-0.02705807685852052
42,0.03,C2-C0,conditional_delta,banks1_4,0.0022397550288587864
42,0.03,C2-C0,conditional_delta,banks5_8,0.0021319129504263484
42,0.03,C2-C0,group_delta,banks1_4,-0.1372474543750286
42,0.03,C2-C0,group_delta,banks5_8,-0.1470832757651806
42,0.03,C2-C1,conditional_delta,banks1_4,-0.004687805380672205
42,0.03,C2-C1,conditional_delta,banks5_8,-0.003937333868816485
42,0.03,C2-C1,group_delta,banks1_4,-0.01410889402031898
42,0.03,C2-C1,group_delta,banks5_8,-0.018899685889482515
42,0.1,C2-C0,conditional_delta,banks1_4,0.004374380875378857
42,0.1,C2-C0,conditional_delta,banks5_8,0.0009598941542208264
42,0.1,C2-C0,group_delta,banks1_4,-0.19195758104324342
42,0.1,C2-C0,group_delta,banks5_8,-0.20737770944833753
42,0.1,C2-C1,conditional_delta,banks1_4,-0.001484239520505068
42,0.1,C2-C1,conditional_delta,banks5_8,-2.7438858523964882e-05
42,0.1,C2-C1,group_delta,banks1_4,-0.015944609791040426
42,0.1,C2-C1,group_delta,banks5_8,-0.014031663537025452
2026,0.03,C2-C0,conditional_delta,banks1_4,-0.002292977506294848
2026,0.03,C2-C0,conditional_delta,banks5_8,-0.004702432081103339
2026,0.03,C2-C0,group_delta,banks1_4,-0.24396163597702977
2026,0.03,C2-C0,group_delta,banks5_8,-0.21265214234590527
2026,0.03,C2-C1,conditional_delta,banks1_4,-0.0020782657433301224
2026,0.03,C2-C1,conditional_delta,banks5_8,-0.0006427711341530085
2026,0.03,C2-C1,group_delta,banks1_4,-0.011827623844146706
2026,0.03,C2-C1,group_delta,banks5_8,-0.010119471698999377
2026,0.1,C2-C0,conditional_delta,banks1_4,0.0024200380779802882
2026,0.1,C2-C0,conditional_delta,banks5_8,0.005248107574880118
2026,0.1,C2-C0,group_delta,banks1_4,-0.2804480157792568
2026,0.1,C2-C0,group_delta,banks5_8,-0.24170422554016113
2026,0.1,C2-C1,conditional_delta,banks1_4,0.002309833141043792
2026,0.1,C2-C1,conditional_delta,banks5_8,0.007337998365983374
2026,0.1,C2-C1,group_delta,banks1_4,-0.004506041109561931
2026,0.1,C2-C1,group_delta,banks5_8,-0.0014081880450248774
