seed,lambda_group,contrast,bank,conditional_delta,group_delta
123,0.03,C2-C0,24001,0.0030087545514106695,-0.10051871836185455
123,0.03,C2-C0,24002,-0.0021379845216870363,-0.11348647177219395
123,0.03,C2-C0,24003,0.011201367154717451,-0.08780076801776882
123,0.03,C2-C0,24004,0.0042419275268912315,-0.10610717236995693
123,0.03,C2-C0,24005,-0.0033652743324637524,-0.0841549158096313
123,0.03,C2-C0,24006,-0.0008196046575904004,-0.11903890371322634
123,0.03,C2-C0,24007,-0.002776760794222344,-0.1134730875492096
123,0.03,C2-C0,24008,-0.005705434828996658,-0.13758175671100614
123,0.03,C2-C1,24001,0.0012105314061045536,-0.01748260259628298
123,0.03,C2-C1,24002,-0.003980324044823652,-0.02419349849224095
123,0.03,C2-C1,24003,0.00880166031420232,-9.000301361083984e-05
123,0.03,C2-C1,24004,0.007411019131541241,0.003941714763641357
123,0.03,C2-C1,24005,-0.004219684563577186,-0.01921548545360563
123,0.03,C2-C1,24006,0.0015085751190781482,-0.007423576712608404
123,0.03,C2-C1,24007,-0.0006726808845996801,-0.006763806939125039
123,0.03,C2-C1,24008,-0.0038173016160726603,-0.024339571595191956
123,0.1,C2-C0,24001,0.0015295853838324658,-0.1393182337284088
123,0.1,C2-C0,24002,0.0028315354138612747,-0.1469505041837692
123,0.1,C2-C0,24003,0.002671995945274841,-0.14715258181095114
123,0.1,C2-C0,24004,-0.0008257664740085602,-0.1591262161731719
123,0.1,C2-C0,24005,-0.0027510853484273012,-0.12923477590084076
123,0.1,C2-C0,24006,-0.0022221991792321094,-0.16493765711784358
123,0.1,C2-C0,24007,-0.003103038109838946,-0.16339346170425417
123,0.1,C2-C0,24008,-0.007232117094099516,-0.17661089003086095
123,0.1,C2-C1,24001,0.0005069052800536211,-0.037563270330429055
123,0.1,C2-C1,24002,0.0030243292450904957,-0.03093534409999843
123,0.1,C2-C1,24003,0.0012382576242089272,-0.025692954659461975
123,0.1,C2-C1,24004,0.001146147958934307,-0.01918924152851098
123,0.1,C2-C1,24005,-0.002716523967683321,-0.0315716147422791
123,0.1,C2-C1,24006,0.0001631960272789057,-0.020475006103515603
123,0.1,C2-C1,24007,0.0011195430532097983,-0.023174718022346497
123,0.1,C2-C1,24008,-0.002299571596086042,-0.03301096856594088
42,0.03,C2-C0,24001,0.0011390753090381733,-0.12003701031208036
42,0.03,C2-C0,24002,0.004441875778138649,-0.14057607352733614
42,0.03,C2-C0,24003,0.002949588932096958,-0.1464799106121063
42,0.03,C2-C0,24004,0.0004284800961613655,-0.14189682304859164
42,0.03,C2-C0,24005,0.005732450075447593,-0.1160542100667954
42,0.03,C2-C0,24006,0.0018053287640213966,-0.13320752084255216
42,0.03,C2-C0,24007,0.0023514429107308332,-0.1627387493848802
42,0.03,C2-C0,24008,-0.0013615699484944288,-0.17633262276649464
42,0.03,C2-C1,24001,-0.001044233515858639,-0.001117110252380371
42,0.03,C2-C1,24002,-0.009097312390804274,-0.019125282764434814
42,0.03,C2-C1,24003,-0.005539169348776324,-0.026458227634429954
42,0.03,C2-C1,24004,-0.003070506267249584,-0.009734955430030778
42,0.03,C2-C1,24005,-0.003609685786068406,-0.02586958706378939
42,0.03,C2-C1,24006,-0.003999047726392729,-0.007898971438407898
42,0.03,C2-C1,24007,-0.0038075422868132647,-0.022851905226707547
42,0.03,C2-C1,24008,-0.004333059675991541,-0.018978279829025224
42,0.1,C2-C0,24001,0.0034168140962720084,-0.1752421945333481
42,0.1,C2-C0,24002,0.006824572011828428,-0.20049187242984778
42,0.1,C2-C0,24003,0.0020493194460868835,-0.2044718146324157
42,0.1,C2-C0,24004,0.005206817947328107,-0.1876244425773621
42,0.1,C2-C0,24005,0.0016772640869021638,-0.18317638337612152
42,0.1,C2-C0,24006,0.0023458186537027303,-0.194077056646347
42,0.1,C2-C0,24007,0.0002596992999315262,-0.22071243524551398
42,0.1,C2-C0,24008,-0.00044320542365311466,-0.2315449625253676
42,0.1,C2-C1,24001,0.0021667888388037793,-0.0052942991256714755
42,0.1,C2-C1,24002,-0.006663935258984566,-0.03182215094566343
42,0.1,C2-C1,24003,-0.0036707036197185516,-0.019965267181396462
42,0.1,C2-C1,24004,0.0022308919578790665,-0.006696721911430337
42,0.1,C2-C1,24005,-0.0013162247836589758,-0.019726485013961792
42,0.1,C2-C1,24006,0.00034855417907236896,-0.010926419496536277
42,0.1,C2-C1,24007,0.00040235724300147213,-0.011815154552459739
42,0.1,C2-C1,24008,0.00045555792748927515,-0.013658595085143999
2026,0.03,C2-C0,24001,-0.004411374405026425,-0.24704793691635119
2026,0.03,C2-C0,24002,-0.001334923878312133,-0.2653102517127991
2026,0.03,C2-C0,24003,-0.0007206635549664442,-0.26785087883472447
2026,0.03,C2-C0,24004,-0.0027049481868743896,-0.19563747644424434
2026,0.03,C2-C0,24005,-0.003903279453516012,-0.19323692023754113
