seed,arm,lambda_group,half,conditional_ES,group_ES
42,C0,0,banks1_4,0.24444483825936913,0.9798253238201141
42,C0,0,banks5_8,0.24563386584632102,0.9893401473760605
42,C1,0.03,banks1_4,0.2513723986689001,0.8566867634654045
42,C1,0.03,banks5_8,0.25170311266556383,0.8611565575003625
42,C1,0.1,banks1_4,0.25030345865525305,0.8038123525679111
42,C1,0.1,banks5_8,0.24662119885906578,0.7959941014647485
42,C2,0.03,banks1_4,0.2466845932882279,0.8425778694450855
42,C2,0.03,banks5_8,0.24776577879674733,0.8422568716108799
42,C2,0.1,banks1_4,0.24881921913474797,0.7878677427768707
42,C2,0.1,banks5_8,0.2465937600005418,0.781962437927723
123,C0,0,banks1_4,0.24408029071055354,0.9334103919565677
123,C0,0,banks5_8,0.24717011190950872,0.9390302158892154
123,C1,0.03,banks1_4,0.24479808518663046,0.8408882066607475
123,C1,0.03,banks5_8,0.24580361624248326,0.8399036601185799
123,C1,0.1,banks1_4,0.2441532182507217,0.8136187106370926
123,C1,0.1,banks5_8,0.2442763410974294,0.8075440965592862
123,C2,0.03,banks1_4,0.24815880688838662,0.8314321093261242
123,C2,0.03,banks5_8,0.24400334325619039,0.8254680499434471
123,C2,0.1,banks1_4,0.24563212827779354,0.7852735079824924
123,C2,0.1,banks5_8,0.24334300197660924,0.7804860197007657
2026,C0,0,banks1_4,0.24537530788220466,1.0708687633275986
2026,C0,0,banks5_8,0.24910146817564965,1.0396808594465257
2026,C1,0.03,banks1_4,0.2451605961192399,0.8387347511947156
2026,C1,0.03,banks5_8,0.24504180722869934,0.8371481887996197
2026,C1,0.1,banks1_4,0.24548551281914116,0.7949267886579037
2026,C1,0.1,banks5_8,0.2470115773845464,0.7993848219513894
2026,C2,0.03,banks1_4,0.24308233037590982,0.8269071273505688
2026,C2,0.03,banks5_8,0.24439903609454633,0.8270287171006203
2026,C2,0.1,banks1_4,0.24779534596018493,0.7904207475483417
2026,C2,0.1,banks5_8,0.25434957575052974,0.7979766339063644
