seed,arm,lambda_group,FRC,FRVar,smse,temporal_smse,TLCC
1,MAM,,0.49287063916798035,0.05891159176826477,0.15720370411872864,0.0662168636918068,49.0
123,C0,0,0.13245947219696244,0.007450843695551157,0.1086484044790268,0.01261841505765915,48.162498474121094
123,C1,0.03,0.16429956893437925,0.003855898277834058,0.09433726966381073,0.004111929796636105,43.912498474121094
123,C1,0.1,0.21274520188585888,0.004499061498790979,0.08426876366138458,0.003779203165322542,43.1875
123,C2,0.03,0.1655222225685645,0.006095242220908403,0.11544357240200043,0.008870081976056099,45.4375
123,C2,0.1,0.20792769862737517,0.00751587375998497,0.09170973300933838,0.006857211235910654,43.224998474121094
2026,C0,0,0.1901107462400499,0.013964232057332993,0.07739274203777313,0.017000285908579826,43.92499923706055
2026,C1,0.03,0.2032345278862795,0.005251993425190449,0.10436121374368668,0.005337628535926342,43.70000076293945
2026,C1,0.1,0.2051022407798258,0.0072476789355278015,0.09453961253166199,0.008409094996750355,43.63750076293945
2026,C2,0.03,0.21698448544404753,0.006787599064409733,0.10223709046840668,0.006864161230623722,43.75
2026,C2,0.1,0.25318313027223116,0.009235250763595104,0.11601190268993378,0.006686932407319546,43.724998474121094
42,C0,0,0.16150355755495194,0.006084040738642216,0.12726524472236633,0.00820661149919033,44.04999923706055
42,C1,0.03,0.15948210621928696,0.0042641968466341496,0.11127272993326187,0.00479945307597518,43.6875
42,C1,0.1,0.1951356958316595,0.0066186850890517235,0.11003557592630386,0.007218332029879093,43.650001525878906
42,C2,0.03,0.1694620456174361,0.004943917039781809,0.11289010941982269,0.005331697873771191,44.26250076293945
42,C2,0.1,0.18273559161687275,0.008883731439709663,0.11670005321502686,0.009195692837238312,45.38750076293945
