model,source_index,FRD
seed123_C1_step6000,0,363.7566181432183
seed123_C1_step6000,6,416.5005148859723
seed123_C1_step6000,9,329.77124004978856
seed123_C1_step6000,12,531.2015852224579
seed123_C1_step6000,18,372.6380819131424
seed123_C1_step6000,22,266.74129411252596
seed123_C1_step6000,24,259.42840002612894
seed123_C1_step6000,30,312.5597888604477
seed123_C1_step6000,33,172.4223123907698
seed123_C1_step6000,36,187.9647645345674
seed123_C1_step6000,40,136.30400758467184
seed123_C1_step6000,47,371.89739795816587
seed123_C1_step6000,51,290.0090597003976
seed123_C1_step6000,52,621.4970163525443
seed123_C1_step6000,56,271.0174535478596
seed123_C1_step6000,62,496.87796685629337
seed123_C1_step6000,64,416.2536592295885
seed123_C1_step6000,69,493.1677093349159
seed123_C1_step6000,74,567.689079385204
seed123_C1_step6000,78,660.0617718030239
