model,seed,arm,lambda_group,official_FRC,generated_side_mean,target_side_mean,one_to_one_mean
MAM_archive_offline,1,MAM,,0.810962318916204,0.08109623189162042,0.04280108382068354,0.036931190904977554
seed123_C0_lambda0,123,C0,0,0.24017880974313335,0.024017880974313333,0.016414022670431058,0.01249629622433338
seed123_C1_lambda0.03,123,C1,0.03,0.25129611296167065,0.025129611296167066,0.01249249693853038,0.010356824555918399
seed123_C1_lambda0.1,123,C1,0.1,0.2980054252348238,0.02980054252348239,0.013661534046292074,0.012097197090995493
seed123_C2_lambda0.03,123,C2,0.03,0.2610266051972308,0.02610266051972308,0.015958692579812507,0.012766813465938175
seed123_C2_lambda0.1,123,C2,0.1,0.30353073682875126,0.030353073682875126,0.01352111138700419,0.011836189656408572
seed2026_C0_lambda0,2026,C0,0,0.3106839368969128,0.031068393689691283,0.014673479484785843,0.011767997589403344
seed2026_C1_lambda0.03,2026,C1,0.03,0.31471209545681855,0.031471209545681854,0.015634253532821114,0.013496997341373593
seed2026_C1_lambda0.1,2026,C1,0.1,0.3028610641389594,0.030286106413895942,0.017051047680922655,0.014222967782098653
seed2026_C2_lambda0.03,2026,C2,0.03,0.3341226112861568,0.03341226112861567,0.014333333466014403,0.012711272463838968
seed2026_C2_lambda0.1,2026,C2,0.1,0.37811639442268863,0.03781163944226886,0.0176530293039192,0.01583122016314283
seed42_C0_lambda0,42,C0,0,0.25421031236224484,0.025421031236224485,0.012720208261443443,0.01071711068006397
seed42_C1_lambda0.03,42,C1,0.03,0.24804225208720992,0.024804225208720988,0.012289893893848365,0.010695960735411628
seed42_C1_lambda0.1,42,C1,0.1,0.29435056730567405,0.02943505673056741,0.01616919898878192,0.013758367245536095
seed42_C2_lambda0.03,42,C2,0.03,0.2695878212914157,0.026958782129141566,0.013145446160912483,0.011563205185908181
seed42_C2_lambda0.1,42,C2,0.1,0.3027048380588064,0.030270483805880637,0.01766858876089917,0.015593741132167388
