T,arm,step,bank,group,statistics
128,C0,1000,0,overall,"{""cross_distance"": 0.37850515469908713, ""self_distance"": 0.2513199580833316, ""ES"": 0.2528451755642891, ""prediction_std"": 0.11860391227528452, ""boundary_fraction"": 0.046742308704415335, ""temporal_mean"": 0.17113355901092292, ""temporal_std"": 0.0528117866255343, ""velocity_abs_mean"": 0.02973976053763181, ""velocity_rms"": 0.08750950122484938, ""expression_entropy"": 1.368534828722477}"
128,C0,1000,0,AU,"{""cross_distance"": 0.3545531924813986, ""self_distance"": 0.12218814427033067, ""ES"": 0.2934591190889478, ""prediction_std"": 0.07646024883724749, ""boundary_fraction"": 0.007093913071526003, ""temporal_mean"": 0.2347114436328411, ""temporal_std"": 0.03783793931361288, ""velocity_abs_mean"": 0.020049502607434988, ""velocity_rms"": 0.04006404806859791}"
128,C0,1000,0,VA,"{""cross_distance"": 0.6936535000801086, ""self_distance"": 0.7766355209052562, ""ES"": 0.30533573888242244, ""prediction_std"": 0.6262249924242497, ""boundary_fraction"": 0.0, ""temporal_mean"": -0.1211661798413843, ""temporal_std"": 0.23994293701834976, ""velocity_abs_mean"": 0.14504219086375086, ""velocity_rms"": 0.27532079359516504}"
128,C0,1000,0,expression,"{""cross_distance"": 0.28177561741322277, ""self_distance"": 0.1220636373385787, ""ES"": 0.22074379855766893, ""prediction_std"": 0.07071802588179707, ""boundary_fraction"": 0.1327686309814453, ""temporal_mean"": 0.125, ""temporal_std"": 0.0341049708542414, ""velocity_abs_mean"": 0.019083384823170492, ""velocity_rms"": 0.043629093025811014, ""expression_entropy"": 1.368534828722477}"
750,C0,1000,0,overall,"{""cross_distance"": 0.3801470879465342, ""self_distance"": 0.25126152113080025, ""ES"": 0.25451632756739856, ""prediction_std"": 0.11791226109489798, ""boundary_fraction"": 0.050469115795567634, ""temporal_mean"": 0.17623297814279795, ""temporal_std"": 0.07304719747044146, ""velocity_abs_mean"": 0.029425855627050624, ""velocity_rms"": 0.08910108760464937, ""expression_entropy"": 1.4198122128844262}"
750,C0,1000,0,AU,"{""cross_distance"": 0.36193668711930516, ""self_distance"": 0.126961369253695, ""ES"": 0.2984560031443834, ""prediction_std"": 0.07928080726414918, ""boundary_fraction"": 0.0072285251096218415, ""temporal_mean"": 0.23977727349847555, ""temporal_std"": 0.05457372253295034, ""velocity_abs_mean"": 0.02031209571287036, ""velocity_rms"": 0.042578095372300596}"
750,C0,1000,0,VA,"{""cross_distance"": 0.6810964196920395, ""self_distance"": 0.7760323375463486, ""ES"": 0.2930802509188652, ""prediction_std"": 0.6020171321928501, ""boundary_fraction"": 0.0, ""temporal_mean"": -0.09541729618213139, ""temporal_std"": 0.31745172552764417, ""velocity_abs_mean"": 0.14083112902007996, ""velocity_rms"": 0.2785010778345168}"
750,C0,1000,0,expression,"{""cross_distance"": 0.28633399326354264, ""self_distance"": 0.1203826286830008, ""ES"": 0.22614267859607934, ""prediction_std"": 0.06932002482935787, ""boundary_fraction"": 0.1441625020466745, ""temporal_mean"": 0.125, ""temporal_std"": 0.04658384078647941, ""velocity_abs_mean"": 0.01866284018033184, ""velocity_rms"": 0.044389126624446364, ""expression_entropy"": 1.4198122128844262}"
128,C0,128,0,overall,"{""cross_distance"": 0.3483303477987647, ""self_distance"": 0.1397139792330563, ""ES"": 0.2784733589738607, ""prediction_std"": 0.030614254670217632, ""boundary_fraction"": 2.05078119506652e-05, ""temporal_mean"": 0.1498056733980775, ""temporal_std"": 0.02536012784112245, ""velocity_abs_mean"": 0.01153356732102111, ""velocity_rms"": 0.022370059229433536, ""expression_entropy"": 1.6473802715539931}"
128,C0,128,0,AU,"{""cross_distance"": 0.3461061669513583, ""self_distance"": 0.008114678779384122, ""ES"": 0.34204882737249137, ""prediction_std"": 0.004876686059287749, ""boundary_fraction"": 0.0, ""temporal_mean"": 0.17370334174484015, ""temporal_std"": 0.02087222021073103, ""velocity_abs_mean"": 0.009582645416958257, ""velocity_rms"": 0.01585395133588463}"
128,C0,128,0,VA,"{""cross_distance"": 0.4979475449770689, ""self_distance"": 0.49171099327504636, ""ES"": 0.25209204740822316, ""prediction_std"": 0.3172912713140249, ""boundary_fraction"": 0.0, ""temporal_mean"": 0.06979597992030903, ""temporal_std"": 0.09010851355269552, ""velocity_abs_mean"": 0.04218626995570958, ""velocity_rms"": 0.06126588652841747}"
128,C0,128,0,expression,"{""cross_distance"": 0.27354884818196296, ""self_distance"": 0.012184523686300963, ""ES"": 0.2674565873108804, ""prediction_std"": 0.007202944805612788, ""boundary_fraction"": 6.40869140625e-05, ""temporal_mean"": 0.125, ""temporal_std"": 0.017587861942593007, ""velocity_abs_mean"": 0.0075283699261490256, ""velocity_rms"": 0.011997311416780575, ""expression_entropy"": 1.6473802715539931}"
750,C0,128,0,overall,"{""cross_distance"": 0.3546277418732643, ""self_distance"": 0.14241645894944668, ""ES"": 0.28341951239854096, ""prediction_std"": 0.03158966845367104, ""boundary_fraction"": 4.0402530112260136e-05, ""temporal_mean"": 0.14677009917795658, ""temporal_std"": 0.029962191940285265, ""velocity_abs_mean"": 0.0111644251155667, ""velocity_rms"": 0.02210476092295721, ""expression_entropy"": 1.6563151195645331}"
750,C0,128,0,AU,"{""cross_distance"": 0.3533724803477526, ""self_distance"": 0.00862311795935966, ""ES"": 0.3490609221160412, ""prediction_std"": 0.005192481720587239, ""boundary_fraction"": 0.0, ""temporal_mean"": 0.1677074221894145, ""temporal_std"": 0.024813121487386524, ""velocity_abs_mean"": 0.009161021586623973, ""velocity_rms"": 0.015684957761550322}"
750,C0,128,0,VA,"{""cross_distance"": 0.513724921271205, ""self_distance"": 0.5010604593902827, ""ES"": 0.2631946921348572, ""prediction_std"": 0.3251770481467247, ""boundary_fraction"": 0.0, ""temporal_mean"": 0.07682058180653258, ""temporal_std"": 0.102363246306777, ""velocity_abs_mean"": 0.0410498169483617, ""velocity_rms"": 0.06045339752454311}"
