protocol,step,comparison,metric,mean,lower,upper,n_sessions,training_seeds
full_task_K10,2000,C2-C0,FRC,0.1568840793884756,0.12284700651262109,0.1951149798689673,20,1
full_task_K10,2000,C2-C0,single_FRC,0.10339290331128015,0.07924538281028919,0.12861043881136436,20,1
full_task_K10,2000,C2-C0,target_side_mean,-0.000828678057665133,-0.0020010850820528447,0.00040333977167970354,20,1
full_task_K10,2000,C2-C0,one_to_one_mean,0.0008202349571723305,-0.0004651406644268858,0.002199623059442888,20,1
T750_K32_two_banks,2000,C2-C0,conditional_ES,0.013184710778295994,0.010427601037081331,0.015971414137165994,20,1
T750_K32_two_banks,2000,C2-C0,group_ES,-1.187654224038124,-1.3983504484966396,-0.9678608242794874,20,1
T750_K32_two_banks_three_derangements,2000,C2-C0,shuffle_gap,0.0029009764082729823,0.0013741670448022595,0.004364916329892973,20,1
T128_K32_two_banks,2000,C2-C0,conditional_ES,0.012991906609386206,0.009712831855285913,0.016136905720923096,20,1
T128_K32_two_banks,2000,C2-C0,group_ES,-0.6786950722336769,-0.8868673101067543,-0.4683990111202003,20,1
T128_K32_two_banks_three_derangements,2000,C2-C0,shuffle_gap,0.0011871932384868457,-0.0006143193311678867,0.003051647161288807,20,1
full_task_K10,2000,C2-C1,FRC,0.14048288159491945,0.10748980464577337,0.18090375442976536,20,1
full_task_K10,2000,C2-C1,single_FRC,0.08616021239725333,0.05907130012937273,0.11858769522186695,20,1
full_task_K10,2000,C2-C1,target_side_mean,0.000659550782112569,-0.000733790319950918,0.0020285978910907763,20,1
full_task_K10,2000,C2-C1,one_to_one_mean,0.0026080343179914834,0.0010147847001283894,0.00429873730403457,20,1
T750_K32_two_banks,2000,C2-C1,conditional_ES,0.005491047445684671,-0.0003178647882305085,0.011249254303984336,20,1
T750_K32_two_banks,2000,C2-C1,group_ES,-0.06898249685764313,-0.08286832205951214,-0.054666117206215864,20,1
T750_K32_two_banks_three_derangements,2000,C2-C1,shuffle_gap,0.004182604358841976,0.001778695113025605,0.006673139184713364,20,1
T128_K32_two_banks,2000,C2-C1,conditional_ES,0.006553464289754629,-0.0009240656998008488,0.0135802988614887,20,1
T128_K32_two_banks,2000,C2-C1,group_ES,-0.012479937076568604,-0.020599787458777427,-0.0045006586611270934,20,1
T128_K32_two_banks_three_derangements,2000,C2-C1,shuffle_gap,0.0044522435093919425,0.0008957268375282483,0.007937346213342,20,1
full_task_K10,6000,C2-C0,FRC,0.06559271400503704,0.029546020967941868,0.09764250686520902,20,1
full_task_K10,6000,C2-C0,single_FRC,0.028286360265388794,-0.002962703725157053,0.05717631060477572,20,1
full_task_K10,6000,C2-C0,target_side_mean,0.006632308200014485,0.004592012543469729,0.008748243737848469,20,1
full_task_K10,6000,C2-C0,one_to_one_mean,0.006421007481425431,0.00469220226495899,0.00821155429318725,20,1
T750_K32_two_banks,6000,C2-C0,conditional_ES,0.004201882425695658,0.001569046776276082,0.006802533145528286,20,1
T750_K32_two_banks,6000,C2-C0,group_ES,-1.603552120923996,-1.7853764231875537,-1.4110394443944096,20,1
T750_K32_two_banks_three_derangements,6000,C2-C0,shuffle_gap,-0.001281452924013138,-0.004124372308142484,0.001592935479711739,20,1
T128_K32_two_banks,6000,C2-C0,conditional_ES,0.0030474350787699223,-0.0024697605357505378,0.008613358607981353,20,1
T128_K32_two_banks,6000,C2-C0,group_ES,-1.0431216776371002,-1.2722728995233774,-0.8037320885062218,20,1
T128_K32_two_banks_three_derangements,6000,C2-C0,shuffle_gap,-0.006254263035953044,-0.01099468556776022,-0.0013497478763262428,20,1
full_task_K10,6000,C2-C1,FRC,-0.033034797679351226,-0.06575067573771369,-0.0034049268126301433,20,1
full_task_K10,6000,C2-C1,single_FRC,-0.029867390737578166,-0.05489028914606572,-0.005708282958445759,20,1
full_task_K10,6000,C2-C1,target_side_mean,0.0007711483049040839,-0.0009781778215673734,0.0026504404409044427,20,1
full_task_K10,6000,C2-C1,one_to_one_mean,0.0009139117861318059,-0.0008354407716673126,0.002665221124038118,20,1
T750_K32_two_banks,6000,C2-C1,conditional_ES,-0.0017209384590387345,-0.003700576003175229,0.00010130228707566783,20,1
T750_K32_two_banks,6000,C2-C1,group_ES,-0.009436191618442535,-0.015223157703876495,-0.0033231573924422265,20,1
T750_K32_two_banks_three_derangements,6000,C2-C1,shuffle_gap,-0.000720250296096007,-0.00225097947443525,0.0009041704027913507,20,1
T128_K32_two_banks,6000,C2-C1,conditional_ES,-0.0021938901394605637,-0.006364059781190008,0.0017893597437068814,20,1
T128_K32_two_banks,6000,C2-C1,group_ES,0.030219776928424834,0.015901917479932307,0.04798143308609723,20,1
T128_K32_two_banks_three_derangements,6000,C2-C1,shuffle_gap,-0.0013759891813000047,-0.004792890006986758,0.002101815042551606,20,1
