arm,step,evaluation_seconds,peak_bytes
C1,500,102.85167179899872,189893120
C0,500,102.77121021601488,189893120
C1,2000,106.5532506070158,189893120
C2,500,104.15139130401076,189893120
C2,128,104.25591767899459,189893120
C1,4000,103.72743519098731,189893120
C0,1000,103.99615417799214,189893120
C2,6000,98.96281691704644,189893120
C2,1000,104.89565342001151,189893120
C2,4000,101.22050411399687,189893120
C1,1000,106.95892473999993,189893120
C0,128,102.08074667301844,189893120
C1,128,103.6345897729916,189893120
C2,2000,107.62039280298632,189893120
C1,6000,98.3576817419962,189893120
C0,2000,103.01237255200977,189893120
C0,6000,120.36990915797651,392507904
C0,4000,146.42594099597773,393551872
