arm,index,session,length,covariance_RMSE,autocorr_lag1_MAE,autocorr_lag1_valid_channels,autocorr_lag10_MAE,autocorr_lag10_valid_channels,autocorr_lag30_MAE,autocorr_lag30_valid_channels
C0,0,session0,1926,0.02649638183663775,0.09222612546805024,12,0.12226893713038411,12,0.1341794133203377,12
C1,0,session0,1926,0.020634441900176433,0.2356821772404651,12,0.18348375136135642,12,0.20594984008008688,12
C2,0,session0,1926,0.019884091361747857,0.3034487693888526,12,0.18090557471865007,12,0.2006794218211454,12
C0,1,session0,1167,0.029005305077840094,0.23870583519575014,13,0.21977168991817891,13,0.1476580841402838,13
C1,1,session0,1167,0.02128776335893011,0.28844502284903795,13,0.13950918050024066,13,0.16155224558667783,13
C2,1,session0,1167,0.022050971048103045,0.3732039689229011,13,0.16293045966467443,13,0.17854315898331055,13
C0,2,session0,1470,0.02738093679634404,0.13980297151752885,12,0.19105748400997716,12,0.17015485888007972,12
C1,2,session0,1470,0.017649633955429605,0.20914941748613738,12,0.17253441596119767,12,0.1965671803403797,12
C2,2,session0,1470,0.018805457077473553,0.2455277880280362,12,0.20606747623076502,12,0.2358525803114064,12
C0,3,session0,692,0.028476246805733386,0.22169423944152641,11,0.156151847668393,11,0.09509023985159736,11
C1,3,session0,692,0.021853755591866107,0.304846695487593,11,0.16768403694962944,11,0.20662858045496763,11
C2,3,session0,692,0.021809760024313805,0.47748650712230584,11,0.14182874863232808,11,0.1356218276008195,11
C0,4,session1,1053,0.03084746571063472,0.1253700038044292,14,0.17019299881168434,14,0.1446153160846852,14
C1,4,session1,1053,0.02443769735209888,0.20555350285916552,14,0.14089200824713705,14,0.1814560326573577,14
C2,4,session1,1053,0.024902219792671928,0.3869348366441529,14,0.11476935259740917,14,0.14437953180176238,14
C0,5,session1,1048,0.028350162724035885,0.19987199525300658,11,0.2004790566386043,11,0.15738931710132834,11
C1,5,session1,1048,0.018700698035085433,0.2742160888545377,11,0.09384565846712954,11,0.10667015668828526,11
C2,5,session1,1048,0.019730998818869316,0.28315217640455453,11,0.0859972702202311,11,0.11039611793535027,11
C0,6,session1,2399,0.022704199992562825,0.0875409287782008,13,0.23717853397104774,13,0.25520947169205566,13
C1,6,session1,2399,0.017018040824672377,0.1735355675010488,13,0.18161564731027585,13,0.22306644191917513,13
C2,6,session1,2399,0.016467350123129873,0.23870327422559695,13,0.14275476205842905,13,0.19038025584058385,13
C0,7,session1,1922,0.02484371899255721,0.11235787876065169,14,0.18017166555298422,14,0.21640278381620673,14
C1,7,session1,1922,0.019657694086789527,0.24583530301462386,14,0.16620960950089994,14,0.21115920309379238,14
C2,7,session1,1922,0.017992529452444502,0.2966791824776033,14,0.15651408471563993,14,0.2292556409125352,14
C0,8,session10,2068,0.023676091502228616,0.093131255871323,11,0.2392858564879729,11,0.2770740811215217,11
