/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
C1 2100 conditional 0.22057247161865234
C1 2200 conditional 0.1882692277431488
C1 2300 conditional 0.23149631917476654
C1 2400 conditional 0.2798460125923157
C1 2500 conditional 0.23711900413036346
C1 2600 conditional 0.2458677738904953
C1 2700 conditional 0.25864556431770325
C1 2800 conditional 0.2100539207458496
C1 2900 conditional 0.2236112356185913
C1 3000 conditional 0.27329021692276
C1 3100 conditional 0.21270298957824707
C1 3200 conditional 0.23758253455162048
C1 3300 conditional 0.23281048238277435
C1 3400 conditional 0.20334041118621826
C1 3500 conditional 0.21722526848316193
C1 3600 conditional 0.24883796274662018
C1 3700 conditional 0.19007691740989685
C1 3800 conditional 0.21881109476089478
C1 3900 conditional 0.21595816314220428
C1 4000 conditional 0.23293578624725342
C1 4100 conditional 0.17075863480567932
C1 4200 conditional 0.20516900718212128
C1 4300 conditional 0.2173691987991333
C1 4400 conditional 0.21070915460586548
C1 4500 conditional 0.2593913972377777
C1 4600 conditional 0.24692705273628235
C1 4700 conditional 0.21028019487857819
C1 4800 conditional 0.2786174416542053
C1 4900 conditional 0.22958102822303772
C1 5000 conditional 0.2428998351097107
C1 5100 conditional 0.2206934094429016
C1 5200 conditional 0.25235435366630554
C1 5300 conditional 0.24938860535621643
C1 5400 conditional 0.2311963140964508
C1 5500 conditional 0.21577195823192596
C1 5600 conditional 0.23853354156017303
C1 5700 conditional 0.1850733906030655
C1 5800 conditional 0.22006630897521973
C1 5900 conditional 0.21279104053974152
C1 6000 conditional 0.27945268154144287
RESULT C1 {"completed": true, "requested_steps": 6000, "actual_optimizer_steps": 6000, "training_rows": 6000, "initialization_hash": "ed4c56f6bf2f33fd883c1f829c97b50a6875c81dae020be09110cf842e33c958", "consumed_hashes": {"crop_hash": "b33c3deb9dcec37e818427e28d0d9cd051c28e730dc908aae6802ac6715bf21d", "source_hash": "f6addb29bf055f86faf1cdd9746c793b3d83d7350bfa37ca500b6d76f9d7a3db", "session_hash": "62aa3c0a944dda8165b1d90d85eb262fcd05065593efea4818969ea24392f493", "reference_hash": "adffa482ac70ca73598d74b56b658c45e79c47197a796d9f3e7c406f0dab8b0f", "noise_hash": "942607745687cb42d68a605b29afbd5df2acdec40cd9575859f31623275c7ad8"}, "source_occurrences": 24000, "valid_source_frame_exposures": 17135366, "valid_pair_frame_exposures": 17135366, "tensor_frame_exposures": 18000000, "unique_sources": 1660, "source_population": 1660, "exposure_multiple": 14.457831325301205, "reference_exposures": 48000, "unique_references": 1660, "parameter_count": 8729496, "prior_unchanged": true, "attempt_steps": 4000, "attempt_wall_seconds": 1197.9304229719564, "cumulative_wall_seconds": 2185.909917040961, "optimizer_compute_seconds": 871.1956714573898, "attempt_sources_per_compute_second": 18.36556415992542, "peak_allocated_bytes": 2553528832, "invalid_pair_count": 0, "device": "cuda:0", "checkpoints": [{"step": 2500, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C1/attempt_001/checkpoints/step_002500.pt", "sha256": "6e5d967c7dfc462e13154c0434007418ed41c2c0ad384acc8ede747926884bb3"}, {"step": 3000, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C1/attempt_001/checkpoints/step_003000.pt", "sha256": "7676a0315bd8275a57c3ffe990c74bd7b1969e07341255cedf64e91b17bcc295"}, {"step": 3500, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C1/attempt_001/checkpoints/step_003500.pt", "sha256": "2d1a2df2b2f799e0c734b692cfa2ade36e77208a062fd2e9701830aaf43a122c"}, {"step": 4000, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C1/attempt_001/checkpoints/step_004000.pt", "sha256": "549f1317ed0b0db9e246e61ae8058f0188642cc9b9ed2c1ba89442633436689a"}, {"step": 4500, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C1/attempt_001/checkpoints/step_004500.pt", "sha256": "658ca972ec7d97e8e8b93adc41a9d05d5dfb8710191855551f3c6a845bf2e7ae"}, {"step": 5000, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C1/attempt_001/checkpoints/step_005000.pt", "sha256": "2c34e2a35824164390b3fd352acec16ba41af04801bf6a8ffe6f15c330e32ab0"}, {"step": 5500, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C1/attempt_001/checkpoints/step_005500.pt", "sha256": "6c31eff1d5a76452856ed4ecc7942cdbe1490253432574ada556a002596b0f37"}, {"step": 6000, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C1/attempt_001/checkpoints/step_006000.pt", "sha256": "9f9609dd9fc293bd0f20e0590589cdcb7daa6c3f10f6a8c2a07e27f499a0e2e1"}], "resumed_from": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C1/attempt_000/checkpoints/step_002000.pt"}
