Waiting for external arm owner 2000061
/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
C2 2100 conditional 0.20466822385787964
C2 2200 conditional 0.19481980800628662
C2 2300 conditional 0.23489953577518463
C2 2400 conditional 0.26993080973625183
C2 2500 conditional 0.24523626267910004
C2 2600 conditional 0.25519508123397827
C2 2700 conditional 0.22760352492332458
C2 2800 conditional 0.20840643346309662
C2 2900 conditional 0.21349836885929108
C2 3000 conditional 0.2819613814353943
C2 3100 conditional 0.2332070916891098
C2 3200 conditional 0.2342383861541748
C2 3300 conditional 0.18931329250335693
C2 3400 conditional 0.2117612659931183
C2 3500 conditional 0.2440682202577591
C2 3600 conditional 0.23787212371826172
C2 3700 conditional 0.17476096749305725
C2 3800 conditional 0.20607887208461761
C2 3900 conditional 0.20498982071876526
C2 4000 conditional 0.20285193622112274
C2 4100 conditional 0.17278797924518585
C2 4200 conditional 0.18609823286533356
C2 4300 conditional 0.22469297051429749
C2 4400 conditional 0.219765305519104
C2 4500 conditional 0.21809162199497223
C2 4600 conditional 0.2327055037021637
C2 4700 conditional 0.21486754715442657
C2 4800 conditional 0.2726956307888031
C2 4900 conditional 0.23053768277168274
C2 5000 conditional 0.22072076797485352
C2 5100 conditional 0.25058484077453613
C2 5200 conditional 0.2322552502155304
C2 5300 conditional 0.2485176920890808
C2 5400 conditional 0.25639575719833374
C2 5500 conditional 0.20945388078689575
C2 5600 conditional 0.22451069951057434
C2 5700 conditional 0.18382082879543304
C2 5800 conditional 0.22515630722045898
C2 5900 conditional 0.21205082535743713
C2 6000 conditional 0.24350658059120178
RESULT C2 {"completed": true, "requested_steps": 6000, "actual_optimizer_steps": 6000, "training_rows": 6000, "initialization_hash": "ed4c56f6bf2f33fd883c1f829c97b50a6875c81dae020be09110cf842e33c958", "consumed_hashes": {"crop_hash": "b33c3deb9dcec37e818427e28d0d9cd051c28e730dc908aae6802ac6715bf21d", "source_hash": "f6addb29bf055f86faf1cdd9746c793b3d83d7350bfa37ca500b6d76f9d7a3db", "session_hash": "62aa3c0a944dda8165b1d90d85eb262fcd05065593efea4818969ea24392f493", "reference_hash": "adffa482ac70ca73598d74b56b658c45e79c47197a796d9f3e7c406f0dab8b0f", "noise_hash": "942607745687cb42d68a605b29afbd5df2acdec40cd9575859f31623275c7ad8"}, "source_occurrences": 24000, "valid_source_frame_exposures": 17135366, "valid_pair_frame_exposures": 17135366, "tensor_frame_exposures": 18000000, "unique_sources": 1660, "source_population": 1660, "exposure_multiple": 14.457831325301205, "reference_exposures": 48000, "unique_references": 1660, "parameter_count": 8729496, "prior_unchanged": true, "attempt_steps": 4000, "attempt_wall_seconds": 1094.530560023035, "cumulative_wall_seconds": 2107.0599058590306, "optimizer_compute_seconds": 811.9650130403461, "attempt_sources_per_compute_second": 19.705282546706194, "peak_allocated_bytes": 2553528320, "invalid_pair_count": 0, "device": "cuda:0", "checkpoints": [{"step": 2500, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C2/attempt_001/checkpoints/step_002500.pt", "sha256": "c396a9450a905a9683a893ab3e4cbcfeecb921f9fc9bd2834b23bc9768bf73b9"}, {"step": 3000, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C2/attempt_001/checkpoints/step_003000.pt", "sha256": "d474efcf306751e36a3f974ccd2aa58dd29743038061365940bcef2fcabe95a3"}, {"step": 3500, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C2/attempt_001/checkpoints/step_003500.pt", "sha256": "1a765b086bc9095bd0de891bbb864b91067370a91c886f258c141f501033b4b8"}, {"step": 4000, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C2/attempt_001/checkpoints/step_004000.pt", "sha256": "504527f4700682ffbc835535dadeb60f0e6353c4063db9a1e8b43a84483f214c"}, {"step": 4500, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C2/attempt_001/checkpoints/step_004500.pt", "sha256": "9cde65a547ca09e66f652d53d9854645f55e88afa5a266504dc2daa2789d920e"}, {"step": 5000, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C2/attempt_001/checkpoints/step_005000.pt", "sha256": "b27b395dc8d3b5325425ce7a4602526d17eb626b74a66ed2e0d9a6c3a2c5c81e"}, {"step": 5500, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C2/attempt_001/checkpoints/step_005500.pt", "sha256": "cfdd2826da4c787635214ce81bd602cb8ecf99c9232c6c6025573077e14186c0"}, {"step": 6000, "path": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C2/attempt_001/checkpoints/step_006000.pt", "sha256": "d2a8431c6b464e695befc20288dab3f89e0276dec37c70c3859ac67a0b47e775"}], "resumed_from": "/home/zhengshiyi/react2025_new/runs/phase25/timescale_v1/seed_123/C2/attempt_000/checkpoints/step_002000.pt"}
