/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
P1-byte 1 2.389517068862915 21.10869860649109
P1-byte 25 2.2054429054260254 20.875601530075073
P1-byte 50 1.890541434288025 20.940444469451904
P1-byte 75 2.0740461349487305 20.050091981887817
P1-byte 100 2.2841970920562744 20.039130687713623
P1-byte 125 1.9797013998031616 20.043387413024902
P1-byte 150 2.249783515930176 20.195921182632446
P1-byte 175 2.0310819149017334 20.124420166015625
P1-byte 200 1.9719945192337036 20.092644214630127
P1-byte 225 2.314462184906006 20.230711698532104
P1-byte 250 2.4195032119750977 20.163845539093018
P1-byte 275 2.220698118209839 20.117881536483765
P1-byte 300 1.9924949407577515 20.303011894226074
P1-byte 325 2.2042598724365234 20.18403673171997
P1-byte 350 2.404694080352783 20.218530416488647
P1-byte 375 1.9809775352478027 20.040119171142578
P1-byte 400 2.2371363639831543 28.012470960617065
P1-byte 425 2.098013401031494 16.998476028442383
P1-byte 450 2.1988275051116943 20.070753574371338
P1-byte 475 2.0564918518066406 20.06693983078003
P1-byte 500 2.1048831939697266 20.181415557861328
/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
P1-byte 501 2.2216579914093018 11.304916381835938
P1-byte 525 2.284227132797241 20.07126259803772
P1-byte 550 2.2387337684631348 20.027423858642578
P1-byte 575 2.282223701477051 20.060994386672974
P1-byte 600 2.0667738914489746 19.931127309799194
P1-byte 625 1.9646611213684082 20.070271968841553
P1-byte 650 1.8864341974258423 20.0596182346344
P1-byte 675 2.2720651626586914 20.033010482788086
P1-byte 700 2.2392356395721436 20.071672201156616
P1-byte 725 1.8835324048995972 20.168211936950684
P1-byte 750 2.0427935123443604 20.046348333358765
P1-byte 775 2.5201656818389893 20.02422571182251
P1-byte 800 1.8948428630828857 20.09412384033203
P1-byte 825 2.136599540710449 20.1537823677063
P1-byte 850 2.374472141265869 20.016387224197388
P1-byte 875 1.9864726066589355 20.06982445716858
P1-byte 900 2.1162047386169434 27.982238292694092
P1-byte 925 1.821528434753418 15.123951196670532
P1-byte 950 2.3382656574249268 15.074618816375732
P1-byte 975 2.261354684829712 14.972615718841553
P1-byte 1000 1.954939603805542 15.073750972747803
