/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
P2-bert 1 2.389517068862915 21.121973514556885
P2-bert 25 2.204965114593506 19.954894304275513
P2-bert 50 1.8897703886032104 20.078808069229126
P2-bert 75 2.074162483215332 20.065199613571167
P2-bert 100 2.2840614318847656 20.00079917907715
P2-bert 125 1.9790904521942139 20.036413431167603
P2-bert 150 2.2509915828704834 20.104053258895874
P2-bert 175 2.0368690490722656 20.137667179107666
P2-bert 200 1.9696110486984253 20.135254383087158
P2-bert 225 2.3183698654174805 20.220255613327026
P2-bert 250 2.4276585578918457 20.140498161315918
P2-bert 275 2.2152655124664307 20.13451862335205
P2-bert 300 1.9941548109054565 20.26312017440796
P2-bert 325 2.2042248249053955 20.115870475769043
P2-bert 350 2.4025964736938477 20.14503312110901
P2-bert 375 1.9789705276489258 20.020219802856445
P2-bert 400 2.234361171722412 28.046077489852905
P2-bert 425 2.10396146774292 20.116353511810303
P2-bert 450 2.203700065612793 20.10367465019226
P2-bert 475 2.0541841983795166 20.066166400909424
P2-bert 500 2.1110923290252686 21.47639536857605
/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
P2-bert 501 2.2225117683410645 16.881417989730835
P2-bert 525 2.2838478088378906 20.12260365486145
P2-bert 550 2.2391233444213867 19.959901332855225
P2-bert 575 2.2839717864990234 20.01683020591736
P2-bert 600 2.069754123687744 20.01684069633484
P2-bert 625 1.9612733125686646 19.98849391937256
P2-bert 650 1.8805091381072998 20.069466829299927
P2-bert 675 2.2658047676086426 20.058173418045044
P2-bert 700 2.249631643295288 20.213889837265015
P2-bert 725 1.8630332946777344 20.14258646965027
P2-bert 750 2.0480103492736816 20.020573377609253
P2-bert 775 2.5511765480041504 20.019963264465332
P2-bert 800 1.8699266910552979 20.05661106109619
P2-bert 825 2.1173832416534424 19.99564027786255
P2-bert 850 2.3720860481262207 20.039273023605347
