/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
P3-bert-time 1 2.389517068862915 21.150263786315918
P3-bert-time 25 2.2050695419311523 20.031826496124268
P3-bert-time 50 1.8909281492233276 20.07853627204895
P3-bert-time 75 2.074099063873291 20.06379222869873
P3-bert-time 100 2.2822611331939697 20.002795934677124
P3-bert-time 125 1.9775497913360596 20.035290956497192
P3-bert-time 150 2.251824140548706 20.10179591178894
P3-bert-time 175 2.03619122505188 20.133601188659668
P3-bert-time 200 1.9677164554595947 20.136212825775146
P3-bert-time 225 2.3219287395477295 20.219167232513428
P3-bert-time 250 2.425781488418579 20.142574310302734
P3-bert-time 275 2.217600107192993 20.130853414535522
P3-bert-time 300 1.9926429986953735 20.2576904296875
P3-bert-time 325 2.2041025161743164 20.13890790939331
P3-bert-time 350 2.4040212631225586 20.163466453552246
P3-bert-time 375 1.980701208114624 20.012006521224976
P3-bert-time 400 2.2397797107696533 28.039212226867676
P3-bert-time 425 2.101895332336426 20.12074637413025
P3-bert-time 450 2.1998519897460938 20.107463836669922
P3-bert-time 475 2.0505378246307373 20.072208166122437
P3-bert-time 500 2.1100664138793945 21.51372265815735
/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
P3-bert-time 501 2.221876859664917 20.890661239624023
P3-bert-time 525 2.2811367511749268 20.029865741729736
P3-bert-time 550 2.2418291568756104 19.984028816223145
P3-bert-time 575 2.2787671089172363 20.02549934387207
P3-bert-time 600 2.070486545562744 19.941226482391357
P3-bert-time 625 1.960752248764038 19.983498334884644
P3-bert-time 650 1.876671552658081 20.074064016342163
P3-bert-time 675 2.272657871246338 20.02361249923706
P3-bert-time 700 2.248405933380127 20.269182682037354
P3-bert-time 725 1.8939611911773682 20.111988306045532
P3-bert-time 750 2.057912588119507 19.97548508644104
P3-bert-time 775 2.5119705200195312 20.019803047180176
P3-bert-time 800 1.8697257041931152 20.102306604385376
P3-bert-time 825 2.1518611907958984 20.061968564987183
P3-bert-time 850 2.367269992828369 20.030057430267334
