/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
M0-control 1 1.9549367427825928 6.034753799438477
M0-control 2 2.6938631534576416 5.700171947479248
M0-control 3 2.300720453262329 5.606275796890259
M0-control 4 2.123106002807617 5.704532146453857
M0-control 5 2.535792350769043 5.6497862339019775
M0-control 6 2.047884941101074 5.584583044052124
M0-control 7 2.046595811843872 5.551877737045288
M0-control 8 2.264824390411377 5.680104732513428
M0-control 9 2.104729175567627 5.678358316421509
M0-control 10 2.286870002746582 5.667581081390381
M0-control 11 2.043693780899048 5.569807529449463
M0-control 12 2.278959274291992 5.638500213623047
M0-control 13 2.852166175842285 5.762305736541748
M0-control 14 2.1348178386688232 5.582032918930054
M0-control 15 2.2873828411102295 5.733844757080078
M0-control 16 2.057102918624878 5.479880094528198
M0-control 17 2.3334474563598633 5.689654111862183
M0-control 18 2.108632802963257 5.735838413238525
M0-control 19 2.081960678100586 5.614196062088013
M0-control 20 2.1949665546417236 5.7706522941589355
M0-control 21 2.171934127807617 5.539755582809448
M0-control 22 2.1032767295837402 5.7339794635772705
M0-control 23 2.2286434173583984 5.677768707275391
M0-control 24 2.2220582962036133 5.684751033782959
M0-control 25 2.0526270866394043 5.707633018493652
M0-control 26 2.1438162326812744 5.474938631057739
M0-control 27 2.376095771789551 5.755916595458984
M0-control 28 2.3495917320251465 5.631057500839233
M0-control 29 2.15341854095459 5.723321437835693
M0-control 30 2.0488486289978027 5.6987464427948
M0-control 31 2.184238910675049 5.4816954135894775
M0-control 32 2.1434743404388428 5.7053303718566895
M0-control 33 1.92264986038208 5.6327292919158936
M0-control 34 2.1102542877197266 5.76697850227356
M0-control 35 2.0100042819976807 5.601532936096191
M0-control 36 2.230898857116699 5.549072265625
M0-control 37 2.13175106048584 5.636542558670044
M0-control 38 2.2714014053344727 5.680245876312256
M0-control 39 2.0574841499328613 5.745065450668335
M0-control 40 2.1945645809173584 5.630425691604614
M0-control 41 2.08367919921875 6.641150236129761
M0-control 42 2.1406376361846924 11.851597785949707
M0-control 43 2.09873104095459 10.175490379333496
M0-control 44 2.1440722942352295 10.171293020248413
M0-control 45 2.1710357666015625 10.18305230140686
M0-control 46 2.192751407623291 10.190543174743652
M0-control 47 2.290113925933838 10.141187906265259
M0-control 48 2.2376954555511475 10.215428113937378
M0-control 49 2.0700364112854004 10.175231695175171
M0-control 50 2.575366497039795 10.322530746459961
M0-control 51 2.031191110610962 10.188876628875732
M0-control 52 2.2151215076446533 10.15665888786316
M0-control 53 2.031085729598999 10.150364875793457
M0-control 54 2.219567060470581 10.114561080932617
M0-control 55 2.164088726043701 9.806699991226196
M0-control 56 2.174553871154785 10.098653078079224
M0-control 57 2.219437837600708 10.141197919845581
