/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
M1-mode prior 1 3.2295939922332764
M1-mode prior 25 2.898021697998047
M1-mode prior 50 2.5106446743011475
M1-mode prior 75 1.9294122457504272
M1-mode prior 100 2.339820146560669
M1-mode prior 125 2.1212477684020996
M1-mode prior 150 2.1918370723724365
M1-mode prior 175 2.163361072540283
M1-mode prior 200 2.130025625228882
M1-mode prior 225 2.437690019607544
M1-mode prior 250 1.922343373298645
M1-mode prior 275 1.8791064023971558
M1-mode prior 300 1.8439340591430664
M1-mode prior 325 1.9339460134506226
M1-mode prior 350 1.8474324941635132
M1-mode prior 375 1.7681509256362915
M1-mode prior 400 1.8018468618392944
M1-mode prior 425 2.1362974643707275
M1-mode prior 450 2.2343201637268066
M1-mode prior 475 2.097256898880005
M1-mode prior 500 2.356438398361206
M1-mode prior 525 1.9980731010437012
M1-mode prior 550 1.6432065963745117
M1-mode prior 575 1.466888189315796
M1-mode prior 600 1.904740333557129
M1-mode prior 625 1.770510196685791
M1-mode prior 650 1.8294916152954102
M1-mode prior 675 1.7797292470932007
M1-mode prior 700 1.6296530961990356
M1-mode prior 725 2.140880584716797
M1-mode prior 750 1.679465889930725
M1-mode prior 775 4.472654342651367
M1-mode prior 800 1.9498786926269531
M1-mode prior 825 1.5629088878631592
M1-mode prior 850 1.9394304752349854
M1-mode prior 875 1.7904462814331055
M1-mode prior 900 1.875342607498169
M1-mode prior 925 1.939439296722412
M1-mode prior 950 1.509802222251892
M1-mode prior 975 1.3877776861190796
M1-mode prior 1000 1.918723225593567
M1-mode prior 1025 1.963418960571289
M1-mode prior 1050 1.8008631467819214
M1-mode prior 1075 2.3258726596832275
M1-mode prior 1100 1.721785545349121
M1-mode prior 1125 1.8770560026168823
M1-mode prior 1150 1.6985529661178589
M1-mode prior 1175 1.960638403892517
M1-mode prior 1200 1.9224342107772827
M1-mode prior 1225 1.8215651512145996
M1-mode prior 1250 1.9004215002059937
M1-mode prior 1275 1.9180673360824585
M1-mode prior 1300 1.6159173250198364
M1-mode prior 1325 2.011821985244751
M1-mode prior 1350 1.6956061124801636
M1-mode prior 1375 1.6291661262512207
M1-mode prior 1400 1.540911078453064
M1-mode prior 1425 1.8130042552947998
M1-mode prior 1450 1.974644660949707
M1-mode prior 1475 1.9062151908874512
M1-mode prior 1500 1.9855085611343384
M1-mode prior 1525 1.6439670324325562
M1-mode prior 1550 1.4881961345672607
M1-mode prior 1575 1.7508268356323242
M1-mode prior 1600 1.8405156135559082
M1-mode prior 1625 1.5813056230545044
M1-mode prior 1650 1.9210509061813354
M1-mode prior 1675 2.318389415740967
M1-mode prior 1700 1.7485038042068481
M1-mode prior 1725 2.1130380630493164
M1-mode prior 1750 1.2725419998168945
M1-mode prior 1775 1.636650562286377
M1-mode prior 1800 1.816227912902832
M1-mode prior 1825 1.6034218072891235
M1-mode prior 1850 1.949058175086975
M1-mode prior 1875 1.502596139907837
M1-mode prior 1900 2.2748327255249023
M1-mode prior 1925 1.8482375144958496
M1-mode prior 1950 1.5336540937423706
M1-mode prior 1975 1.7147244215011597
M1-mode prior 2000 1.5916332006454468
M1-mode 1 1.9552104473114014 10.166499614715576
M1-mode 2 2.6942925453186035 10.180084943771362
M1-mode 3 2.301588296890259 10.182005882263184
M1-mode 4 2.1241486072540283 10.190009355545044
M1-mode 5 2.5370593070983887 10.140453100204468
M1-mode 6 2.0491418838500977 10.216624736785889
M1-mode 7 2.0486555099487305 10.17110013961792
M1-mode 8 2.2664835453033447 10.32158088684082
M1-mode 9 2.1064305305480957 10.195331811904907
M1-mode 10 2.289119005203247 10.15650987625122
M1-mode 11 2.0460619926452637 10.145426273345947
M1-mode 12 2.2817819118499756 10.119993686676025
M1-mode 13 2.8546864986419678 10.644957780838013
M1-mode 14 2.1380765438079834 10.167686939239502
M1-mode 15 2.29119610786438 9.755464792251587
M1-mode 16 2.060986280441284 10.236626625061035
M1-mode 17 2.3370516300201416 10.1612069606781
M1-mode 18 2.1139023303985596 10.825695037841797
M1-mode 19 2.086090087890625 10.16371774673462
M1-mode 20 2.1999623775482178 10.287189722061157
M1-mode 21 2.176197052001953 10.17914342880249
M1-mode 22 2.107820510864258 10.024942636489868
M1-mode 23 2.2329142093658447 10.238301515579224
M1-mode 24 2.228301525115967 9.96291446685791
M1-mode 25 2.061115264892578 10.225862264633179
M1-mode 26 2.1506505012512207 9.932023048400879
M1-mode 27 2.382530927658081 10.229612827301025
M1-mode 28 2.355742931365967 10.178781032562256
M1-mode 29 2.1599984169006348 9.89323353767395
M1-mode 30 2.0545098781585693 10.27008581161499
M1-mode 31 2.193103551864624 9.890132904052734
M1-mode 32 2.1503124237060547 10.19533395767212
M1-mode 33 1.9317238330841064 9.99170470237732
M1-mode 34 2.1184492111206055 10.166506052017212
M1-mode 35 2.017514944076538 10.131604433059692
M1-mode 36 2.241184711456299 10.01067590713501
M1-mode 37 2.140796422958374 10.233978509902954
M1-mode 38 2.2827231884002686 9.9688081741333
M1-mode 39 2.069887161254883 10.160304069519043
M1-mode 40 2.20575213432312 9.95449686050415
M1-mode 41 2.0935895442962646 10.05848217010498
M1-mode 42 2.153810739517212 10.067562341690063
M1-mode 43 2.112725019454956 9.80038070678711
M1-mode 44 2.1551015377044678 10.150157928466797
M1-mode 45 2.1844189167022705 9.949547290802002
M1-mode 46 2.2063827514648438 10.147631406784058
M1-mode 47 2.3080952167510986 9.941153049468994
M1-mode 48 2.254638671875 10.157633304595947
M1-mode 49 2.0818519592285156 10.08422040939331
M1-mode 50 2.59045147895813 9.996015787124634
M1-mode 51 2.044144868850708 10.13072156906128
M1-mode 52 2.229969024658203 9.898826837539673
M1-mode 53 2.043780565261841 10.18226408958435
M1-mode 54 2.23394775390625 9.902985095977783
M1-mode 55 2.1760318279266357 10.209812879562378
M1-mode 56 2.1858150959014893 10.133325338363647
M1-mode 57 2.233095169067383 9.799454927444458
M1-mode 58 2.3110978603363037 9.840623378753662
M1-mode 59 2.1728391647338867 9.953969478607178
M1-mode 60 2.6619443893432617 10.241100311279297
M1-mode 61 2.420553684234619 10.086634397506714
M1-mode 62 1.9796727895736694 10.01332402229309
M1-mode 63 2.141443967819214 10.083919048309326
M1-mode 64 2.1292569637298584 9.912739992141724
M1-mode 65 2.226706027984619 10.20710301399231
M1-mode 66 2.149324417114258 9.858700275421143
M1-mode 67 2.5375564098358154 10.163111209869385
M1-mode 68 2.153346300125122 10.096632719039917
M1-mode 69 2.3860902786254883 10.004966974258423
M1-mode 70 2.12727427482605 10.012511730194092
M1-mode 71 2.096604347229004 9.93876838684082
M1-mode 72 2.2121076583862305 10.186346054077148
M1-mode 73 2.107248544692993 9.924044370651245
M1-mode 74 2.702515125274658 10.197013854980469
M1-mode 75 2.2568061351776123 10.098265886306763
M1-mode 76 2.1783089637756348 9.965698480606079
M1-mode 77 2.2799196243286133 10.093300104141235
M1-mode 78 2.023858070373535 10.066524982452393
M1-mode 79 2.2107722759246826 10.060017824172974
M1-mode 80 2.4200453758239746 10.11804461479187
M1-mode 81 2.4132654666900635 9.878950834274292
M1-mode 82 2.110445022583008 10.046138525009155
M1-mode 83 2.3822200298309326 10.073380947113037
M1-mode 84 2.310152530670166 10.106181859970093
M1-mode 85 2.193117141723633 10.024330377578735
M1-mode 86 1.9857138395309448 10.11794638633728
M1-mode 87 2.288872718811035 10.030494689941406
M1-mode 88 2.508695125579834 10.011979341506958
M1-mode 89 2.223911762237549 10.068384408950806
M1-mode 90 2.359570264816284 10.007301807403564
M1-mode 91 2.141270637512207 10.117371082305908
