arm,step,source,group,weight,total,DC,slow,fast
B0-fixed,500,0,AU,0.6,0.12277631179941964,0.04250680876013004,0.062441481118556484,0.017828021920733093
B0-fixed,500,0,VA,0.08,0.04193573359938917,0.021321962972237502,0.017048497254811595,0.003565273372340063
B0-fixed,500,0,expression,0.32,0.0912537818371482,0.04282356517726788,0.040420551414970016,0.008009665244910315
B0-fixed,500,1,AU,0.6,0.1364654256511745,0.04656188409260634,0.0698294226638868,0.02007411889468134
B0-fixed,500,1,VA,0.08,0.026093424721236214,0.009034803937260687,0.014330672980942616,0.0027279478030329107
B0-fixed,500,1,expression,0.32,0.08990123615422783,0.04316426480680891,0.03966214577257542,0.00707482557484349
B0-fixed,500,2,AU,0.6,0.13491471790211035,0.0520877320676122,0.06425722154228625,0.01856976429221192
B0-fixed,500,2,VA,0.08,0.03029054727592556,0.0126666353405705,0.014888266197279397,0.0027356457380756545
B0-fixed,500,2,expression,0.32,0.06940240644234676,0.02148163468850061,0.03954242372559573,0.008378348028250424
B0-fixed,500,3,AU,0.6,0.12138456982302859,0.04180255812318334,0.06585839212900348,0.013723619570841747
B0-fixed,500,3,VA,0.08,0.021359999199596344,0.006986312891230544,0.012198826351243254,0.002174859957122546
B0-fixed,500,3,expression,0.32,0.0716943987541232,0.025242173410799436,0.039708975188526924,0.006743250154796847
B0-fixed,500,4,AU,0.6,0.10399493179661083,0.03648984726554381,0.05087070190439652,0.016634382626670507
B0-fixed,500,4,VA,0.08,0.023648421028580283,0.010151289576339626,0.01069502557298084,0.002802105879259811
B0-fixed,500,4,expression,0.32,0.06103135137013882,0.026804928423915183,0.027079407889541544,0.007147015056682085
B0-fixed,500,5,AU,0.6,0.11829282132543216,0.04476975385318544,0.061831440182414744,0.011691627289831981
B0-fixed,500,5,VA,0.08,0.030656518623200513,0.012428006927833314,0.015664546196708064,0.002563965498659136
B0-fixed,500,5,expression,0.32,0.059951838179647214,0.01915944099747037,0.036036046287288785,0.00475635089488805
B0-fixed,500,6,AU,0.6,0.11378994607489398,0.03364491345823771,0.06489484956654339,0.015250183050112883
B0-fixed,500,6,VA,0.08,0.030627739376729746,0.012144922922431994,0.01569335881543971,0.002789457638858033
B0-fixed,500,6,expression,0.32,0.0595196252530123,0.016483145295607134,0.0368564255281777,0.006180054429227456
B0-fixed,500,7,AU,0.6,0.11943162610783087,0.04192211029163651,0.05785946221844135,0.019650053597753014
B0-fixed,500,7,VA,0.08,0.0398133326889295,0.022887800583709605,0.01379322562118632,0.003132306484033581
B0-fixed,500,7,expression,0.32,0.08202720425065581,0.028114040108464654,0.044708204688756144,0.009204959453435042
B0-fixed,500,8,AU,0.6,0.09780176139176525,0.03885176704195286,0.03904679316963629,0.01990320118017611
B0-fixed,500,8,VA,0.08,0.027894527925161776,0.011390389683020427,0.012190007755553702,0.004314130486587644
B0-fixed,500,8,expression,0.32,0.06970898707103247,0.018798325048876557,0.036324782786290706,0.014585879235865202
B0-fixed,500,9,AU,0.6,0.10883985772258072,0.029655357535768593,0.061168029700961656,0.01801647048585046
B0-fixed,500,9,VA,0.08,0.033755582430548305,0.017142147823319704,0.013510853701180965,0.003102580906047647
B0-fixed,500,9,expression,0.32,0.055760289092866774,0.012476796021786635,0.03529600190646381,0.007987491164616315
B0-fixed,500,10,AU,0.6,0.1250851292926399,0.05797861770148941,0.05011777108529101,0.0169887405058595
B0-fixed,500,10,VA,0.08,0.02578567582791608,0.011921612034823743,0.010778904002965899,0.0030851597901264374
B0-fixed,500,10,expression,0.32,0.07608855071865131,0.03657098484468534,0.030151829338147754,0.009365736535818226
B0-fixed,500,11,AU,0.6,0.09892570615238189,0.03063246977505406,0.05263544784545024,0.01565778853187758
B0-fixed,500,11,VA,0.08,0.02166247488844253,0.007859824026984775,0.010929588242207374,0.0028730626192503776
B0-fixed,500,11,expression,0.32,0.053709415621276145,0.011932147836888408,0.03306963432888263,0.008707633455505105
B0-fixed,500,12,AU,0.6,0.0977169000223373,0.030671561039707834,0.04584528444371481,0.021200054538914638
B0-fixed,500,12,VA,0.08,0.02943052667102276,0.015007975728164886,0.010806535266995506,0.0036160156758623684
