/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
R-distance 1 5.275552988052368 0.0
R-distance 2 3.4181811809539795 0.0005387468952143592
R-distance 3 3.7674412727355957 -0.0006342893017276197
R-distance 4 3.5923266410827637 0.0007924241591155123
R-distance 5 3.7447593212127686 -0.0014203919492189244
R-distance 6 3.7056236267089844 0.0012858203982602846
R-distance 7 3.686595916748047 3.357183785723805e-05
R-distance 8 3.745417356491089 -0.00010518935302741284
R-distance 9 3.7715773582458496 0.0009622842484382943
R-distance 10 3.7167398929595947 -0.00016745898676830964
R-distance 11 3.7555811405181885 -0.001049367891566533
R-distance 12 3.588320732116699 0.0015381646761731815
R-distance 13 3.7572805881500244 -7.712403762809572e-05
R-distance 14 3.597970962524414 0.0017474709577115278
R-distance 15 3.589369535446167 0.002050657511135512
R-distance 16 3.687086582183838 -0.0002641319974451051
R-distance 17 3.735400676727295 -0.0008656515545901301
R-distance 18 3.6041419506073 -0.00294027927625109
R-distance 19 3.6997017860412598 -0.0007451669397880779
R-distance 20 3.7587080001831055 0.00208518416743857
R-distance 21 3.506692886352539 -0.0033549527297495278
R-distance 22 3.752833604812622 -0.0005890264800044065
R-distance 23 3.6893489360809326 8.535143602657059e-05
R-distance 24 4.036638975143433 -0.002881616910755014
R-distance 25 3.5170552730560303 0.002954134874096326
R-distance 26 3.7712464332580566 -0.0008018466762585775
R-distance 27 3.481205940246582 0.0023754303228777475
R-distance 28 3.6794204711914062 0.004392665597606538
R-distance 29 3.5634758472442627 -0.0016342442262889279
R-distance 30 3.621365547180176 -0.004689437572606892
R-distance 31 3.7569007873535156 -0.0018082984256963643
R-distance 32 3.6792654991149902 -0.00015120693610981562
R-distance 33 3.714094638824463 -0.0008302927080684697
R-distance 34 3.635756254196167 -0.0002873836164077659
R-distance 35 3.6297366619110107 0.00039417336476645917
R-distance 36 3.620069742202759 -0.0006556869410339061
R-distance 37 3.741318941116333 0.0001756945984446645
R-distance 38 3.613537073135376 0.00039275005575234445
R-distance 39 3.6894941329956055 -0.0003291917994751259
R-distance 40 3.7394585609436035 0.0045021175571037025
R-distance 41 3.691287040710449 -0.0031030987289483395
R-distance 42 3.7327446937561035 -0.005935767411018845
R-distance 43 3.7207155227661133 -0.0009828601535588177
R-distance 44 3.7552554607391357 0.0059727682863957915
R-distance 45 3.7305185794830322 0.005263441799943536
R-distance 46 3.5733144283294678 0.0064821614060960545
R-distance 47 3.598189353942871 0.0037425236141558575
R-distance 48 3.590231418609619 0.007488317363728215
R-distance 49 3.633016586303711 0.00206126360190666
R-distance 50 3.709813117980957 -0.0018170621180360058
R-distance 51 3.7522382736206055 0.00017802055723166178
R-distance 52 3.6423914432525635 -0.00038403867644873916
R-distance 53 3.7504115104675293 0.003059488737660843
R-distance 54 3.5646238327026367 -0.008021098041881202
R-distance 55 3.675290822982788 0.0009149055691260344
R-distance 56 3.6713168621063232 0.004417730512086138
R-distance 57 3.736790180206299 0.006598661019081931
R-distance 58 3.6383984088897705 0.007126509381118496
R-distance 59 3.633176803588867 -0.0065806564998048605
R-distance 60 4.057734727859497 -0.0005836263661109343
R-distance 61 3.748715877532959 -0.001487685448113041
R-distance 62 3.8425962924957275 -0.0018789478107343882
R-distance 63 3.828930616378784 -0.003718437089839455
R-distance 64 3.562358856201172 0.0005488154965753722
R-distance 65 3.7764859199523926 0.0011054756942314725
R-distance 66 3.695582628250122 0.001913556124371496
R-distance 67 3.7002015113830566 0.004723962042560004
R-distance 68 3.7210686206817627 -0.005361890616025278
R-distance 69 3.6121039390563965 0.004729525557713288
R-distance 70 3.729422092437744 0.0061415282808340525
R-distance 71 3.8039357662200928 0.0006934569675216551
