/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
R-quality 1 5.150997877120972 0.0
R-quality 2 3.422027111053467 0.0007053318812722865
R-quality 3 7.444711685180664 -0.0005034042867954725
R-quality 4 7.143699884414673 8.601989852081716e-05
R-quality 5 7.388868570327759 -0.00020077193594687516
R-quality 6 7.384385108947754 -0.001551648042770637
R-quality 7 7.3621742725372314 -5.896281086421596e-05
R-quality 8 7.474384546279907 -0.0015518192618038996
R-quality 9 7.603349208831787 0.0015248654140776808
R-quality 10 7.487139463424683 -0.0030196179043649354
R-quality 11 7.714476108551025 -0.0009252239323394918
R-quality 12 7.259735822677612 0.0023392010929377707
R-quality 13 7.79625129699707 -0.0012148614561233728
R-quality 14 7.246298789978027 -0.0015883997308762333
R-quality 15 7.224574089050293 0.0009854403807828761
R-quality 16 7.4869208335876465 0.0020527439715827714
R-quality 17 7.437535285949707 0.0026223255774802112
R-quality 18 7.225656509399414 -0.0003048506656504913
R-quality 19 7.376988410949707 0.0008325606557626486
R-quality 20 7.542604923248291 0.000547578692000883
R-quality 21 7.036255121231079 -0.002208563798634344
R-quality 22 7.400216102600098 -0.0004412458524363672
R-quality 23 7.449014902114868 0.0011415277193464136
R-quality 24 7.600155830383301 -0.004332754991608567
R-quality 25 7.102252006530762 0.00014478401306092792
R-quality 26 7.492677450180054 0.0024760106136547224
R-quality 27 6.8392298221588135 0.0008800019297098062
R-quality 28 7.390923500061035 0.0011271385730537986
R-quality 29 7.160884141921997 -0.004245939731702464
R-quality 30 7.2354114055633545 -0.003344596111898568
R-quality 31 7.544057607650757 -0.0019640015950876943
R-quality 32 7.453055143356323 6.360947285699581e-05
R-quality 33 7.4587013721466064 5.7846696171992566e-05
R-quality 34 7.248434782028198 0.0016494035949726539
R-quality 35 7.197791576385498 0.0020494941550367684
R-quality 36 7.21077823638916 0.0001050944573101731
R-quality 37 7.46912956237793 -0.0005373360431754293
R-quality 38 7.220528602600098 0.0013535226278136748
R-quality 39 7.3768041133880615 -0.002029016428936359
R-quality 40 7.467575550079346 0.0036865883624301434
R-quality 41 7.429979085922241 -0.0027533150237509575
R-quality 42 7.514096975326538 -0.0050433794303103244
R-quality 43 7.391786098480225 0.0008641122428016956
R-quality 44 7.63888144493103 0.0049617525995820705
R-quality 45 7.432807207107544 0.00010694042286161221
R-quality 46 7.162164211273193 0.010563606536656778
R-quality 47 7.262765884399414 0.006249609863186834
R-quality 48 7.22852635383606 0.007510744493504262
R-quality 49 7.47765851020813 0.003898318327792083
R-quality 50 7.463179111480713 -0.003475544474697756
R-quality 51 7.51318097114563 0.0011003858829873538
R-quality 52 7.399142265319824 0.0006348041178881659
R-quality 53 7.656720161437988 -0.00012806909304146076
R-quality 54 7.259286880493164 -0.007563520021827231
R-quality 55 7.367294073104858 0.0013676229424881116
R-quality 56 7.502224922180176 0.003655789528284714
R-quality 57 7.422699928283691 0.006209458074725661
R-quality 58 7.416452169418335 0.0044809636205947355
R-quality 59 7.254506826400757 0.00016236887557710136
R-quality 60 7.765587091445923 -0.002130331157761134
R-quality 61 7.764935493469238 -0.004546419299882132
R-quality 62 7.632819414138794 -0.0022583742279302043
R-quality 63 7.51040244102478 -0.002980286099271723
R-quality 64 7.195973873138428 -0.0026863446438760265
R-quality 65 7.5387489795684814 -0.0009217243748771864
R-quality 66 7.445843696594238 0.002599919842851506
R-quality 67 7.50370979309082 0.0033083461186421918
R-quality 68 7.4620959758758545 -0.0024030506563953225
R-quality 69 7.284312009811401 0.0002267922180188009
R-quality 70 7.530896425247192 0.005172644727102238
R-quality 71 7.519296646118164 -0.0028110459813255775
R-quality 72 7.0612952709198 0.002367839955194029
R-quality 73 7.410573482513428 0.00036382370250862553
