SOURCE_ONLY_SANDBOX_OK
/venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
rec_9cd5422091ab47d8 6 5 5
rec_1c064c7af80b1c1f 8 7 7
rec_25027589fd815e7b 12 10 8
rec_1fc74921b86d3da4 9 6 3
rec_cab3a930231f3ac3 12 11 6
rec_8e0dfb16b6dcf44f 12 9 6
rec_eb47c4bcb72867da 4 3 1
rec_062288095f6935e4 2 1 1
rec_bd38d7ec4a42110c 9 7 7
rec_04abff178d95d180 10 10 9
rec_a198a7545962c6d5 5 4 3
rec_e7ff084be25ef78f 2 1 0
rec_edf6bf4698ce92e2 4 4 3
rec_7ab45c3a31766b99 5 5 3
rec_63968bf0fe253fee 4 4 4
rec_19722061ae58cf44 5 5 5
rec_2b5e252da332f166 6 5 3
rec_c29481746b148838 4 4 2
rec_50c02cdbf9c4107e 9 6 3
rec_3364ab67388590d6 14 6 5
rec_66e6cebe2c873771 13 9 0
rec_4e1cb7fcc32df6a7 16 9 7
rec_9cb20c64a3d87985 12 8 4
rec_bf86167a3d744525 16 13 11
rec_c7f734b6f4c354dd 12 12 7
rec_a8a5e7f5cd87075c 9 7 6
rec_8776e06a3961c189 14 14 12
rec_a881014021812f26 15 13 12
rec_12a0511149132322 5 0 0
rec_496acd7c50aa487d 2 0 0
rec_2c6bf0fe8b345e01 7 5 2
rec_c622baa1c6b9b07d 11 8 6
rec_c1c6237e77cba162 14 9 5
rec_b1420298c34c82ea 12 7 7
FINISHED
