/venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
rec_9cd5422091ab47d8 estimated 0.0 1.603
rec_1c064c7af80b1c1f estimated 0.0 1.671
rec_25027589fd815e7b estimated 0.0 1.436
rec_1fc74921b86d3da4 estimated 0.0 1.152
rec_cab3a930231f3ac3 estimated 0.0 1.917
rec_8e0dfb16b6dcf44f estimated 0.0 1.841
rec_eb47c4bcb72867da estimated 0.0 1.487
rec_062288095f6935e4 estimated 0.0 1.227
rec_bd38d7ec4a42110c estimated 0.0 2.055
rec_04abff178d95d180 estimated 0.0 1.692
rec_a198a7545962c6d5 estimated 0.0 2.229
rec_edf6bf4698ce92e2 estimated 0.0 2.695
rec_7ab45c3a31766b99 estimated 0.0 1.981
rec_63968bf0fe253fee estimated 0.0 1.447
rec_19722061ae58cf44 estimated 0.0 1.415
rec_2b5e252da332f166 estimated 0.0 1.582
rec_c29481746b148838 estimated 0.0 1.894
rec_50c02cdbf9c4107e estimated 0.0 2.054
rec_3364ab67388590d6 estimated 0.0 1.823
rec_4e1cb7fcc32df6a7 estimated 0.0 1.952
rec_9cb20c64a3d87985 estimated 0.0 2.394
rec_bf86167a3d744525 estimated 0.0 2.279
rec_c7f734b6f4c354dd estimated 0.0 1.842
rec_a8a5e7f5cd87075c estimated 0.0 2.033
rec_8776e06a3961c189 estimated 0.0 1.835
rec_a881014021812f26 estimated 0.0 1.783
rec_2c6bf0fe8b345e01 estimated 0.0 1.983
rec_c622baa1c6b9b07d estimated 0.0 1.976
rec_c1c6237e77cba162 estimated 0.0 2.0
rec_b1420298c34c82ea estimated 0.0 1.903
