/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
E0 {'step': 1, 'global_step': 14001, 'FM': 0.5778723955154419, 'task': 1.5978429317474365, 'loss': 2.389517068862915, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 12, 'seconds': 12.742835521697998, 'source_indices': [95, 97, 95, 97], 'crop_start': [197, 859, 1265, 266]}
E0 {'step': 25, 'global_step': 14025, 'FM': 0.455600768327713, 'task': 1.550536870956421, 'loss': 2.213609457015991, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 11, 'seconds': 4.560725450515747, 'source_indices': [583, 585, 586, 583], 'crop_start': [258, 0, 0, 153]}
E0 {'step': 50, 'global_step': 14050, 'FM': 0.2086268961429596, 'task': 1.4877912998199463, 'loss': 1.8954942226409912, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 12, 'seconds': 13.836990594863892, 'source_indices': [583, 586, 586, 586], 'crop_start': [249, 0, 0, 0]}
E0 {'step': 75, 'global_step': 14075, 'FM': 0.25480252504348755, 'task': 1.6070894002914429, 'loss': 2.0769307613372803, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 7, 'seconds': 14.185201168060303, 'source_indices': [1563, 1563, 1562, 1563], 'crop_start': [1067, 1760, 593, 725]}
E0 {'step': 100, 'global_step': 14100, 'FM': 0.47912290692329407, 'task': 1.5908987522125244, 'loss': 2.2828941345214844, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 17, 'seconds': 14.177406549453735, 'source_indices': [1069, 1069, 1069, 1066], 'crop_start': [1239, 216, 1312, 365]}
E0 {'step': 125, 'global_step': 14125, 'FM': 0.22024279832839966, 'task': 1.548936128616333, 'loss': 1.9764366149902344, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 13, 'seconds': 13.131582498550415, 'source_indices': [1069, 1068, 1069, 1069], 'crop_start': [990, 155, 1280, 836]}
E0 {'step': 150, 'global_step': 14150, 'FM': 0.43942275643348694, 'task': 1.6051746606826782, 'loss': 2.2593801021575928, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 6, 'seconds': 13.343727588653564, 'source_indices': [1562, 1562, 1563, 1563], 'crop_start': [1469, 2761, 2104, 264]}
E0 {'step': 175, 'global_step': 14175, 'FM': 0.26245957612991333, 'task': 1.5665230751037598, 'loss': 2.0385935306549072, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 11, 'seconds': 13.946939706802368, 'source_indices': [1, 1, 0, 3], 'crop_start': [3, 2, 57, 236]}
E0 {'step': 200, 'global_step': 14200, 'FM': 0.15756097435951233, 'task': 1.6010388135910034, 'loss': 1.9728291034698486, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 9, 'seconds': 13.364501714706421, 'source_indices': [1263, 1262, 1263, 1260], 'crop_start': [2059, 1136, 738, 936]}
E0 {'step': 225, 'global_step': 14225, 'FM': 0.5232627391815186, 'task': 1.5879868268966675, 'loss': 2.323732376098633, 'lambda_ref': 1.1338064670562744, 'non_null_items': 2, 'semantic_events': 4, 'seconds': 13.273351430892944, 'source_indices': [1068, 1068, 1066, 1069], 'crop_start': [412, 459, 8, 34]}
E0 {'step': 250, 'global_step': 14250, 'FM': 0.6335653066635132, 'task': 1.5887706279754639, 'loss': 2.4349236488342285, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 3, 'seconds': 4.5011305809021, 'source_indices': [1463, 1463, 1463, 1464], 'crop_start': [922, 1440, 1793, 596]}
E0 {'step': 275, 'global_step': 14275, 'FM': 0.4137292504310608, 'task': 1.6028087139129639, 'loss': 2.231004238128662, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 14, 'seconds': 4.498721599578857, 'source_indices': [1263, 1262, 1263, 1260], 'crop_start': [1089, 1560, 1323, 1513]}
E0 {'step': 300, 'global_step': 14300, 'FM': 0.4036816954612732, 'task': 1.3954720497131348, 'loss': 1.9858770370483398, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 12, 'seconds': 4.566293239593506, 'source_indices': [586, 585, 585, 586], 'crop_start': [0, 0, 0, 0]}
E0 {'step': 325, 'global_step': 14325, 'FM': 0.4303136467933655, 'task': 1.568263053894043, 'loss': 2.208420515060425, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 3, 'seconds': 4.674156904220581, 'source_indices': [196, 196, 194, 195], 'crop_start': [3170, 563, 1156, 4107]}
E0 {'step': 350, 'global_step': 14350, 'FM': 0.578116238117218, 'task': 1.6206228733062744, 'loss': 2.415588855743408, 'lambda_ref': 1.1338064670562744, 'non_null_items': 0, 'semantic_events': 0, 'seconds': 4.5264670848846436, 'source_indices': [971, 974, 974, 971], 'crop_start': [1702, 4459, 2219, 1530]}
E0 {'step': 375, 'global_step': 14375, 'FM': 0.27118223905563354, 'task': 1.508394479751587, 'loss': 1.9814095497131348, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 12, 'seconds': 4.517705202102661, 'source_indices': [95, 98, 97, 97], 'crop_start': [751, 683, 758, 109]}
E0 {'step': 400, 'global_step': 14400, 'FM': 0.3909275233745575, 'task': 1.6330047845840454, 'loss': 2.242438793182373, 'lambda_ref': 1.1338064670562744, 'non_null_items': 2, 'semantic_events': 3, 'seconds': 4.565017938613892, 'source_indices': [971, 974, 971, 971], 'crop_start': [815, 1718, 888, 93]}
E0 {'step': 425, 'global_step': 14425, 'FM': 0.35425102710723877, 'task': 1.5469261407852173, 'loss': 2.108165740966797, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 14, 'seconds': 4.497098445892334, 'source_indices': [3, 0, 2, 1], 'crop_start': [250, 51, 0, 3]}
E0 {'step': 450, 'global_step': 14450, 'FM': 0.44987785816192627, 'task': 1.5436663627624512, 'loss': 2.200096607208252, 'lambda_ref': 1.1338064670562744, 'non_null_items': 2, 'semantic_events': 3, 'seconds': 4.595782995223999, 'source_indices': [292, 292, 289, 289], 'crop_start': [335, 807, 24, 459]}
E0 {'step': 475, 'global_step': 14475, 'FM': 0.2939290702342987, 'task': 1.5560314655303955, 'loss': 2.0581676959991455, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 3, 'seconds': 4.524672985076904, 'source_indices': [194, 193, 195, 196], 'crop_start': [325, 1077, 4384, 102]}
E0 {'step': 500, 'global_step': 14500, 'FM': 0.3265233635902405, 'task': 1.5706026554107666, 'loss': 2.107282876968384, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 13, 'seconds': 4.489861726760864, 'source_indices': [98, 97, 97, 95], 'crop_start': [906, 336, 561, 849]}
