/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
E_event {'step': 1, 'global_step': 14001, 'FM': 0.5977725982666016, 'task': 1.5988256931304932, 'loss': 2.410531520843506, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 12, 'seconds': 4.9409003257751465, 'source_indices': [95, 97, 95, 97], 'crop_start': [197, 859, 1265, 266]}
E_event {'step': 25, 'global_step': 14025, 'FM': 0.46005716919898987, 'task': 1.5497140884399414, 'loss': 2.217133045196533, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 11, 'seconds': 4.516674280166626, 'source_indices': [583, 585, 586, 583], 'crop_start': [258, 0, 0, 153]}
E_event {'step': 50, 'global_step': 14050, 'FM': 0.2095278799533844, 'task': 1.4851438999176025, 'loss': 1.893393635749817, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 12, 'seconds': 4.403455495834351, 'source_indices': [583, 586, 586, 586], 'crop_start': [249, 0, 0, 0]}
E_event {'step': 75, 'global_step': 14075, 'FM': 0.25592556595802307, 'task': 1.6069564819335938, 'loss': 2.0779032707214355, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 7, 'seconds': 4.437981843948364, 'source_indices': [1563, 1563, 1562, 1563], 'crop_start': [1067, 1760, 593, 725]}
E_event {'step': 100, 'global_step': 14100, 'FM': 0.4814668297767639, 'task': 1.5938992500305176, 'loss': 2.288640022277832, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 17, 'seconds': 4.468404531478882, 'source_indices': [1069, 1069, 1069, 1066], 'crop_start': [1239, 216, 1312, 365]}
E_event {'step': 125, 'global_step': 14125, 'FM': 0.2223038673400879, 'task': 1.551332712173462, 'loss': 1.9812148809432983, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 13, 'seconds': 4.501436233520508, 'source_indices': [1069, 1068, 1069, 1069], 'crop_start': [990, 155, 1280, 836]}
E_event {'step': 150, 'global_step': 14150, 'FM': 0.44184383749961853, 'task': 1.6050266027450562, 'loss': 2.2616333961486816, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 6, 'seconds': 4.482815980911255, 'source_indices': [1562, 1562, 1563, 1563], 'crop_start': [1469, 2761, 2104, 264]}
E_event {'step': 175, 'global_step': 14175, 'FM': 0.26290959119796753, 'task': 1.5633656978607178, 'loss': 2.035463809967041, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 11, 'seconds': 4.461496829986572, 'source_indices': [1, 1, 0, 3], 'crop_start': [3, 2, 57, 236]}
E_event {'step': 200, 'global_step': 14200, 'FM': 0.15778356790542603, 'task': 1.598523736000061, 'loss': 1.9702000617980957, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 9, 'seconds': 4.471911430358887, 'source_indices': [1263, 1262, 1263, 1260], 'crop_start': [2059, 1136, 738, 936]}
E_event {'step': 225, 'global_step': 14225, 'FM': 0.5322657227516174, 'task': 1.5910271406173706, 'loss': 2.3361825942993164, 'lambda_ref': 1.1338064670562744, 'non_null_items': 2, 'semantic_events': 4, 'seconds': 4.53729248046875, 'source_indices': [1068, 1068, 1066, 1069], 'crop_start': [412, 459, 8, 34]}
E_event {'step': 250, 'global_step': 14250, 'FM': 0.6623541116714478, 'task': 1.5894196033477783, 'loss': 2.4644484519958496, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 3, 'seconds': 4.558770656585693, 'source_indices': [1463, 1463, 1463, 1464], 'crop_start': [922, 1440, 1793, 596]}
E_event {'step': 275, 'global_step': 14275, 'FM': 0.4089007079601288, 'task': 1.6055128574371338, 'loss': 2.2292416095733643, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 14, 'seconds': 4.44801664352417, 'source_indices': [1263, 1262, 1263, 1260], 'crop_start': [1089, 1560, 1323, 1513]}
E_event {'step': 300, 'global_step': 14300, 'FM': 0.40035438537597656, 'task': 1.396601676940918, 'loss': 1.983830451965332, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 12, 'seconds': 4.4312262535095215, 'source_indices': [586, 585, 585, 586], 'crop_start': [0, 0, 0, 0]}
