/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
E_text {'step': 1, 'global_step': 14001, 'FM': 0.5986244678497314, 'task': 1.5983326435089111, 'loss': 2.4108242988586426, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 12, 'seconds': 5.213572263717651, 'source_indices': [95, 97, 95, 97], 'crop_start': [197, 859, 1265, 266]}
E_text {'step': 25, 'global_step': 14025, 'FM': 0.45800918340682983, 'task': 1.5500177145004272, 'loss': 2.2154293060302734, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 11, 'seconds': 4.605757236480713, 'source_indices': [583, 585, 586, 583], 'crop_start': [258, 0, 0, 153]}
E_text {'step': 50, 'global_step': 14050, 'FM': 0.2100709229707718, 'task': 1.4849188327789307, 'loss': 1.893681526184082, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 12, 'seconds': 4.50931453704834, 'source_indices': [583, 586, 586, 586], 'crop_start': [249, 0, 0, 0]}
E_text {'step': 75, 'global_step': 14075, 'FM': 0.25514766573905945, 'task': 1.607296347618103, 'loss': 2.0775105953216553, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 7, 'seconds': 4.531443119049072, 'source_indices': [1563, 1563, 1562, 1563], 'crop_start': [1067, 1760, 593, 725]}
E_text {'step': 100, 'global_step': 14100, 'FM': 0.4813807010650635, 'task': 1.5951488018035889, 'loss': 2.289970874786377, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 17, 'seconds': 4.492473363876343, 'source_indices': [1069, 1069, 1069, 1066], 'crop_start': [1239, 216, 1312, 365]}
E_text {'step': 125, 'global_step': 14125, 'FM': 0.22215315699577332, 'task': 1.551875114440918, 'loss': 1.9816792011260986, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 13, 'seconds': 4.515798568725586, 'source_indices': [1069, 1068, 1069, 1069], 'crop_start': [990, 155, 1280, 836]}
E_text {'step': 150, 'global_step': 14150, 'FM': 0.4417491853237152, 'task': 1.606308102607727, 'loss': 2.2629916667938232, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 6, 'seconds': 4.50667142868042, 'source_indices': [1562, 1562, 1563, 1563], 'crop_start': [1469, 2761, 2104, 264]}
E_text {'step': 175, 'global_step': 14175, 'FM': 0.26292842626571655, 'task': 1.565315842628479, 'loss': 2.037693738937378, 'lambda_ref': 1.1338064670562744, 'non_null_items': 4, 'semantic_events': 11, 'seconds': 4.4357569217681885, 'source_indices': [1, 1, 0, 3], 'crop_start': [3, 2, 57, 236]}
E_text {'step': 200, 'global_step': 14200, 'FM': 0.15883833169937134, 'task': 1.6027944087982178, 'loss': 1.9760971069335938, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 9, 'seconds': 4.429636240005493, 'source_indices': [1263, 1262, 1263, 1260], 'crop_start': [2059, 1136, 738, 936]}
E_text {'step': 225, 'global_step': 14225, 'FM': 0.5265214443206787, 'task': 1.5869972705841064, 'loss': 2.325869083404541, 'lambda_ref': 1.1338064670562744, 'non_null_items': 2, 'semantic_events': 4, 'seconds': 4.472858905792236, 'source_indices': [1068, 1068, 1066, 1069], 'crop_start': [412, 459, 8, 34]}
E_text {'step': 250, 'global_step': 14250, 'FM': 0.6442067623138428, 'task': 1.59116530418396, 'loss': 2.4482803344726562, 'lambda_ref': 1.1338064670562744, 'non_null_items': 3, 'semantic_events': 3, 'seconds': 4.479106664657593, 'source_indices': [1463, 1463, 1463, 1464], 'crop_start': [922, 1440, 1793, 596]}
