clip_id,split,session,audio_path,audio_exists,video_path,video_exists,transcript_path,transcript_exists,speaker_attributes_path,speaker_attributes_exists,audio_features_path,audio_features_exists,coefficients_path,coefficients_exists,listener_attributes_path,listener_attributes_exists,listener_video_path,listener_video_exists
speaker/session0/Camera-2024-06-21-103121-103102,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-21-103121-103102.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-21-103121-103102.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-21-103121-103102.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-21-103121-103102.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-21-103121-103102.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-21-103121-103102.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-21-103121-103102.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-21-103121-103102.mp4,True
speaker/session0/Camera-2024-06-26-093649-093642,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-26-093649-093642.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-26-093649-093642.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-26-093649-093642.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-26-093649-093642.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-26-093649-093642.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-26-093649-093642.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-26-093649-093642.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-26-093649-093642.mp4,True
speaker/session0/Camera-2024-06-26-105024-105025,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-26-105024-105025.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-26-105024-105025.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-26-105024-105025.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-26-105024-105025.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-26-105024-105025.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-26-105024-105025.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-26-105024-105025.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-26-105024-105025.mp4,True
speaker/session0/Camera-2024-06-26-122334-122317,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-26-122334-122317.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-26-122334-122317.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-26-122334-122317.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-26-122334-122317.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-26-122334-122317.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-26-122334-122317.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-26-122334-122317.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-26-122334-122317.mp4,True
speaker/session0/Camera-2024-06-26-151459-151413,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-26-151459-151413.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-26-151459-151413.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-26-151459-151413.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-26-151459-151413.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-26-151459-151413.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-26-151459-151413.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-26-151459-151413.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-26-151459-151413.mp4,True
speaker/session0/Camera-2024-06-26-160214-160213,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-26-160214-160213.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-26-160214-160213.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-26-160214-160213.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-26-160214-160213.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-26-160214-160213.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-26-160214-160213.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-26-160214-160213.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-26-160214-160213.mp4,True
speaker/session0/Camera-2024-06-28-103912-104008,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-28-103912-104008.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-28-103912-104008.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-28-103912-104008.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-28-103912-104008.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-28-103912-104008.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-28-103912-104008.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-28-103912-104008.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-28-103912-104008.mp4,True
speaker/session0/Camera-2024-06-28-112322-112419,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-28-112322-112419.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-28-112322-112419.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-28-112322-112419.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-28-112322-112419.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-28-112322-112419.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-28-112322-112419.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-28-112322-112419.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-28-112322-112419.mp4,True
speaker/session0/Camera-2024-06-28-120152-120208,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-28-120152-120208.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-28-120152-120208.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-28-120152-120208.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-28-120152-120208.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-28-120152-120208.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-28-120152-120208.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-28-120152-120208.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-28-120152-120208.mp4,True
speaker/session0/Camera-2024-06-28-153101-153104,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-28-153101-153104.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-28-153101-153104.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-28-153101-153104.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-28-153101-153104.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-28-153101-153104.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-28-153101-153104.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-28-153101-153104.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-28-153101-153104.mp4,True
speaker/session0/Camera-2024-06-28-160651-160703,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-28-160651-160703.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-28-160651-160703.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-28-160651-160703.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-28-160651-160703.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-28-160651-160703.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-28-160651-160703.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-28-160651-160703.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-28-160651-160703.mp4,True
speaker/session0/Camera-2024-06-28-164549-164628,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-06-28-164549-164628.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-06-28-164549-164628.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-06-28-164549-164628.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-06-28-164549-164628.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-06-28-164549-164628.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-06-28-164549-164628.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-06-28-164549-164628.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-06-28-164549-164628.mp4,True
speaker/session0/Camera-2024-07-04-103805-103835,train,session0,/home/zhengshiyi/react/data/train/audio/speaker/session0/Camera-2024-07-04-103805-103835.wav,True,/home/zhengshiyi/react/data/train/video-face-crop/speaker/session0/Camera-2024-07-04-103805-103835.mp4,True,/home/zhengshiyi/react/data/train/text/speaker/session0/Camera-2024-07-04-103805-103835.txt,True,/home/zhengshiyi/react/data/train/facial-attributes/speaker/session0/Camera-2024-07-04-103805-103835.npy,True,/home/zhengshiyi/react/data/train/audio-features/speaker/session0/Camera-2024-07-04-103805-103835.npy,True,/home/zhengshiyi/react/data/train/coefficients/speaker/session0/Camera-2024-07-04-103805-103835.npy,True,/home/zhengshiyi/react/data/train/facial-attributes/listener/session0/Camera-2024-07-04-103805-103835.npy,True,/home/zhengshiyi/react/data/train/video-face-crop/listener/session0/Camera-2024-07-04-103805-103835.mp4,True
