source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation
0,AU,0,1,750,750,0.020481663537065826,0.5006177677043566
0,AU,1,2,750,426,0.03135770157785373,0.7979162896956837
0,VA,0,1,750,750,0.01810488213104832,1.311185906611648
0,VA,1,2,750,426,0.02221464009640146,1.3293480402510864
0,expression,0,1,750,750,0.025681085869909078,0.9651668025654481
0,expression,1,2,750,426,0.030923228988029898,1.1071685869768753
1,AU,0,1,750,417,0.022928398619904297,0.7901955721179041
1,VA,0,1,750,417,0.005647716678407143,1.0395819189853301
1,expression,0,1,750,417,0.025083736719463155,0.9951764643270476
2,AU,0,1,750,720,0.022695927564664056,0.8594809416278781
2,VA,0,1,750,720,0.008603939143404418,1.1541846258184045
2,expression,0,1,750,720,0.013154726663712419,0.8792446572767766
4,AU,0,1,750,303,0.017536445105420025,0.6229249274571768
4,VA,0,1,750,303,0.00788986693867956,0.812895357657849
4,expression,0,1,750,303,0.014093957086243296,0.8151640562683463
5,AU,0,1,750,298,0.017076732188682355,0.7746736188178389
5,VA,0,1,750,298,0.007288306448734457,0.7246194840855478
5,expression,0,1,750,298,0.013836790714798642,0.715380966629876
6,AU,0,1,750,750,0.018667494284936956,0.8640987559299717
6,AU,1,2,750,750,0.023317147912560596,0.8697163085640949
6,AU,2,3,750,149,0.02882073979936829,0.68609356027526
6,VA,0,1,750,750,0.006509414355584016,0.9289250881182101
6,VA,1,2,750,750,0.008016030732980815,1.046183027595422
6,VA,2,3,750,149,0.010087376045790351,0.8331788705397926
6,expression,0,1,750,750,0.009900736078289878,0.844364469829575
6,expression,1,2,750,750,0.010905196475620303,1.0634030898705207
6,expression,2,3,750,149,0.01520815464153829,0.5901054190438706
7,AU,0,1,750,750,0.024457738929279646,0.8567919257936017
7,AU,1,2,750,422,0.028731520178180724,0.8661430392339873
7,VA,0,1,750,750,0.018881386620750916,0.5703826818020244
7,VA,1,2,750,422,0.022934499705976257,0.9194762734495541
7,expression,0,1,750,750,0.01592095661676666,0.37400053083503787
7,expression,1,2,750,422,0.023337106709990233,0.6290498355737981
8,AU,0,1,750,750,0.018953390423611178,0.8126162708606701
8,AU,1,2,750,568,0.02217952888940701,0.9152973709895371
8,VA,0,1,750,750,0.007748826449107852,0.7090429412172561
8,VA,1,2,750,568,0.007397464594529884,0.6371206290270721
8,expression,0,1,750,750,0.009668208132498517,0.9217941040599448
