model,source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation,undefined_fraction
T0,0,AU,0,1,750,750,0.0004968670842664652,0.15429453117048023,0.0
T0,0,AU,1,2,750,426,-0.000543195816681629,-0.022225005717222582,0.0
T0,0,VA,0,1,750,750,-0.0011161272834173343,-0.3195344554558035,0.0
T0,0,VA,1,2,750,426,-0.0025295265056827967,-0.5484859407247991,0.0
T0,0,expression,0,1,750,750,-0.002304481931887517,-0.2259273414797846,0.0
T0,0,expression,1,2,750,426,-0.003984218957458412,-0.36114401985716266,0.0
G0-local,0,AU,0,1,750,750,0.002853215264710919,0.36170608761705547,0.0
G0-local,0,AU,1,2,750,426,0.001736988630004473,0.06489960722216429,0.0
G0-local,0,VA,0,1,750,750,-0.0005172739181289422,-0.3697753483822919,0.0
G0-local,0,VA,1,2,750,426,-0.0004963518658269591,-0.34953319137653815,0.0
G0-local,0,expression,0,1,750,750,-0.0017248300350759171,-0.1100934705065075,0.0
G0-local,0,expression,1,2,750,426,-0.002319240554341108,-0.2747331032496526,0.0
G1-shared,0,AU,0,1,750,750,0.023334878801776746,0.8623238553214121,0.0
G1-shared,0,AU,1,2,750,426,0.033094690207858206,0.862815896917848,0.0
G1-shared,0,VA,0,1,750,750,0.017587608212919378,0.941410558229356,0.0
G1-shared,0,VA,1,2,750,426,0.021718288230574503,0.9798148488745483,0.0
G1-shared,0,expression,0,1,750,750,0.02395625583483316,0.8550733320589405,0.0
G1-shared,0,expression,1,2,750,426,0.02860398843368879,0.8324354837272226,0.0
T0,1,AU,0,1,750,417,-0.0009952163804018844,-0.07791053469549093,0.0
T0,1,VA,0,1,750,417,-0.00048590608403836723,-0.21499599108221396,0.0
T0,1,expression,0,1,750,417,-0.002486770886133592,-0.2602234460901216,0.0
G0-local,1,AU,0,1,750,417,8.515437136307322e-05,0.0010133397564884748,0.0
G0-local,1,VA,0,1,750,417,-0.00011239348347688832,-0.1249554732205485,0.0
G0-local,1,expression,0,1,750,417,-0.00178191156672181,-0.07123319099702997,0.0
G1-shared,1,AU,0,1,750,417,0.02301355299126737,0.7912089118743926,0.0
G1-shared,1,VA,0,1,750,417,0.005535323194930254,0.9146264457647816,0.0
G1-shared,1,expression,0,1,750,417,0.023301825152741346,0.9239432733300177,0.0
T0,2,AU,0,1,750,720,-0.002619707779304104,-0.24096690393909206,0.0
T0,2,VA,0,1,750,720,-0.0020274236544497114,-0.3033736046774106,0.0
T0,2,expression,0,1,750,720,-0.001721160578818978,-0.06268584205734241,0.0
G0-local,2,AU,0,1,750,720,0.0008902095781654147,0.026153073659176653,0.0
G0-local,2,VA,0,1,750,720,-0.0007694329018913445,-0.1964737669731302,0.0
G0-local,2,expression,0,1,750,720,-0.0008734689254550127,-0.01093962285725774,0.0
G1-shared,2,AU,0,1,750,720,0.02358613714282947,0.8856340152870548,0.0
G1-shared,2,VA,0,1,750,720,0.007834506241513073,0.9577108588452744,0.0
G1-shared,2,expression,0,1,750,720,0.012281257738257405,0.8683050344195189,0.0
T0,4,AU,0,1,750,303,-0.0015262405519004317,-0.1549207375497361,0.0
T0,4,VA,0,1,750,303,0.000806734567199045,0.1608123487864049,0.0
T0,4,expression,0,1,750,303,-0.0008027441941762916,-0.004922333687113839,0.0
G0-local,4,AU,0,1,750,303,0.0010841075042315488,0.10526917382943077,0.0
G0-local,4,VA,0,1,750,303,0.0001164786468970827,0.060020269610577937,0.0
G0-local,4,expression,0,1,750,303,0.0005479524846239768,0.022048323910547202,0.0
G1-shared,4,AU,0,1,750,303,0.018620552609651574,0.7281941012866076,0.0
G1-shared,4,VA,0,1,750,303,0.008006345585576643,0.872915627268427,0.0
G1-shared,4,expression,0,1,750,303,0.014641909570867273,0.8372123801788935,0.0
T0,5,AU,0,1,750,298,0.002991678344574125,0.20737742495072464,0.0
T0,5,VA,0,1,750,298,0.0017890307832132586,0.2943604134790081,0.0
T0,5,expression,0,1,750,298,0.00027054592235926196,0.06333598228107475,0.0
G0-local,5,AU,0,1,750,298,0.004211516736532881,0.10715573571934695,0.0
G0-local,5,VA,0,1,750,298,0.0007581126641595534,0.21204830993487556,0.0
G0-local,5,expression,0,1,750,298,0.00037542749363045987,0.05297601727022186,0.0
G1-shared,5,AU,0,1,750,298,0.021288248925215237,0.8818293545371858,0.0
