model,source,group,candidate_covariance,correlation,undefined_fraction
G0-local,0,AU,0.002295101947357696,0.21330284741960986,0.0
G0-local,0,VA,-0.0005068128919779506,-0.35965426987941507,0.0
G0-local,0,expression,-0.0020220352947085125,-0.19241328687808007,0.0
G0-local,1,AU,8.515437136307322e-05,0.0010133397564884748,0.0
G0-local,1,VA,-0.00011239348347688832,-0.1249554732205485,0.0
G0-local,1,expression,-0.00178191156672181,-0.07123319099702997,0.0
G0-local,2,AU,0.0008902095781654147,0.026153073659176653,0.0
G0-local,2,VA,-0.0007694329018913445,-0.1964737669731302,0.0
G0-local,2,expression,-0.0008734689254550127,-0.01093962285725774,0.0
G0-local,4,AU,0.0010841075042315488,0.10526917382943077,0.0
G0-local,4,VA,0.0001164786468970827,0.060020269610577937,0.0
G0-local,4,expression,0.0005479524846239768,0.022048323910547202,0.0
G0-local,5,AU,0.004211516736532881,0.10715573571934695,0.0
G0-local,5,VA,0.0007581126641595534,0.21204830993487556,0.0
G0-local,5,expression,0.00037542749363045987,0.05297601727022186,0.0
G0-local,6,AU,-8.124446321376412e-05,-0.018090104735399685,0.0
G0-local,6,VA,0.0001032277834387998,-0.022582909633096834,0.0
G0-local,6,expression,0.00017442821356134668,-0.02847967091690423,0.0
G0-local,7,AU,0.00036557374047605916,-0.031674151920617864,0.0
G0-local,7,VA,0.00015326598017307975,0.23103191840447218,0.0
G0-local,7,expression,0.001864063288467421,0.3354710163236809,0.0
G0-local,8,AU,0.0006811416216181275,-0.09423690818523978,0.0
G0-local,8,VA,0.00030271580056627934,0.2985891996190032,0.0
G0-local,8,expression,0.0008650038553580773,0.10328896203594029,0.0
G0-local,9,AU,0.0016786252302252876,0.17885815892048285,0.0
G0-local,9,VA,0.0004184652013579796,0.369378634597201,0.0
G0-local,9,expression,0.00043016336509071965,0.17727314409483802,0.0
G0-local,10,AU,0.0013221105748546398,0.0918512054357705,0.0
G0-local,10,VA,0.00013089599627617103,-0.1397851624802921,0.0
G0-local,10,expression,0.0005922168988366597,0.1432784285148442,0.0
G0-local,11,AU,0.00030999317910516066,0.12042999491043913,0.0
G0-local,11,VA,0.000498037408787505,0.36507056335386723,0.0
G0-local,11,expression,0.002372772240398018,0.42862311990157564,0.0
G0-local,12,AU,0.0021992304926859016,0.12599608969304457,0.0
G0-local,12,VA,-5.350459947798675e-05,0.026078254073899458,0.0
G0-local,12,expression,0.0001369479075218881,0.047073861797867475,0.0
G0-local,13,AU,-0.00024786125586800776,-0.06206684718773084,0.0
G0-local,13,VA,0.00010013590795171939,0.03824134062422748,0.0
G0-local,13,expression,0.00017505936033696337,-0.007750645634021544,0.0
G0-local,14,AU,-0.000847682872064278,-0.11109640081885404,0.0
G0-local,14,VA,-0.0001312510405129331,-0.12374424927318342,0.0
G0-local,14,expression,-0.0009971364401044412,-0.048168354038082804,0.0
G0-local,15,AU,0.00038263802243137016,0.018275773019109376,0.0
G0-local,15,VA,-1.1468798949781537e-05,-0.03939766101937855,0.0
G0-local,15,expression,-0.00026224109431075715,-0.09086134621666274,0.0
G0-local,16,AU,0.0008442421202854243,0.07031703681838022,0.0
G0-local,16,VA,0.00010707305515282962,0.13958568679684405,0.0
G0-local,16,expression,0.0008971702881732081,0.128823785978922,0.0
G0-local,17,AU,0.0014742509509352855,0.004191085400433253,0.0
G0-local,17,VA,-0.0002132378468017092,-0.15020871875938566,0.0
G0-local,17,expression,-0.0013633033358800846,0.018136093360768876,0.0
G0-local,18,AU,-0.00019221179076081427,0.10516684411731556,0.0
G0-local,18,VA,8.594614983388477e-05,0.00989123123237232,0.0
G0-local,18,expression,-0.00011729726355478893,-0.056029271281580036,0.0
G0-local,19,AU,-0.0007092587934541137,0.023614910688846347,0.0
G0-local,19,VA,0.0004703085661374587,0.29873029932599754,0.0
G0-local,19,expression,-0.0006088290629827534,-0.08097108264742232,0.0
G0-local,20,AU,-0.002121852840645044,-0.15995117344916954,0.0
G0-local,20,VA,0.00010125349674436248,0.09122247654879329,0.0
G0-local,20,expression,0.0006060805865821622,-0.13236499959704345,0.0
G0-local,21,AU,0.0017844065561333387,-0.0077142843016962444,0.0
G0-local,21,VA,0.000983893604898081,0.3800563074207042,0.0
G0-local,21,expression,-0.0005636815846547531,-0.10334566932026713,0.0
G0-local,22,AU,0.003469138778740377,0.16891291670513625,0.0
G0-local,22,VA,0.0013295250660404912,0.3556193721634696,0.0
G0-local,22,expression,0.005509819979952513,0.011169235853561214,0.0
G0-local,23,AU,0.0038387287348420084,0.11812334202421512,0.0
G0-local,23,VA,-0.0003480586508821221,-0.15621206471854243,0.0
G0-local,23,expression,-0.0013943221652312344,-0.18303384213063117,0.0
G0-local,24,AU,0.0010186265640426061,-0.09155838445747964,0.0
G0-local,24,VA,0.0001936167576107109,0.07550923985332188,0.0
G0-local,24,expression,0.002133613858765134,0.26777648123453157,0.0
G0-local,25,AU,-0.0029869619511635817,-0.09979141407486228,0.0
G0-local,25,VA,-0.00016803244571378956,-0.06563377818951768,0.0
G0-local,25,expression,-0.0009238547706741854,-0.15191009595429136,0.0
G0-local,26,AU,0.001573043661134451,0.12097346618847243,0.0
G0-local,26,VA,0.0006216820970582229,0.5186718529461374,0.0
G0-local,26,expression,2.3123169832201364e-06,-0.020770124012749323,0.0
G0-local,27,AU,-0.0037768702241246944,-0.2370229294353797,0.0
G0-local,27,VA,-0.000553022179518153,-0.42048115335461633,0.0
G0-local,27,expression,-0.0005302421678191835,-0.255336894727613,0.0
G0-local,30,AU,-0.0010988387415262367,0.12049775438208332,0.0
G0-local,30,VA,-0.00041323579191285514,-0.3639749631798997,0.0
G0-local,30,expression,-0.0020882717419882495,-0.09899249054547596,0.0
G0-local,31,AU,-0.004057432787132984,-0.1842649673272286,0.0
G0-local,31,VA,0.00046320073999367385,-0.08518112007748063,0.0
G0-local,31,expression,0.0022589826521495237,-0.10542930787922018,0.0
G0-local,34,AU,-0.00014274065864890148,-0.04678693759035711,0.0
G0-local,34,VA,0.0003240821157812457,0.18212271139467148,0.0
G0-local,34,expression,-0.0014642388515215812,-0.09074375867909597,0.0
G0-local,42,AU,-0.00043900605514256963,-0.06880649368790098,0.0
G0-local,42,VA,-0.00019166731740610394,-0.26370736084869895,0.0
G0-local,42,expression,-0.000547573845496551,-0.0022552617784207044,0.0
G0-local,43,AU,-0.002575040915627056,-0.10636082526911603,0.0
G0-local,43,VA,6.721949862545682e-05,-0.0029406925489942337,0.0
G0-local,43,expression,0.0006377057115112997,-0.032376374219849915,0.0
G0-local,44,AU,-0.0025677540527746143,0.05989035534096095,0.0
G0-local,44,VA,0.00047428293417115533,0.2791859876741322,0.0
G0-local,44,expression,0.00023808569759392563,0.06393560505316866,0.0
G0-local,45,AU,-0.001010048428229761,-0.03511456832116189,0.0
G0-local,45,VA,0.0013216289468515026,0.11382735921543567,0.0
G0-local,45,expression,-0.0006883195549872437,-0.10667821353453892,0.0
G0-local,46,AU,-0.00017709234034743953,-0.04738438498795747,0.0
G0-local,46,VA,-0.00025735510101271205,-0.08720386713167864,0.0
G0-local,46,expression,-0.0010947173027158472,-0.07403648225682641,0.0
G0-local,47,AU,-0.002383990491387247,-0.19859748147528533,0.0
G0-local,47,VA,-0.0006316800450634322,-0.09117965387039767,0.0
G0-local,47,expression,-0.0009481146231455468,-0.04842556265978091,0.0
G0-local,48,AU,-0.0039281207219559085,-0.05850848041279843,0.0
G0-local,48,VA,0.0003695238860586653,0.20818733421745786,0.0
G0-local,48,expression,-0.0016026782817609843,-0.16329294911553535,0.0
G0-local,49,AU,0.0010513387113527627,0.026763044214309386,0.0
G0-local,49,VA,-0.0005584016056872333,-0.18129782413757903,0.0
G0-local,49,expression,-0.0003304436862141803,-0.0026376267023265343,0.0
G0-local,50,AU,-0.00011216171572636771,0.17026628390076662,0.0
G0-local,50,VA,-0.0001645032578586825,-0.13089147250549377,0.0
G0-local,50,expression,-0.001560900811556037,0.025070568900889156,0.0
G0-local,51,AU,0.001817971688314061,0.019028952039734977,0.0
G0-local,51,VA,-0.0004445031922459062,-0.19356476844684165,0.0
G0-local,51,expression,-0.0003637672982352249,0.18453372459310177,0.0
G0-local,52,AU,0.0006951415600334811,-0.004126489719831909,0.0
G0-local,52,VA,-9.063301354243533e-05,-0.07933353179843891,0.0
G0-local,52,expression,-1.6985783756598365e-06,0.07896753344853301,0.0
G0-local,53,AU,-0.00211439094164449,-0.09733049092968613,0.0
G0-local,53,VA,-0.00023615787755140613,-0.10433123765997447,0.0
G0-local,53,expression,-0.000933518274721281,-0.08630968322364556,0.0
G0-local,54,AU,0.0007668257035702115,-0.01464941388034076,0.0
G0-local,54,VA,2.7296897794552762e-05,-0.05863853880756689,0.0
G0-local,54,expression,-9.670097650594237e-05,-0.11105903914273565,0.0
G0-local,55,AU,-0.0013438031448103705,0.004125898793254916,0.0
G0-local,55,VA,-0.00010152608948669089,-0.11873981980489856,0.0
G0-local,55,expression,-3.0586113732223436e-05,-0.10034016761974857,0.0
G0-local,56,AU,-0.000245882448370168,0.10025384477081671,0.0
G0-local,56,VA,-0.00019354408034364298,0.11733602832267406,0.0
G0-local,56,expression,-0.00028883324773392105,-0.16012212441165444,0.0
G0-local,57,AU,-0.0030376489121860853,-0.16116880689159357,0.0
G0-local,57,VA,-0.0002136584366149302,-0.1984642060271273,0.0
G0-local,57,expression,0.001160404150865745,0.11646472071465581,0.0
G0-local,58,AU,-0.00021234887037434926,0.11563360336243216,0.0
G0-local,58,VA,0.00039794965547560715,0.4167619339801941,0.0
G0-local,58,expression,0.001416860374879812,0.13479178822000593,0.0
G0-local,59,AU,-0.0010792810682296523,-0.004008374750437862,0.0
G0-local,59,VA,-0.000647845066072725,0.03700425121291867,0.0
G0-local,59,expression,-0.002095671089790395,-0.020161190901177177,0.0
G0-local,60,AU,0.001849793703643915,0.09021509533469828,0.0
G0-local,60,VA,-0.00012103114104206031,-0.12708991459774338,0.0
G0-local,60,expression,0.0014653948302094564,0.229068395562784,0.0
G0-local,61,AU,0.0015708752397333879,0.07291106015646912,0.0
G0-local,61,VA,0.00024122700319645794,0.10826818559487136,0.0
G0-local,61,expression,2.562941349879103e-06,0.0708856838079192,0.0
G0-local,62,AU,-0.0006342976698340021,-0.047673381305489496,0.0
G0-local,62,VA,8.543157820182938e-05,-0.054667181897242276,0.0
G0-local,62,expression,-0.0011395472125786614,0.008808767883274553,0.0
G0-local,63,AU,0.0004109620996621728,-0.08214227477513983,0.0
G0-local,63,VA,-0.00020944060474100096,-0.13259913726471462,0.0
G0-local,63,expression,8.470758289550319e-05,-0.029904285655427784,0.0
G0-local,64,AU,-0.0008194356661969483,-0.047292636521396314,0.0
G0-local,64,VA,5.979545080519224e-05,0.07762697171453964,0.0
G0-local,64,expression,-0.00034238512132743845,0.03728527695979589,0.0
G0-local,65,AU,-0.0006455482293005836,-0.020798167336235244,0.0
G0-local,65,VA,0.00017722728476022098,-0.08549507268719421,0.0
G0-local,65,expression,-0.00022986976769956923,0.021868061174332664,0.0
G0-local,66,AU,-0.00017956826104556143,0.0012217735302779812,0.0
G0-local,66,VA,2.033242395917677e-05,0.048770953356435144,0.0
G0-local,66,expression,5.94023025629195e-05,0.08884791509387198,0.0
G0-local,67,AU,0.00045929131662954676,0.03806238984065785,0.0
G0-local,67,VA,-5.243993551019091e-05,0.041771378347347454,0.0
G0-local,67,expression,3.853673026055351e-05,0.06461487374860021,0.0
G0-local,68,AU,0.0010881382822737855,0.029028866556581403,0.0
G0-local,68,VA,-8.525637779029479e-05,-0.07223798221749077,0.0
G0-local,68,expression,0.0009149666194219018,0.07334430667003322,0.0
G0-local,69,AU,-0.0014790838492420005,0.09887602174002232,0.0
G0-local,69,VA,7.388094554762509e-05,0.0978698227174194,0.0
G0-local,69,expression,-0.0006447398009045062,0.07535500711527575,0.0
G0-local,70,AU,0.00011888139991996909,-0.11372731077523623,0.0
G0-local,70,VA,-5.639533986473511e-05,-0.12315172359803417,0.0
G0-local,70,expression,0.0004376927505764579,0.07786163725694949,0.0
G0-local,71,AU,0.0023197540325007033,0.13397816875566318,0.0
G0-local,71,VA,-0.0001245659946979573,0.02093416060771712,0.0
G0-local,71,expression,0.0005117891424316086,0.06696277104871219,0.0
G0-local,72,AU,-0.0010373198408814314,0.0025463126613869186,0.0
G0-local,72,VA,-0.00014887564505077926,-0.08404212530790975,0.0
G0-local,72,expression,-0.000917868725592784,-0.028802383542275933,0.0
G0-local,73,AU,-0.0001361358983474759,0.041475279140877876,0.0
G0-local,73,VA,3.617145168485028e-05,0.08838673560825847,0.0
G0-local,73,expression,0.0004567274909868423,0.045902498993440476,0.0
G0-local,74,AU,6.920251304987771e-05,0.0028701506118472215,0.0
G0-local,74,VA,-0.0002793285114725271,-0.07440356870857812,0.0
G0-local,74,expression,-0.00014378118938265715,0.040015103260541675,0.0
G0-local,75,AU,0.00017487919454750212,0.022346705581794756,0.0
G0-local,75,VA,-0.00016197748389390525,-0.10239683460453472,0.0
G0-local,75,expression,0.00028413371387749493,0.025861536035263265,0.0
G0-local,76,AU,-0.00031845810268403725,-0.01575378127965868,0.0
G0-local,76,VA,-0.0005250309586013779,-0.19428356037385,0.0
G0-local,76,expression,-0.0010669867127916237,0.030954889325724523,0.0
G0-local,77,AU,-0.0013890210141338688,-0.15295635909475572,0.0
G0-local,77,VA,-1.1408564977719556e-05,0.013994596496688518,0.0
G0-local,77,expression,-0.0003134674249758642,-0.05243436777261383,0.0
G0-local,78,AU,-0.0005914407237078124,-0.005617077137416061,0.0
G0-local,78,VA,0.00016771745384922215,0.002694764467283691,0.0
G0-local,78,expression,-0.00023803515297869917,0.012587679414085812,0.0
G0-local,79,AU,0.0006525783152005951,0.06537530676263481,0.0
G0-local,79,VA,0.00020362497343596244,0.10824717103251412,0.0
G0-local,79,expression,0.0009013567361540741,0.05621654672128379,0.0
G1-shared,0,AU,0.028214784504817476,0.8625698761196301,0.0
G1-shared,0,VA,0.01965294822174694,0.9606127035519522,0.0
G1-shared,0,expression,0.026280122134260973,0.8437544078930816,0.0
G1-shared,1,AU,0.02301355299126737,0.7912089118743926,0.0
G1-shared,1,VA,0.005535323194930254,0.9146264457647816,0.0
G1-shared,1,expression,0.023301825152741346,0.9239432733300177,0.0
G1-shared,2,AU,0.02358613714282947,0.8856340152870548,0.0
G1-shared,2,VA,0.007834506241513073,0.9577108588452744,0.0
G1-shared,2,expression,0.012281257738257405,0.8683050344195189,0.0
G1-shared,4,AU,0.018620552609651574,0.7281941012866076,0.0
G1-shared,4,VA,0.008006345585576643,0.872915627268427,0.0
G1-shared,4,expression,0.014641909570867273,0.8372123801788935,0.0
G1-shared,5,AU,0.021288248925215237,0.8818293545371858,0.0
G1-shared,5,VA,0.008046419112894011,0.9366677940204233,0.0
G1-shared,5,expression,0.014212218208429103,0.7683569839000979,0.0
G1-shared,6,AU,0.02352054953574152,0.7885461035210426,0.0
G1-shared,6,VA,0.008307501494890528,0.9135127524513781,0.0
G1-shared,6,expression,0.012179123945377504,0.8041446553310845,0.0
G1-shared,7,AU,0.026960203294206245,0.8297933305931766,0.0
G1-shared,7,VA,0.021061209143536666,0.9759613960302614,0.0
G1-shared,7,expression,0.02149309495184587,0.8369961995280989,0.0
G1-shared,8,AU,0.02124760127812722,0.7697199127398638,0.0
G1-shared,8,VA,0.007875861322385148,0.9716709847411673,0.0
G1-shared,8,expression,0.012473001993891845,0.890265215858507,0.0
G1-shared,9,AU,0.013502357308694727,0.7342701121746811,0.0
G1-shared,9,VA,0.012394872144269709,0.9849893638292644,0.0
G1-shared,9,expression,0.008425870447918298,0.7805074437773784,0.0
G1-shared,10,AU,0.025994105002051703,0.6720511848945292,0.0
G1-shared,10,VA,0.009131581208927219,0.880885227019865,0.0
G1-shared,10,expression,0.01913948483081077,0.7497172444488003,0.0
G1-shared,11,AU,0.010037309692003423,0.5667569468010737,0.0
G1-shared,11,VA,0.004946415046571681,0.8942809542795721,0.0
G1-shared,11,expression,0.0056038333094533665,0.813035519891033,0.0
G1-shared,12,AU,0.01702117972990671,0.814051921313912,0.0
G1-shared,12,VA,0.010900912978845373,0.9374138709616087,0.0
G1-shared,12,expression,0.022247924135954916,0.8485396983075282,0.0
G1-shared,13,AU,0.024804204256914462,0.7578464910221938,0.0
G1-shared,13,VA,0.010594363770772655,0.9651760960290551,0.0
G1-shared,13,expression,0.021981307200446165,0.8891368899026623,0.0
G1-shared,14,AU,0.013443356464204867,0.8245371211451802,0.0
G1-shared,14,VA,0.007474796378897401,0.9686231692881024,0.0
G1-shared,14,expression,0.005999142306396159,0.8493967494143797,0.0
G1-shared,15,AU,0.02089788942714423,0.8489565059039585,0.0
G1-shared,15,VA,0.008720919667013723,0.9629739929409952,0.0
G1-shared,15,expression,0.03293936741315409,0.8734122062909138,0.0
G1-shared,16,AU,0.0179916751091275,0.7922544457786617,0.0
G1-shared,16,VA,0.00907673876528959,0.9640136164596724,0.0
G1-shared,16,expression,0.015167245787868853,0.8665616057343308,0.0
G1-shared,17,AU,0.017306516885259256,0.7615839155670214,0.0
G1-shared,17,VA,0.005388290864489098,0.9325825181442191,0.0
G1-shared,17,expression,0.012470501044570054,0.8456700683587318,0.0
G1-shared,18,AU,0.013023761991628139,0.7048979635714198,0.0
G1-shared,18,VA,0.008814024315007309,0.9794091013600117,0.0
G1-shared,18,expression,0.012955283284207005,0.8886046389338565,0.0
G1-shared,19,AU,0.0116210670275561,0.7562233783401423,0.0
G1-shared,19,VA,0.00904891933598175,0.9433764899422018,0.0
G1-shared,19,expression,0.010171995951014994,0.8551873690702868,0.0
G1-shared,20,AU,0.009934195272650137,0.7621659038406491,0.0
G1-shared,20,VA,0.007634573120310051,0.9687950018760133,0.0
G1-shared,20,expression,0.00808671128999918,0.776265263490372,0.0
G1-shared,21,AU,0.012824051880794867,0.7073758773796032,0.0
G1-shared,21,VA,0.005419270467301356,0.8453296189188502,0.0
G1-shared,21,expression,0.020180316038095756,0.8328752604809925,0.0
G1-shared,22,AU,0.010902444017247546,0.681427882266934,0.0
G1-shared,22,VA,0.009468853249654009,0.9183550123631192,0.0
G1-shared,22,expression,0.024192471674746106,0.8152089158974303,0.0
G1-shared,23,AU,0.014251831845081157,0.7167992449475858,0.0
G1-shared,23,VA,0.005858371104114706,0.8640512819563165,0.0
G1-shared,23,expression,0.00925212464364296,0.7677057294687917,0.0
G1-shared,24,AU,0.02033061884937394,0.7209241296084772,0.0
G1-shared,24,VA,0.0059413469310020586,0.9204676449674278,0.0
G1-shared,24,expression,0.019068440582710823,0.7760055194926767,0.0
G1-shared,25,AU,0.0233030229630815,0.6747804098635533,0.0
G1-shared,25,VA,0.00464840414777618,0.9122821687951304,0.0
G1-shared,25,expression,0.023596504953973384,0.7783888336344628,0.0
G1-shared,26,AU,0.029887889145320992,0.9202185931532634,0.0
