pairing,comparison,group,source,r_contribution,scale_contribution,mean_contribution
A_native,G1-minus-T0,AU,0,0.002521196386108688,0.0016545234024243946,-0.00865021444751691
A_native,G1-minus-T0,AU,1,-0.019626476549727045,-0.0045080970381651845,-0.0012780679888605949
A_native,G1-minus-T0,AU,2,-0.0010826474889900994,-0.00902373580589937,-0.005072458668769083
A_native,G1-minus-T0,AU,3,-0.019285480785886756,-0.0009988119487771507,-1.4760957092747745e-05
A_native,G1-minus-T0,AU,4,-0.016443427999973146,-0.015043956638642185,-0.003525004227124877
A_native,G1-minus-T0,AU,5,-0.04868951084822582,-0.005925959304449425,-0.004423779004340771
A_native,G1-minus-T0,AU,6,-7.499537739422875e-05,-0.00037618847210169005,-0.0016053197154998193
A_native,G1-minus-T0,AU,7,-0.018509475540556496,-0.010946492701418072,-0.009746650760932916
A_native,G1-minus-T0,AU,8,-0.021688000706668178,-0.012220481037683341,0.001384720068644712
A_native,G1-minus-T0,AU,9,-0.044434817398544005,-0.013091063859326896,-0.002629858693934993
A_native,G1-minus-T0,AU,10,-0.011848017548713561,-0.0006295314612235263,-0.004411245057118379
A_native,G1-minus-T0,AU,11,-0.022639078246454433,-0.011927398175762131,-0.003320619715505182
A_native,G1-minus-T0,AU,12,-0.01039527033713699,-0.0009125958077728914,-0.003966863169608681
A_native,G1-minus-T0,AU,13,-0.011384598556299148,-0.01252363661383685,-0.0016323492775717988
A_native,G1-minus-T0,AU,14,-0.005581868189482286,0.00011446539602802915,-0.0032368505856721196
A_native,G1-minus-T0,AU,15,-0.019284317179591778,-0.014514958405949864,-0.0034491363682697504
A_native,G1-minus-T0,AU,16,-0.03233648598586293,-0.003233591590012538,-0.002101910316306639
A_native,G1-minus-T0,AU,17,-0.02666604602067886,-0.007277530330303964,-0.0008723707633575807
A_native,G1-minus-T0,AU,18,-0.013294347708706734,-0.0041083000816991,-0.004014288862125411
A_native,G1-minus-T0,AU,19,-0.009690829953458765,-0.004874646302322682,-0.0027452724595297046
A_native,G1-minus-T0,AU,20,-0.04070078842810271,-0.014198960207308143,-0.004700889124621085
A_native,G1-minus-T0,AU,21,-0.034273334195914266,-0.01262807669374779,-0.008572573187825625
A_native,G1-minus-T0,AU,22,-0.05774592967850749,-0.028387367488216075,-0.003983792212352196
A_native,G1-minus-T0,AU,23,-0.03950605958732497,-0.018553599561175485,-0.0026949339288401208
A_native,G1-minus-T0,AU,24,-0.038750044169435956,-0.0057263365597062955,-0.01717117698686702
A_native,G1-minus-T0,AU,25,-0.02527969689897257,-0.0031424471068130723,-0.011122331896628933
A_native,G1-minus-T0,AU,26,-0.019698239745575375,-0.009407295963221826,-0.013839393728820627
A_native,G1-minus-T0,AU,27,0.008223209183245542,-0.009685298067799815,-0.002207600834392209
A_native,G1-minus-T0,AU,28,-0.003070727773122751,-0.016906561647388074,0.0036692018896528457
A_native,G1-minus-T0,AU,29,0.005376208959326383,-0.002313355628553387,-0.0013907103427040816
A_native,G1-minus-T0,AU,30,-0.00015178091779365985,-0.01095406075373951,9.466406395322295e-05
A_native,G1-minus-T0,AU,31,-0.023796473217867962,-0.009622630200218267,-0.0093518347571965
A_native,G1-minus-T0,AU,32,-0.009074732953789329,-0.003151974051525293,-0.00608481243539905
A_native,G1-minus-T0,AU,33,-0.002237473013032789,0.0042637240835243255,-0.000428665735735941
A_native,G1-minus-T0,AU,34,-0.006918159102528009,-0.010737631611692978,-0.004655157281785166
A_native,G1-minus-T0,AU,35,0.0023048457463177097,-0.00110817443479221,-0.0054867873791924785
A_native,G1-minus-T0,AU,36,0.02350142996752162,0.0030839469202712084,0.007143885768956665
A_native,G1-minus-T0,AU,37,-0.007700291551253991,-0.009659366035752544,-0.0002806517973626916
A_native,G1-minus-T0,AU,38,-0.0012216129351402668,-0.008257247988138598,0.0013439681328104964
A_native,G1-minus-T0,AU,39,0.04971399497883633,0.003189799414712661,0.006456726882138578
A_native,G1-minus-T0,AU,40,-0.008550004546012643,-0.0007273397125251013,-0.0031971292799014258
A_native,G1-minus-T0,AU,41,-0.015543541315121973,-0.01925470607422587,-0.0035817284666697993
A_native,G1-minus-T0,AU,42,-0.0026164737295692273,0.007735890188483461,-0.004926274233749994
A_native,G1-minus-T0,AU,43,-0.03148447510999345,-0.013163301920025827,-0.003132516946336109
A_native,G1-minus-T0,AU,44,-0.011222127385387515,-0.011990578600568333,-0.0008840585581510688
A_native,G1-minus-T0,AU,45,-0.0018090280238751448,-0.0024731073086086716,-0.0023240826594976296
A_native,G1-minus-T0,AU,46,-0.03836887631463212,-0.009883183406446693,-0.003024074803966695
A_native,G1-minus-T0,AU,47,-0.0322790665526453,-0.016800513192778872,-0.008956278001645394
A_native,G1-minus-T0,AU,48,-0.027455921113290205,-0.04673997130017153,0.001014226256495008
A_native,G1-minus-T0,AU,49,-0.012367628056988647,-0.014053543683958466,0.0024837217279825665
A_native,G1-minus-T0,AU,50,-0.0010741360797741062,-0.009848306608732536,-0.0016251335773606614
A_native,G1-minus-T0,AU,51,-0.013342917977648104,-0.011595101049093696,-0.010398562193388812
A_native,G1-minus-T0,AU,52,-0.024575561338828465,-0.008202909230333913,-0.0028702791682438107
A_native,G1-minus-T0,AU,53,0.009867423207962533,-0.0030619860498830947,0.00010718180951557479
A_native,G1-minus-T0,AU,54,0.00810366354446972,-0.008704760840419446,-0.002967879818283431
A_native,G1-minus-T0,AU,55,0.019231303953553856,-0.005839723080108169,-0.0007462531386559976
A_native,G1-minus-T0,AU,56,-0.03126224984866377,-0.022876854212925905,-0.017001543895637555
A_native,G1-minus-T0,AU,57,-0.03458605263567774,-0.010140074504204618,-0.01200255626082425
A_native,G1-minus-T0,AU,58,-0.0773418170287746,-0.002752003666371509,-0.029931984223376597
A_native,G1-minus-T0,AU,59,-0.04164418239937694,-0.019137085515372354,-0.028470420679073623
A_native,G1-minus-T0,AU,60,-0.008835930748703688,-0.005440316701705874,-0.007724027663308019
A_native,G1-minus-T0,AU,61,-0.004919484049560798,-0.0035633894238143856,-0.0019344508623458342
A_native,G1-minus-T0,AU,62,-0.011940605327608302,-0.0037478784440433894,-0.0015689769371015827
