pairing,model,source,candidate,target,target_switched,ccc
A_native,T0,0,0,0,0,0.028638588984521797
A_native,T0,0,1,0,1,0.018439172349271907
A_native,T0,0,2,4,0,0.01890421957242769
A_native,T0,0,3,4,0,0.04152361212256844
A_native,T0,0,4,4,0,0.027938321283136783
A_native,T0,0,5,4,0,0.0654467674837425
A_native,T0,0,6,4,0,0.042381512870277784
A_native,T0,0,7,4,0,0.045627363402383915
A_native,T0,0,8,4,1,0.03134043419958147
A_native,T0,0,9,6,1,0.028594831091455452
B_fixed_G0,T0,0,0,0,0,0.028638588984521797
B_fixed_G0,T0,0,1,1,1,0.008788367418473178
B_fixed_G0,T0,0,2,4,0,0.01890421957242769
B_fixed_G0,T0,0,3,4,0,0.04152361212256844
B_fixed_G0,T0,0,4,4,0,0.027938321283136783
B_fixed_G0,T0,0,5,4,0,0.0654467674837425
B_fixed_G0,T0,0,6,4,0,0.042381512870277784
B_fixed_G0,T0,0,7,4,0,0.045627363402383915
B_fixed_G0,T0,0,8,0,1,0.013620671410633516
B_fixed_G0,T0,0,9,1,1,-0.0028914010229042315
A_native,G0-local,0,0,0,0,0.012805877494406958
A_native,G0-local,0,1,1,0,0.03001164279463945
A_native,G0-local,0,2,4,0,0.01775761039726832
A_native,G0-local,0,3,4,0,0.01917506282082164
A_native,G0-local,0,4,4,0,0.013839923384944637
A_native,G0-local,0,5,4,0,0.045810661013135065
A_native,G0-local,0,6,4,0,0.027051076080309638
A_native,G0-local,0,7,4,0,0.030109359022063274
A_native,G0-local,0,8,0,0,0.011269450132134292
A_native,G0-local,0,9,1,0,0.024119474242871662
B_fixed_G0,G0-local,0,0,0,0,0.012805877494406958
B_fixed_G0,G0-local,0,1,1,0,0.03001164279463945
B_fixed_G0,G0-local,0,2,4,0,0.01775761039726832
B_fixed_G0,G0-local,0,3,4,0,0.01917506282082164
B_fixed_G0,G0-local,0,4,4,0,0.013839923384944637
B_fixed_G0,G0-local,0,5,4,0,0.045810661013135065
B_fixed_G0,G0-local,0,6,4,0,0.027051076080309638
B_fixed_G0,G0-local,0,7,4,0,0.030109359022063274
B_fixed_G0,G0-local,0,8,0,0,0.011269450132134292
