model,group,total,DC,slow,fast
G0-local,AU,0.07715046944570479,0.010512695501418956,0.0630115537256044,0.0036262202186813377
G0-local,VA,0.02074234846762536,0.0015033283738257876,0.017208370362480595,0.002030649731318875
G0-local,expression,0.042349160880520785,0.005724121304291496,0.03292392361102399,0.003701115965205201
G1-shared,AU,0.11100846627767351,0.03854728438786602,0.05080029366254617,0.021660888227261206
G1-shared,VA,0.035163915214594145,0.017438970584846638,0.014137529366051916,0.003587415263695482
G1-shared,expression,0.07780866293296922,0.034104513591216905,0.03456689123806666,0.009137258103685559
MAM,AU,0.18160834013281418,0.08477208657249731,0.07251999180991987,0.024316261750396896
MAM,VA,0.11866587691100394,0.11192979968943446,0.006201450258409243,0.0005346269631601375
MAM,expression,0.12108643084522433,0.09740480564568617,0.021252873725961397,0.002428751473576675
T0,AU,0.09629837160767168,0.009317224627023137,0.064385318550336,0.022595828430312458
T0,VA,0.029775662350588067,0.0028908197190951825,0.02305090395111708,0.003833938680375694
T0,expression,0.06579876695040539,0.007548891905038333,0.048351426052051664,0.00989844899331529
G0-local,all,0.06150140102659955,0.008259602388130716,0.049719257419888765,0.0035225412185799767
G1-shared,all,0.09431696512232178,0.03543693262869675,0.04267258374299319,0.01620744875063174
MAM,all,0.15720593210304062,0.09098717372527271,0.0508090306989323,0.015409727678835486
T0,all,0.08121668137677977,0.008237245763353763,0.05594771978294749,0.01703171583047842
