model,step,FM_gradient,task_gradient,weighted_task_to_FM,cosine
G0-local,1,0.6309340596199036,1.3686301708221436,2.459467380190752,0.07900773733854294
G0-local,100,0.9894020557403564,1.075056552886963,1.2319623403272322,0.2330242544412613
G0-local,200,0.631147563457489,0.9437635540962219,1.695396263822198,-0.07231289893388748
G0-local,300,0.7891484498977661,0.9437671303749084,1.3559543530153773,-0.09709067642688751
G0-local,400,0.8063963651657104,1.2569804191589355,1.7673350101381493,-0.0018024230375885963
G0-local,500,0.8770186901092529,0.6663418412208557,0.8614442284602579,0.22882601618766785
G0-local,600,0.5854253172874451,0.6682823300361633,1.2942775196761842,0.05214164778590202
G0-local,700,1.1366695165634155,0.7614758014678955,0.7595577919793646,0.1860692948102951
G0-local,800,0.6417133808135986,0.5196903944015503,0.9182110700145418,0.0648176446557045
G0-local,900,0.6635527014732361,1.5108717679977417,2.5816128510143375,-0.03983136638998985
G0-local,1000,0.8488439321517944,0.8474099636077881,1.1318911057664456,-0.02035672403872013
G0-local,1100,0.564583420753479,0.7315254807472229,1.4690624811134974,0.07160573452711105
G0-local,1200,0.4568760097026825,0.7881560921669006,1.955927768958945,-0.11471191048622131
G0-local,1300,1.943897008895874,1.9460947513580322,1.1350883326104246,0.07262202352285385
G0-local,1400,0.5587692856788635,0.7336450219154358,1.4886492362599595,0.03073480911552906
G0-local,1500,1.1565361022949219,1.0875535011291504,1.0661795947425463,0.038570586591959
G0-local,1600,1.4403618574142456,0.9591546058654785,0.7550156159990077,0.1320013552904129
G0-local,1700,1.320414423942566,1.3479492664337158,1.157449939832515,0.3035770654678345
G0-local,1800,0.810479998588562,1.4506655931472778,2.029382629936282,0.26144418120384216
G0-local,1900,0.3533577024936676,0.810230016708374,2.5997566382850548,-0.061121124774217606
G0-local,2000,0.4993141293525696,1.3003352880477905,2.9527074686264956,0.10484415292739868
G1-shared,1,1.5780211687088013,0.867029070854187,0.6229594299198371,0.065555639564991
G1-shared,100,1.2765028476715088,0.5424350500106812,0.48179788143987773,0.034440986812114716
G1-shared,200,1.1522626876831055,0.51465904712677,0.5064155614850839,-0.02491382509469986
G1-shared,300,1.867435097694397,0.6128208637237549,0.3720719714944072,0.2324419766664505
G1-shared,400,1.6445062160491943,0.4640294015407562,0.31992553827806486,0.007100115995854139
G1-shared,500,2.8808534145355225,0.35117876529693604,0.13821208436969365,0.05902637168765068
G1-shared,600,1.3297151327133179,0.5901079773902893,0.5031665990454338,0.0072778742760419846
G1-shared,700,2.227936267852783,0.7138878703117371,0.36330064544106716,0.07693962752819061
G1-shared,800,1.4148585796356201,0.6183319091796875,0.49550444652619235,-0.27269473671913147
G1-shared,900,1.2455334663391113,0.520048201084137,0.47339877209661535,-0.021278435364365578
G1-shared,1000,1.673657774925232,0.39285600185394287,0.26613724872384426,0.12859417498111725
G1-shared,1100,1.078489899635315,0.6239529252052307,0.6559559454155183,-0.07274995744228363
G1-shared,1200,1.0439234972000122,0.6397894024848938,0.6948759789745959,-0.18023261427879333
G1-shared,1300,1.686328411102295,0.5791558623313904,0.38939666664078426,-0.00424724817276001
G1-shared,1400,1.3789868354797363,0.36281818151474,0.2983100273208187,0.01631348580121994
G1-shared,1500,1.6668497323989868,0.42957741022109985,0.29220249212805716,0.11590489000082016
G1-shared,1600,3.0890910625457764,0.5397164821624756,0.19809517604455829,0.1343541145324707
G1-shared,1700,1.440661907196045,0.6255645155906677,0.4923216819955159,0.14712761342525482
G1-shared,1800,1.3606270551681519,0.5953909754753113,0.49613752413399215,0.07189983129501343
G1-shared,1900,0.9751799702644348,0.5173906087875366,0.6015513403935284,-0.05635897442698479
G1-shared,2000,1.2533538341522217,0.6714659333229065,0.6074201848390612,0.07323019206523895
