model,source,group,left_block,right_block,left_frames,right_frames,mean_abs_change,candidate_covariance
G0-local,0,AU,0,1,750,750,0.06790018881556908,0.0028532152647109195
G0-local,0,AU,1,2,750,426,0.07065817572936457,0.001736988630004472
G0-local,0,VA,0,1,750,750,0.06631333422740315,-0.000517273918128942
G0-local,0,VA,1,2,750,426,0.045605210635750223,-0.0004963518658269591
G0-local,0,expression,0,1,750,750,0.07959039067469455,-0.001724830035075917
G0-local,0,expression,1,2,750,426,0.0716245569971767,-0.002319240554341108
G0-local,1,AU,0,1,750,417,0.09846842812301451,8.515437136307356e-05
G0-local,1,VA,0,1,750,417,0.04445694059992113,-0.00011239348347688836
G0-local,1,expression,0,1,750,417,0.07506504680356427,-0.0017819115667218105
G0-local,2,AU,0,1,750,720,0.10125884646259253,0.0008902095781654147
G0-local,2,VA,0,1,750,720,0.07910672313652628,-0.0007694329018913444
G0-local,2,expression,0,1,750,720,0.06730416946740464,-0.0008734689254550129
G0-local,4,AU,0,1,750,303,0.09456884157925796,0.0010841075042315486
G0-local,4,VA,0,1,750,303,0.04720264747677805,0.00011647864689708274
G0-local,4,expression,0,1,750,303,0.05822381900590824,0.0005479524846239767
G0-local,5,AU,0,1,750,298,0.10201937876179577,0.004211516736532883
G0-local,5,VA,0,1,750,298,0.06289316562211215,0.0007581126641595533
G0-local,5,expression,0,1,750,298,0.07540968506283756,0.00037542749363045943
G0-local,6,AU,0,1,750,750,0.07655254014829034,0.00018600169465250564
G0-local,6,AU,1,2,750,750,0.12318647438039766,-0.0005713227518413495
G0-local,6,AU,2,3,750,149,0.1170314089545604,0.0001415876675475513
G0-local,6,VA,0,1,750,750,0.04699000395959931,0.00013452821250713577
G0-local,6,VA,1,2,750,750,0.054835290608533004,-0.00015970087236657764
G0-local,6,VA,2,3,750,149,0.08411000775976753,0.00033485601017584104
G0-local,6,expression,0,1,750,750,0.05866560224329935,0.0002232029141010686
G0-local,6,expression,1,2,750,750,0.07374043075294008,-0.0011342904439253683
G0-local,6,expression,2,3,750,149,0.0778581675446941,0.0014343721705083405
G0-local,7,AU,0,1,750,750,0.08808178658383994,0.0009520361134230091
G0-local,7,AU,1,2,750,422,0.08962455437500859,-0.00022088863247089058
G0-local,7,VA,0,1,750,750,0.04562947120165239,0.00023969315710167506
G0-local,7,VA,1,2,750,422,0.058932856071840345,6.68388032444844e-05
G0-local,7,expression,0,1,750,750,0.0595622847888289,0.002431440916296707
G0-local,7,expression,1,2,750,422,0.07891578737785068,0.0012966856606381352
G0-local,8,AU,0,1,750,750,0.11202481602788932,0.0003591708730261063
G0-local,8,AU,1,2,750,568,0.10313406677219383,0.0010031123702101486
G0-local,8,VA,0,1,750,750,0.05226094401084362,0.00019833472877195255
G0-local,8,VA,1,2,750,568,0.04498373377571246,0.00040709687236060624
G0-local,8,expression,0,1,750,750,0.08316724043265955,-0.0006129221245634634
G0-local,8,expression,1,2,750,568,0.05876646492329718,0.002342929835279618
G0-local,9,AU,0,1,750,747,0.10291944936522165,0.0016786252302252878
G0-local,9,VA,0,1,750,747,0.04631375534765284,0.0004184652013579796
G0-local,9,expression,0,1,750,747,0.05636933389103789,0.00043016336509071965
G0-local,10,AU,0,1,750,750,0.06528762663059583,0.0015359049942846375
G0-local,10,AU,1,2,750,58,0.14061659663630757,0.0011083161554246426
G0-local,10,VA,0,1,750,750,0.05365987667115211,-0.00048385531226065575
G0-local,10,VA,1,2,750,58,0.14090461054447742,0.000745647304812998
G0-local,10,expression,0,1,750,750,0.05333514324547526,0.0004780068742360056
G0-local,10,expression,1,2,750,58,0.1337535278932992,0.0007064269234373149
G0-local,11,AU,0,1,750,477,0.1875837190748113,0.00030999317910516066
G0-local,11,VA,0,1,750,477,0.08939668014064603,0.000498037408787505
G0-local,11,expression,0,1,750,477,0.07609768866615943,0.0023727722403980175
G0-local,12,AU,0,1,750,750,0.08297416054741405,0.0014348469763531882
