model,source,candidate,best_CCC
G0-local,0,0,0.012805877494406958
G0-local,0,1,0.030011642794639446
G0-local,0,2,0.017757610397268322
G0-local,0,3,0.019175062820821643
G0-local,0,4,0.013839923384944632
G0-local,0,5,0.04581066101313506
G0-local,0,6,0.027051076080309634
G0-local,0,7,0.03010935902206326
G0-local,0,8,0.011269450132134292
G0-local,0,9,0.024119474242871662
G0-local,1,0,0.06634662000096353
G0-local,1,1,0.18578654332876166
G0-local,1,2,0.038300279448676464
G0-local,1,3,0.09451450564415781
G0-local,1,4,0.11597574848968571
G0-local,1,5,0.09683915996520366
G0-local,1,6,0.042123140820155607
G0-local,1,7,0.16358314744618188
G0-local,1,8,0.11366714821197549
G0-local,1,9,0.06116181219182795
G0-local,2,0,0.017810886199240147
G0-local,2,1,0.016886867645757742
G0-local,2,2,0.0495342741147243
G0-local,2,3,0.08105083447359593
G0-local,2,4,0.03543435268222031
G0-local,2,5,0.01498650713839998
G0-local,2,6,0.06710822897018748
G0-local,2,7,0.13408885086418681
G0-local,2,8,0.052100147348058644
G0-local,2,9,0.027168819683259966
G0-local,3,0,0.04438939583632757
G0-local,3,1,0.07513208091719079
G0-local,3,2,0.10281825771203439
G0-local,3,3,0.0894136235534468
G0-local,3,4,0.10255341082988409
G0-local,3,5,0.03013617047617754
G0-local,3,6,0.056998680076233564
G0-local,3,7,0.12156608521867321
G0-local,3,8,0.06291706967997039
G0-local,3,9,0.07986481800647022
G0-local,4,0,0.14756301504128355
G0-local,4,1,0.09166205342760725
G0-local,4,2,0.12264010929428587
G0-local,4,3,0.07865733803248519
G0-local,4,4,0.08340520038562767
G0-local,4,5,0.1402148947519547
G0-local,4,6,0.0733672377425295
G0-local,4,7,0.09308526865735961
G0-local,4,8,0.16102940316810055
G0-local,4,9,0.1315724051853678
G0-local,5,0,0.11985464139266284
G0-local,5,1,0.12929163306949623
G0-local,5,2,0.10608418731779493
G0-local,5,3,0.13286460075138926
G0-local,5,4,0.14468054502675926
G0-local,5,5,0.13740471586062317
G0-local,5,6,0.13217870729380846
G0-local,5,7,0.13084497774749398
G0-local,5,8,0.02562293107844833
G0-local,5,9,0.13352172205735047
G0-local,6,0,0.11087921360139687
G0-local,6,1,0.11393537092162166
G0-local,6,2,0.07567843613068105
G0-local,6,3,0.07478834741829804
G0-local,6,4,0.08339031014735054
G0-local,6,5,0.0758083394298366
G0-local,6,6,0.07596291595285011
G0-local,6,7,0.06018629416914015
G0-local,6,8,0.05254542677525469
G0-local,6,9,0.0901006098916122
G0-local,7,0,0.09186504292713563
G0-local,7,1,0.11360536968227816
G0-local,7,2,0.06803929349226465
G0-local,7,3,0.09332501618255674
G0-local,7,4,0.11988258061585753
G0-local,7,5,0.08453826367070605
G0-local,7,6,0.09912208423638795
G0-local,7,7,0.09055467298560824
G0-local,7,8,0.13655862792352516
G0-local,7,9,0.07402682349893251
G0-local,8,0,0.0672308042369323
G0-local,8,1,0.0634330718524847
G0-local,8,2,0.0867283811821154
G0-local,8,3,0.07270969412928711
G0-local,8,4,0.09276362734046038
G0-local,8,5,0.06107924461309832
G0-local,8,6,0.051626027727775366
G0-local,8,7,0.08588712897545758
G0-local,8,8,0.11070213198804417
G0-local,8,9,0.08932054535182551
G0-local,9,0,0.06423082095382675
G0-local,9,1,0.053893022971015704
G0-local,9,2,0.08289412529291795
G0-local,9,3,0.059264324775448796
G0-local,9,4,0.05200687061081962
G0-local,9,5,0.0943702447195459
G0-local,9,6,0.04921928928115093
G0-local,9,7,0.09027917184773931
G0-local,9,8,0.05081772916688971
G0-local,9,9,0.06671820500693054
G0-local,10,0,0.01691700128463767
G0-local,10,1,0.048645249446506805
G0-local,10,2,0.025237808846015876
G0-local,10,3,0.052852811111559456
G0-local,10,4,0.039835468231181004
G0-local,10,5,0.010218928422033733
G0-local,10,6,0.020016875463711826
G0-local,10,7,0.03698007816646223
G0-local,10,8,0.07596416693797407
G0-local,10,9,0.04328617625958194
G0-local,11,0,0.10637802874425283
G0-local,11,1,0.12077918225302861
G0-local,11,2,0.146096980125031
G0-local,11,3,0.1334980658551216
G0-local,11,4,0.13843250596426818
G0-local,11,5,0.12130728093748105
G0-local,11,6,0.12984443260803366
G0-local,11,7,0.1476163243373768
G0-local,11,8,0.15885298970830317
G0-local,11,9,0.099876407766389
G0-local,12,0,0.031129262018123792
G0-local,12,1,0.025512312976604692
G0-local,12,2,0.03341154905324934
G0-local,12,3,0.0661597990253215
G0-local,12,4,0.05924976253445403
G0-local,12,5,0.047275972941221454
G0-local,12,6,0.04434362972230449
G0-local,12,7,0.03995840213803268
G0-local,12,8,0.04419236856837288
G0-local,12,9,0.0469351664012399
G0-local,13,0,0.06569189315596073
G0-local,13,1,0.025713714282242738
G0-local,13,2,0.0630864221023307
G0-local,13,3,0.033079786177576384
G0-local,13,4,0.06052934385631913
G0-local,13,5,0.06087232369588201
G0-local,13,6,0.031208320709512655
G0-local,13,7,0.059247107443757
G0-local,13,8,0.04119431541005784
G0-local,13,9,0.07208785024072394
G0-local,14,0,0.03103948073423678
G0-local,14,1,0.021833503845271385
G0-local,14,2,0.028245857201975255
G0-local,14,3,0.039665732647036406
G0-local,14,4,0.040933421012359916
G0-local,14,5,0.014814904089969215
G0-local,14,6,0.058009787867679574
G0-local,14,7,0.048248537587525966
G0-local,14,8,0.03838672363546908
G0-local,14,9,0.053947889275936994
G0-local,15,0,0.057586400446240624
G0-local,15,1,0.06956183925945353
G0-local,15,2,0.021636781190413665
G0-local,15,3,0.07144831302933176
G0-local,15,4,0.07944889006045931
G0-local,15,5,0.09452294037153594
G0-local,15,6,-0.001434292167417639
G0-local,15,7,0.09105775513268428
G0-local,15,8,0.060518954706893766
G0-local,15,9,0.059353993982632997
G0-local,16,0,0.11765010177379803
G0-local,16,1,0.11282548458358044
G0-local,16,2,0.10680514712706739
G0-local,16,3,0.10299907483898481
G0-local,16,4,0.09168633852848544
G0-local,16,5,0.11675779084279388
G0-local,16,6,0.07096716704256584
G0-local,16,7,0.10212460485917868
G0-local,16,8,0.09613705766231517
G0-local,16,9,0.1357541455686623
G0-local,17,0,0.04395163725911118
G0-local,17,1,0.047551421035616964
G0-local,17,2,0.06296035004980904
G0-local,17,3,0.07377350866454772
G0-local,17,4,0.04679769305572352
G0-local,17,5,0.03561073614897379
G0-local,17,6,0.06209222840581365
G0-local,17,7,0.054855952279187645
G0-local,17,8,0.07104905062377646
G0-local,17,9,0.07340250339550444
G0-local,18,0,0.09229671276516355
G0-local,18,1,0.06292355901064109
G0-local,18,2,0.08872040450855449
G0-local,18,3,0.08348276162509198
G0-local,18,4,0.07332412624697691
G0-local,18,5,0.10544229392861654
G0-local,18,6,0.08344740022340993
G0-local,18,7,0.08574024845417844
G0-local,18,8,0.06028725949560225
G0-local,18,9,0.0631158821315215
G0-local,19,0,0.06147850678245157
G0-local,19,1,0.06406060981334533
G0-local,19,2,0.045756612680097675
G0-local,19,3,0.06267167765259629
G0-local,19,4,0.039917879935103893
G0-local,19,5,0.07534131277406475
G0-local,19,6,0.06647433417902653
G0-local,19,7,0.07477369564595307
G0-local,19,8,0.0735175277138308
G0-local,19,9,0.0629203454897578
G0-local,20,0,0.10069101330337389
G0-local,20,1,0.11837128392242854
G0-local,20,2,0.09767564626944628
G0-local,20,3,0.09625516912579393
G0-local,20,4,0.03923824194993637
G0-local,20,5,0.11770980962374508
G0-local,20,6,0.10232138827700826
G0-local,20,7,0.08488132755641672
G0-local,20,8,0.11963077929001527
G0-local,20,9,0.12572974449674665
G0-local,21,0,0.07066055802023137
G0-local,21,1,0.0812331912489383
G0-local,21,2,0.07661753508602594
G0-local,21,3,0.18125345542508103
G0-local,21,4,0.126425671987206
G0-local,21,5,0.04139999165485097
G0-local,21,6,0.07582215242557978
G0-local,21,7,0.1285906728730935
G0-local,21,8,0.16268500861369542
G0-local,21,9,0.113250683164796
G0-local,22,0,0.1847646625489155
G0-local,22,1,0.16420247796876578
G0-local,22,2,0.12686233438298328
G0-local,22,3,0.1849361984886597
G0-local,22,4,0.10731027535573576
G0-local,22,5,0.19279826496036354
G0-local,22,6,0.19363787579024347
G0-local,22,7,0.07914180000680632
G0-local,22,8,0.13956376273748622
G0-local,22,9,0.10925389515147606
G0-local,23,0,0.06790956481251165
G0-local,23,1,0.03416509004642487
G0-local,23,2,0.08720249952112763
G0-local,23,3,0.048279406039529474
G0-local,23,4,0.12006770262848397
G0-local,23,5,0.1132349270947973
G0-local,23,6,0.1432940351125893
G0-local,23,7,0.07180462387347307
G0-local,23,8,0.08179913130544968
G0-local,23,9,0.14027890909543478
G0-local,24,0,0.17850071780272903
G0-local,24,1,0.19103922878445323
G0-local,24,2,0.18380077641599776
G0-local,24,3,0.2229289457018875
G0-local,24,4,0.17889699967367936
G0-local,24,5,0.09027056177963232
G0-local,24,6,0.14396563808833462
G0-local,24,7,0.20708902803727075
G0-local,24,8,0.14722714967570755
