model,source,group,total,DC,slow,fast,weight,speed,acceleration
G0-local,0,AU,0.06720243217172879,0.008771707752257222,0.055164454220664016,0.0032662701988075554,0.6,0.014897522552750796,0.02599224246273143
G0-local,0,VA,0.022211217303565844,0.0005398603912027104,0.01948842748620719,0.0021829294261559427,0.08,0.030696180578263513,0.052569345289056775
G0-local,0,expression,0.03725159794150076,0.0017377218983720673,0.0317528559261945,0.003761020116934191,0.32,0.025391829535770283,0.04384147007981022
G0-local,1,AU,0.10983847040708226,0.01176636356686328,0.09512459396676655,0.0029475128734524187,0.6,0.012963018187156507,0.022417182032940002
G0-local,1,VA,0.025722968550047253,0.0013119078890076435,0.022557809104593738,0.001853251556445874,0.08,0.02825032864928361,0.0482984531725786
G0-local,1,expression,0.053697478470522905,0.005038991551441334,0.045363460427040064,0.003295026492041504,0.32,0.023263443408585934,0.0399855832353663
G0-local,2,AU,0.08326697045992373,0.007747523847726442,0.07271004517704642,0.0028094014351508715,0.6,0.012288734388388524,0.02134845151114532
G0-local,2,VA,0.03415298279665467,0.0009265908759167237,0.030703426323811667,0.0025229655969262726,0.08,0.03260134646118781,0.05588509313339032
G0-local,2,expression,0.04231116459668677,0.0029116933401933417,0.03680992286763731,0.0025895483888561067,0.32,0.018670120518098045,0.032273309036307936
G0-local,3,AU,0.10854441442401562,0.03560591198555371,0.07079755155068583,0.002140950887776063,0.6,0.012065494271484548,0.02071742560053409
G0-local,3,VA,0.022037908194440757,0.0028024911892764025,0.017726323558256193,0.0015090934469081658,0.08,0.025279501697150934,0.042900799116730504
G0-local,3,expression,0.04598883373588224,0.01304619940967242,0.03035372342574511,0.0025889109004647104,0.32,0.021307677800044538,0.03658949156516679
G0-local,4,AU,0.09832056131676063,0.01677161797426543,0.07713398103070614,0.004414962311789041,0.6,0.017322265117937722,0.030177971588322854
G0-local,4,VA,0.022688864567858145,0.001413383274134579,0.01919377613426264,0.002081705159460936,0.08,0.029043311966101784,0.049601228703688854
G0-local,4,expression,0.044674200357907014,0.007857629259584319,0.03320915810336524,0.003607412994957452,0.32,0.02429170406735901,0.04179169466266425
G0-local,5,AU,0.08363816610744516,0.02225527590991255,0.05892413218617211,0.002458758011360489,0.6,0.012117983564977014,0.021071748323966452
G0-local,5,VA,0.021230512111987627,0.0040653798978009656,0.015316052138949746,0.0018490800752369153,0.08,0.0290208334747618,0.04980809908466266
G0-local,5,expression,0.03740165740789504,0.007655001624192838,0.027415304379763264,0.0023313514039389337,0.32,0.01878915119701037,0.03245534158484687
