/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
G0-local 1 {'phase_step': 1, 'global_step': 14001, 'FM': 0.4957314133644104, 'task': 1.5325130224227905, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.233304500579834, 'gradient_norm': 1.7206826210021973, 'source_indices': [701, 684, 740, 739], 'crop_start': [29, 0, 0, 0], 'slots': [3, 3, 3, 2], 'target_ids': [['listener/session16/Camera-2024-07-09-104540-104439', 'listener/session16/Camera-2024-07-09-151245-151110', 'listener/session16/Camera-2024-07-24-103011-103000', 'listener/session16/Camera-2024-07-24-110700-110644'], ['listener/session16/Camera-2024-06-26-105024-105025', 'listener/session16/Camera-2024-07-22-135929-140003', 'listener/session16/Camera-2024-10-22-123739-123750', 'listener/session16/Camera-2024-07-22-132508-132549'], ['listener/session16/Camera-2024-07-26-103222-103252', 'listener/session16/Camera-2024-07-22-111042-111140', 'listener/session16/Camera-2024-07-10-134814-134720', 'listener/session16/Camera-2024-07-11-103159-103100'], ['listener/session16/Camera-2024-07-25-162817-162715', 'listener/session16/Camera-2024-06-28-160651-160703', 'listener/session16/Camera-2024-07-09-151245-151110', 'listener/session16/Camera-2024-07-22-103025-103101']], 'valid_frames': 2568, 'seconds': 16.625868320465088, 'task_components': {'valid': 0.9937465190887451, 'cover': 1.0101243257522583, 'paired': 1.144941806793213, 'ccc_cost': 0.9582672119140625, 'sdtw_cost': 0.3609433174133301}, 'noise_keys': {'local_FM': [4000126, 14001, 'FM_noise'], 'local_task': [6000126, 14001, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14001, 'rho': 0.0, 'FM_initial_sha256': 'caea4a697062bc67cbbfac7d744f63674c1d07c18a2ab33fa60d0be04f382839', 'task_initial_sha256': 'd8b9871c4e4cd3cd011acb1ff669ed129361926628f3ba5ed44db665494e0bda'}, 'FM_gradient': 0.6309340596199036, 'task_gradient': 1.3686301708221436, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.07900773733854294}
G0-local 100 {'phase_step': 100, 'global_step': 14100, 'FM': 0.3015291690826416, 'task': 1.574126124382019, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.0862836837768555, 'gradient_norm': 1.7397407293319702, 'source_indices': [1310, 1311, 1306, 1313], 'crop_start': [443, 239, 295, 753], 'slots': [1, 3, 2, 1], 'target_ids': [['listener/session5/Camera-2024-07-22-143349-143428', 'listener/session5/Camera-2024-07-11-154330-154400', 'listener/session5/Camera-2024-10-14-135007-134930', 'listener/session5/Camera-2024-10-23-151539-151613'], ['listener/session5/Camera-2024-07-22-155059-155140', 'listener/session5/Camera-2024-10-22-115558-115626', 'listener/session5/Camera-2024-08-08-153226-153307', 'listener/session5/Camera-2024-06-26-160214-160213'], ['listener/session5/Camera-2024-07-22-103025-103101', 'listener/session5/Camera-2024-07-30-150921-151000', 'listener/session5/Camera-2024-06-28-153101-153104', 'listener/session5/Camera-2024-07-24-095443-095420'], ['listener/session5/Camera-2024-07-24-103011-103000', 'listener/session5/Camera-2024-07-10-142319-142203', 'listener/session5/Camera-2024-07-11-134401-134311', 'listener/session5/Camera-2024-07-26-103222-103252']], 'valid_frames': 3000, 'seconds': 16.95455288887024, 'task_components': {'valid': 1.0416760444641113, 'cover': 1.0426576137542725, 'paired': 1.0871423482894897, 'ccc_cost': 0.9926067590713501, 'sdtw_cost': 0.34176206588745117}, 'noise_keys': {'local_FM': [4000126, 14100, 'FM_noise'], 'local_task': [6000126, 14100, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14100, 'rho': 0.0, 'FM_initial_sha256': '3432f5a629b65728e9e8b69a68ee2fef1ee8ad64ce5bcc27cfb1e8836f392581', 'task_initial_sha256': '41f6ac6c66ede5a6da147d98a82bef640d789d8e1c9e003ad2239738dfda1466'}, 'FM_gradient': 0.9894020557403564, 'task_gradient': 1.075056552886963, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.2330242544412613}
G0-local 200 {'phase_step': 200, 'global_step': 14200, 'FM': 0.264668732881546, 'task': 1.63802170753479, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.121868371963501, 'gradient_norm': 1.2023601531982422, 'source_indices': [1160, 1122, 1111, 1107], 'crop_start': [0, 334, 0, 29], 'slots': [1, 3, 1, 2], 'target_ids': [['listener/session3/Camera-2024-10-23-151539-151613', 'listener/session3/Camera-2024-10-15-094459-094548', 'listener/session3/Camera-2024-07-16-160716-160749', 'listener/session3/Camera-2024-07-09-142938-142853'], ['listener/session3/Camera-2024-07-26-103222-103252', 'listener/session3/Camera-2024-07-26-120608-120642', 'listener/session3/Camera-2024-07-11-142837-142758', 'listener/session3/Camera-2024-10-15-111253-111325'], ['listener/session3/Camera-2024-07-22-111042-111140', 'listener/session3/Camera-2024-10-21-125749-125756', 'listener/session3/Camera-2024-06-26-160214-160213', 'listener/session3/Camera-2024-07-11-103159-103100'], ['listener/session3/Camera-2024-07-17-121257-121235', 'listener/session3/Camera-2024-07-22-093331-093420', 'listener/session3/Camera-2024-06-28-164549-164628', 'listener/session3/Camera-2024-10-15-094459-094548']], 'valid_frames': 2879, 'seconds': 16.989643812179565, 'task_components': {'valid': 1.0754542350769043, 'cover': 1.0830633640289307, 'paired': 1.1672065258026123, 'ccc_cost': 1.013797640800476, 'sdtw_cost': 0.4609270691871643}, 'noise_keys': {'local_FM': [4000126, 14200, 'FM_noise'], 'local_task': [6000126, 14200, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14200, 'rho': 0.0, 'FM_initial_sha256': '9a226dda4dc97c2aed852369d96cdda176ef84d83a820210ac4fb1890808a435', 'task_initial_sha256': 'b1240f0a11c39c3ce22948db36ca6899480a4ce4fb810d5b9bcd912c66a92033'}, 'FM_gradient': 0.631147563457489, 'task_gradient': 0.9437635540962219, 'dyn_gradient': 0.0, 'FM_task_cosine': -0.07231289893388748}
G0-local 300 {'phase_step': 300, 'global_step': 14300, 'FM': 0.30175328254699707, 'task': 1.603254795074463, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.1195340156555176, 'gradient_norm': 1.2664076089859009, 'source_indices': [58, 7, 52, 23], 'crop_start': [408, 34, 214, 39], 'slots': [0, 0, 2, 3], 'target_ids': [['listener/session0/Camera-2024-07-26-120608-120642', 'listener/session0/Camera-2024-07-24-103011-103000', 'listener/session0/Camera-2024-07-09-151245-151110', 'listener/session0/Camera-2024-07-25-162817-162715'], ['listener/session0/Camera-2024-06-28-112322-112419', 'listener/session0/Camera-2024-07-09-100427-100257', 'listener/session0/Camera-2024-06-28-103912-104008', 'listener/session0/Camera-2024-07-22-135929-140003'], ['listener/session0/Camera-2024-07-24-110700-110644', 'listener/session0/Camera-2024-10-23-151539-151613', 'listener/session0/Camera-2024-10-14-151541-151421', 'listener/session0/Camera-2024-06-28-112322-112419'], ['listener/session0/Camera-2024-07-09-151245-151110', 'listener/session0/Camera-2024-06-26-122334-122317', 'listener/session0/Camera-2024-07-22-135929-140003', 'listener/session0/Camera-2024-07-09-134253-134210']], 'valid_frames': 3000, 'seconds': 17.013523817062378, 'task_components': {'valid': 1.0547878742218018, 'cover': 1.0573410987854004, 'paired': 1.1365268230438232, 'ccc_cost': 1.0072344541549683, 'sdtw_cost': 0.3472869396209717}, 'noise_keys': {'local_FM': [4000126, 14300, 'FM_noise'], 'local_task': [6000126, 14300, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14300, 'rho': 0.0, 'FM_initial_sha256': 'c456e15f4bd533a235e961021e2ed90693b2030eb7593cde37007e91e57d729d', 'task_initial_sha256': 'a68b3471efa2963f0ee964134f7d577f3000145d660f510aaacfc63c9613a93b'}, 'FM_gradient': 0.7891484498977661, 'task_gradient': 0.9437671303749084, 'dyn_gradient': 0.0, 'FM_task_cosine': -0.09709067642688751}
G0-local 400 {'phase_step': 400, 'global_step': 14400, 'FM': 0.3595599830150604, 'task': 1.5997767448425293, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.1733970642089844, 'gradient_norm': 1.636230230331421, 'source_indices': [1351, 1302, 1294, 1275], 'crop_start': [1148, 497, 287, 535], 'slots': [1, 2, 2, 1], 'target_ids': [['listener/session5/Camera-2024-10-22-123739-123750', 'listener/session5/Camera-2024-10-22-165256-165322', 'listener/session5/Camera-2024-06-28-153101-153104', 'listener/session5/Camera-2024-07-04-120006-120008'], ['listener/session5/Camera-2024-07-17-121257-121235', 'listener/session5/Camera-2024-07-10-154722-154626', 'listener/session5/Camera-2024-07-29-150955-150932', 'listener/session5/Camera-2024-07-10-134814-134720'], ['listener/session5/Camera-2024-07-11-154330-154400', 'listener/session5/Camera-2024-07-19-151039-150947', 'listener/session5/Camera-2024-06-28-112322-112419', 'listener/session5/Camera-2024-10-15-111253-111325'], ['listener/session5/Camera-2024-07-08-120627-120613', 'listener/session5/Camera-2024-07-10-142319-142203', 'listener/session5/Camera-2024-10-23-134159-134313', 'listener/session5/Camera-2024-07-04-120006-120008']], 'valid_frames': 3000, 'seconds': 16.978264093399048, 'task_components': {'valid': 1.0575170516967773, 'cover': 1.059730052947998, 'paired': 1.1093088388442993, 'ccc_cost': 1.0031864643096924, 'sdtw_cost': 0.37280669808387756}, 'noise_keys': {'local_FM': [4000126, 14400, 'FM_noise'], 'local_task': [6000126, 14400, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14400, 'rho': 0.0, 'FM_initial_sha256': '412c28ddf93dfc12a60f10b166d025ef47bd22d40ac6212cde30ac358d4e11ec', 'task_initial_sha256': '0bf32441d602e5a559d9c6c6221f2bfc175c67f4f27131cfa99cfaf5b1764c88'}, 'FM_gradient': 0.8063963651657104, 'task_gradient': 1.2569804191589355, 'dyn_gradient': 0.0, 'FM_task_cosine': -0.0018024230375885963}
G0-local 500 {'phase_step': 500, 'global_step': 14500, 'FM': 0.2792947292327881, 'task': 1.5993496179580688, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.0926475524902344, 'gradient_norm': 1.281866431236267, 'source_indices': [1419, 1432, 1457, 1443], 'crop_start': [1716, 1239, 2850, 379], 'slots': [0, 2, 1, 3], 'target_ids': [['listener/session6/Camera-2024-07-26-110838-110914', 'listener/session6/Camera-2024-06-21-103121-103102', 'listener/session6/Camera-2024-07-19-151039-150947', 'listener/session6/Camera-2024-07-11-094209-094215'], ['listener/session6/Camera-2024-07-31-102814-102840', 'listener/session6/Camera-2024-07-24-110700-110644', 'listener/session6/Camera-2024-07-16-134902-134937', 'listener/session6/Camera-2024-10-22-153434-153503'], ['listener/session6/Camera-2024-10-23-134159-134313', 'listener/session6/Camera-2024-07-30-154819-154923', 'listener/session6/Camera-2024-07-10-150927-150804', 'listener/session6/Camera-2024-07-19-143058-143036'], ['listener/session6/Camera-2024-10-15-094459-094548', 'listener/session6/Camera-2024-10-22-165256-165322', 'listener/session6/Camera-2024-07-22-143349-143428', 'listener/session6/Camera-2024-07-09-104540-104439']], 'valid_frames': 3000, 'seconds': 16.929218530654907, 'task_components': {'valid': 1.0467013120651245, 'cover': 1.0473911762237549, 'paired': 1.1632018089294434, 'ccc_cost': 1.00437331199646, 'sdtw_cost': 0.2829928994178772}, 'noise_keys': {'local_FM': [4000126, 14500, 'FM_noise'], 'local_task': [6000126, 14500, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14500, 'rho': 0.0, 'FM_initial_sha256': 'e173f53a236790ae52abe6ace3f51ec2e50bc320bee4754003dc95d6a70a8ca6', 'task_initial_sha256': 'c424fcf675b4cc96d998136828e7f7eaddc3c5ccf885e13297f581e70924abf4'}, 'FM_gradient': 0.8770186901092529, 'task_gradient': 0.6663418412208557, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.22882601618766785}
G0-local 600 {'phase_step': 600, 'global_step': 14600, 'FM': 0.368620902299881, 'task': 1.5617070198059082, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.139294385910034, 'gradient_norm': 0.98137366771698, 'source_indices': [1603, 1598, 1598, 1561], 'crop_start': [639, 164, 1192, 202], 'slots': [2, 0, 3, 3], 'target_ids': [['listener/session9/Camera-2024-07-19-151039-150947', 'listener/session9/Camera-2024-07-24-095443-095420', 'listener/session9/Camera-2024-06-28-164549-164628', 'listener/session9/Camera-2024-10-14-143533-143358'], ['listener/session9/Camera-2024-07-16-152105-152147', 'listener/session9/Camera-2024-06-28-160651-160703', 'listener/session9/Camera-2024-06-26-151459-151413', 'listener/session9/Camera-2024-07-10-142319-142203'], ['listener/session9/Camera-2024-07-16-152105-152147', 'listener/session9/Camera-2024-07-31-172208-172241', 'listener/session9/Camera-2024-10-23-155518-155524', 'listener/session9/Camera-2024-10-15-111253-111325'], ['listener/session9/Camera-2024-06-26-093649-093642', 'listener/session9/Camera-2024-07-11-154330-154400', 'listener/session9/Camera-2024-10-23-155518-155524', 'listener/session9/Camera-2024-07-24-110700-110644']], 'valid_frames': 3000, 'seconds': 33.01357817649841, 'task_components': {'valid': 1.0315320491790771, 'cover': 1.035818099975586, 'paired': 1.0848817825317383, 'ccc_cost': 0.9877209067344666, 'sdtw_cost': 0.3193143606185913}, 'noise_keys': {'local_FM': [4000126, 14600, 'FM_noise'], 'local_task': [6000126, 14600, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14600, 'rho': 0.0, 'FM_initial_sha256': '037b2f4a60937a2bf5939ba2bf94e88e29297facbfaef13239cee3d1d05439be', 'task_initial_sha256': 'b825cd7a8870a17570e7d65cbbd51311ad9c0434112f4536be0b5d3b2ae83746'}, 'FM_gradient': 0.5854253172874451, 'task_gradient': 0.6682823300361633, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.05214164778590202}
G0-local 700 {'phase_step': 700, 'global_step': 14700, 'FM': 0.5063661932945251, 'task': 1.520284652709961, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.230074882507324, 'gradient_norm': 1.5500391721725464, 'source_indices': [535, 514, 518, 545], 'crop_start': [22, 10, 0, 0], 'slots': [1, 1, 0, 1], 'target_ids': [['listener/session14/Camera-2024-07-24-095443-095420', 'listener/session14/Camera-2024-07-10-154722-154626', 'listener/session14/Camera-2024-07-11-161602-161527', 'listener/session14/Camera-2024-10-21-121606-121455'], ['listener/session14/Camera-2024-07-11-120318-120232', 'listener/session14/Camera-2024-07-04-112307-112347', 'listener/session14/Camera-2024-07-17-104338-104241', 'listener/session14/Camera-2024-07-04-120006-120008'], ['listener/session14/Camera-2024-07-11-161602-161527', 'listener/session14/Camera-2024-08-08-153226-153307', 'listener/session14/Camera-2024-07-22-135929-140003', 'listener/session14/Camera-2024-10-23-134159-134313'], ['listener/session14/Camera-2024-07-29-143941-143856', 'listener/session14/Camera-2024-07-11-142837-142758', 'listener/session14/Camera-2024-07-10-134814-134720', 'listener/session14/Camera-2024-08-08-153226-153307']], 'valid_frames': 2790, 'seconds': 16.907158851623535, 'task_components': {'valid': 0.983870267868042, 'cover': 1.0108855962753296, 'paired': 1.134771704673767, 'ccc_cost': 0.9509204626083374, 'sdtw_cost': 0.40464040637016296}, 'noise_keys': {'local_FM': [4000126, 14700, 'FM_noise'], 'local_task': [6000126, 14700, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14700, 'rho': 0.0, 'FM_initial_sha256': '01add86d2fc37c059311d8c849202ef5fa6fb03a6b77981fdd6ea203fe4a37d1', 'task_initial_sha256': '123e0edaf452fa265278c8830bc9d6527b076e7d8df1a3a191cf6154e7531ee6'}, 'FM_gradient': 1.1366695165634155, 'task_gradient': 0.7614758014678955, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.1860692948102951}
G0-local 800 {'phase_step': 800, 'global_step': 14800, 'FM': 0.2580323815345764, 'task': 1.6059271097183228, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.078842878341675, 'gradient_norm': 0.8988900780677795, 'source_indices': [58, 29, 55, 4], 'crop_start': [393, 16, 55, 0], 'slots': [0, 0, 2, 0], 'target_ids': [['listener/session0/Camera-2024-07-26-120608-120642', 'listener/session0/Camera-2024-08-08-153226-153307', 'listener/session0/Camera-2024-07-10-150927-150804', 'listener/session0/Camera-2024-07-09-151245-151110'], ['listener/session0/Camera-2024-07-11-103159-103100', 'listener/session0/Camera-2024-07-17-104338-104241', 'listener/session0/Camera-2024-10-23-155518-155524', 'listener/session0/Camera-2024-10-23-143154-143223'], ['listener/session0/Camera-2024-07-25-162817-162715', 'listener/session0/Camera-2024-10-22-173423-173423', 'listener/session0/Camera-2024-06-26-160214-160213', 'listener/session0/Camera-2024-10-21-112420-112230'], ['listener/session0/Camera-2024-06-26-151459-151413', 'listener/session0/Camera-2024-07-24-103011-103000', 'listener/session0/Camera-2024-10-14-161029-160925', 'listener/session0/Camera-2024-10-21-125749-125756']], 'valid_frames': 2941, 'seconds': 16.991939067840576, 'task_components': {'valid': 1.0582966804504395, 'cover': 1.0629630088806152, 'paired': 1.1275588274002075, 'ccc_cost': 1.001722812652588, 'sdtw_cost': 0.4045865535736084}, 'noise_keys': {'local_FM': [4000126, 14800, 'FM_noise'], 'local_task': [6000126, 14800, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14800, 'rho': 0.0, 'FM_initial_sha256': '92584c9a0543f70b82cee73a21975f0e6d33682d1f207f300242a97a720141a3', 'task_initial_sha256': 'babc52a81ac75277c954da6d85cef66ab897a51edab4035904ac1a83f476c0d6'}, 'FM_gradient': 0.6417133808135986, 'task_gradient': 0.5196903944015503, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.0648176446557045}
G0-local 900 {'phase_step': 900, 'global_step': 14900, 'FM': 0.317050963640213, 'task': 1.5115087032318115, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.0308094024658203, 'gradient_norm': 1.8122479915618896, 'source_indices': [503, 572, 560, 544], 'crop_start': [149, 0, 101, 577], 'slots': [2, 0, 2, 3], 'target_ids': [['listener/session14/Camera-2024-07-09-111741-111806', 'listener/session14/Camera-2024-06-28-120152-120208', 'listener/session14/Camera-2024-07-29-150955-150932', 'listener/session14/Camera-2024-07-16-152105-152147'], ['listener/session14/Camera-2024-10-22-103728-103815', 'listener/session14/Camera-2024-07-24-110700-110644', 'listener/session14/Camera-2024-07-31-135431-135505', 'listener/session14/Camera-2024-07-04-112307-112347'], ['listener/session14/Camera-2024-08-08-153226-153307', 'listener/session14/Camera-2024-10-15-111253-111325', 'listener/session14/Camera-2024-07-31-152258-152337', 'listener/session14/Camera-2024-07-10-150927-150804'], ['listener/session14/Camera-2024-07-29-135410-135329', 'listener/session14/Camera-2024-10-23-155518-155524', 'listener/session14/Camera-2024-10-22-161742-161747', 'listener/session14/Camera-2024-07-25-162817-162715']], 'valid_frames': 2857, 'seconds': 16.931785583496094, 'task_components': {'valid': 0.9892250895500183, 'cover': 0.9996551275253296, 'paired': 1.0894792079925537, 'ccc_cost': 0.9426426291465759, 'sdtw_cost': 0.39022982120513916}, 'noise_keys': {'local_FM': [4000126, 14900, 'FM_noise'], 'local_task': [6000126, 14900, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14900, 'rho': 0.0, 'FM_initial_sha256': '6ed8e1a2fff2e13ea71063e03d59777a326191fd7ad69f14498be6ab547dbd88', 'task_initial_sha256': '1e36dfe1c20bb5a75d56ada0a261ced88b8991e3460202876fdb6dc482f3defb'}, 'FM_gradient': 0.6635527014732361, 'task_gradient': 1.5108717679977417, 'dyn_gradient': 0.0, 'FM_task_cosine': -0.03983136638998985}
G0-local 1000 {'phase_step': 1000, 'global_step': 15000, 'FM': 0.5038866996765137, 'task': 1.5892138481140137, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.3057475090026855, 'gradient_norm': 1.2690412998199463, 'source_indices': [181, 118, 135, 134], 'crop_start': [123, 245, 276, 102], 'slots': [2, 2, 1, 1], 'target_ids': [['listener/session1/Camera-2024-10-21-125749-125756', 'listener/session1/Camera-2024-10-22-161742-161747', 'listener/session1/Camera-2024-07-17-121257-121235', 'listener/session1/Camera-2024-07-19-143058-143036'], ['listener/session1/Camera-2024-07-09-151245-151110', 'listener/session1/Camera-2024-07-16-160716-160749', 'listener/session1/Camera-2024-07-31-172208-172241', 'listener/session1/Camera-2024-07-22-132508-132549'], ['listener/session1/Camera-2024-07-17-112836-112807', 'listener/session1/Camera-2024-07-11-154330-154400', 'listener/session1/Camera-2024-07-16-143113-143143', 'listener/session1/Camera-2024-10-14-161029-160925'], ['listener/session1/Camera-2024-07-16-160716-160749', 'listener/session1/Camera-2024-07-31-152258-152337', 'listener/session1/Camera-2024-10-23-143154-143223', 'listener/session1/Camera-2024-07-25-155256-155217']], 'valid_frames': 3000, 'seconds': 16.926774740219116, 'task_components': {'valid': 1.0464084148406982, 'cover': 1.0554590225219727, 'paired': 1.115762710571289, 'ccc_cost': 0.9977849721908569, 'sdtw_cost': 0.40206167101860046}, 'noise_keys': {'local_FM': [4000126, 15000, 'FM_noise'], 'local_task': [6000126, 15000, 'task_rollout'], 'global_seed': 8100123, 'global_step': 15000, 'rho': 0.0, 'FM_initial_sha256': '380803b98981fa1c107254e8097725207949dc9cb0ecab1941ba59dad76c6991', 'task_initial_sha256': 'd4b4443821becef2f440b0c118de1fa7b5b33d355a8b0f6e9a45108cebfbd424'}, 'FM_gradient': 0.8488439321517944, 'task_gradient': 0.8474099636077881, 'dyn_gradient': 0.0, 'FM_task_cosine': -0.02035672403872013}
