/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
G1-shared 1 {'phase_step': 1, 'global_step': 14001, 'FM': 0.6425925493240356, 'task': 1.631484031677246, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.492379665374756, 'gradient_norm': 1.9130897521972656, 'source_indices': [701, 684, 740, 739], 'crop_start': [29, 0, 0, 0], 'slots': [3, 3, 3, 2], 'target_ids': [['listener/session16/Camera-2024-07-09-104540-104439', 'listener/session16/Camera-2024-07-09-151245-151110', 'listener/session16/Camera-2024-07-24-103011-103000', 'listener/session16/Camera-2024-07-24-110700-110644'], ['listener/session16/Camera-2024-06-26-105024-105025', 'listener/session16/Camera-2024-07-22-135929-140003', 'listener/session16/Camera-2024-10-22-123739-123750', 'listener/session16/Camera-2024-07-22-132508-132549'], ['listener/session16/Camera-2024-07-26-103222-103252', 'listener/session16/Camera-2024-07-22-111042-111140', 'listener/session16/Camera-2024-07-10-134814-134720', 'listener/session16/Camera-2024-07-11-103159-103100'], ['listener/session16/Camera-2024-07-25-162817-162715', 'listener/session16/Camera-2024-06-28-160651-160703', 'listener/session16/Camera-2024-07-09-151245-151110', 'listener/session16/Camera-2024-07-22-103025-103101']], 'valid_frames': 2568, 'seconds': 17.304153203964233, 'task_components': {'valid': 1.0741115808486938, 'cover': 1.0699987411499023, 'paired': 1.1594910621643066, 'ccc_cost': 0.9841597676277161, 'sdtw_cost': 0.6367442011833191}, 'noise_keys': {'local_FM': [4000126, 14001, 'FM_noise'], 'local_task': [6000126, 14001, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14001, 'rho': 0.05, 'FM_initial_sha256': '313fc5cceb4758a955ee796321a87c2cc6fcc5f391109f24f4c58d2696f15295', 'task_initial_sha256': '7212e8912d73747fd2086e26f3daee779b651ac9a2086cc036e8c4a43f5d9b1e'}, 'FM_gradient': 1.5780211687088013, 'task_gradient': 0.867029070854187, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.065555639564991}
G1-shared 100 {'phase_step': 100, 'global_step': 14100, 'FM': 0.4434962570667267, 'task': 1.6091434955596924, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.267953634262085, 'gradient_norm': 1.4358906745910645, 'source_indices': [1310, 1311, 1306, 1313], 'crop_start': [443, 239, 295, 753], 'slots': [1, 3, 2, 1], 'target_ids': [['listener/session5/Camera-2024-07-22-143349-143428', 'listener/session5/Camera-2024-07-11-154330-154400', 'listener/session5/Camera-2024-10-14-135007-134930', 'listener/session5/Camera-2024-10-23-151539-151613'], ['listener/session5/Camera-2024-07-22-155059-155140', 'listener/session5/Camera-2024-10-22-115558-115626', 'listener/session5/Camera-2024-08-08-153226-153307', 'listener/session5/Camera-2024-06-26-160214-160213'], ['listener/session5/Camera-2024-07-22-103025-103101', 'listener/session5/Camera-2024-07-30-150921-151000', 'listener/session5/Camera-2024-06-28-153101-153104', 'listener/session5/Camera-2024-07-24-095443-095420'], ['listener/session5/Camera-2024-07-24-103011-103000', 'listener/session5/Camera-2024-07-10-142319-142203', 'listener/session5/Camera-2024-07-11-134401-134311', 'listener/session5/Camera-2024-07-26-103222-103252']], 'valid_frames': 3000, 'seconds': 16.959349393844604, 'task_components': {'valid': 1.0637153387069702, 'cover': 1.0636969804763794, 'paired': 1.1180158853530884, 'ccc_cost': 1.003936529159546, 'sdtw_cost': 0.39342376589775085}, 'noise_keys': {'local_FM': [4000126, 14100, 'FM_noise'], 'local_task': [6000126, 14100, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14100, 'rho': 0.05, 'FM_initial_sha256': '3e9a6d9010ea1f793dc8363f2183aed17b7e18faf8eaf4cfb5a21cb0cfdf7707', 'task_initial_sha256': '52cadb97be16ecfe050e59e2ef3133d6c6950788e5c187c68a3e8044f620a2f9'}, 'FM_gradient': 1.2765028476715088, 'task_gradient': 0.5424350500106812, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.034440986812114716}
G1-shared 200 {'phase_step': 200, 'global_step': 14200, 'FM': 0.3793652057647705, 'task': 1.6426161527633667, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.241774082183838, 'gradient_norm': 1.2785563468933105, 'source_indices': [1160, 1122, 1111, 1107], 'crop_start': [0, 334, 0, 29], 'slots': [1, 3, 1, 2], 'target_ids': [['listener/session3/Camera-2024-10-23-151539-151613', 'listener/session3/Camera-2024-10-15-094459-094548', 'listener/session3/Camera-2024-07-16-160716-160749', 'listener/session3/Camera-2024-07-09-142938-142853'], ['listener/session3/Camera-2024-07-26-103222-103252', 'listener/session3/Camera-2024-07-26-120608-120642', 'listener/session3/Camera-2024-07-11-142837-142758', 'listener/session3/Camera-2024-10-15-111253-111325'], ['listener/session3/Camera-2024-07-22-111042-111140', 'listener/session3/Camera-2024-10-21-125749-125756', 'listener/session3/Camera-2024-06-26-160214-160213', 'listener/session3/Camera-2024-07-11-103159-103100'], ['listener/session3/Camera-2024-07-17-121257-121235', 'listener/session3/Camera-2024-07-22-093331-093420', 'listener/session3/Camera-2024-06-28-164549-164628', 'listener/session3/Camera-2024-10-15-094459-094548']], 'valid_frames': 2879, 'seconds': 16.989691495895386, 'task_components': {'valid': 1.079772710800171, 'cover': 1.0860146284103394, 'paired': 1.1653590202331543, 'ccc_cost': 1.0065393447875977, 'sdtw_cost': 0.5246108174324036}, 'noise_keys': {'local_FM': [4000126, 14200, 'FM_noise'], 'local_task': [6000126, 14200, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14200, 'rho': 0.05, 'FM_initial_sha256': '0b68c6f73ae98a42d741c1e8be0301f86a1ed51d46bff23cb24564244e6cdb54', 'task_initial_sha256': '39b200d5d2c98656b61742058ead51fc47e2560d5f6887e82945be18da9e63d6'}, 'FM_gradient': 1.1522626876831055, 'task_gradient': 0.51465904712677, 'dyn_gradient': 0.0, 'FM_task_cosine': -0.02491382509469986}
G1-shared 300 {'phase_step': 300, 'global_step': 14300, 'FM': 0.5396921038627625, 'task': 1.644899606704712, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.4046900272369385, 'gradient_norm': 2.1385254859924316, 'source_indices': [58, 7, 52, 23], 'crop_start': [408, 34, 214, 39], 'slots': [0, 0, 2, 3], 'target_ids': [['listener/session0/Camera-2024-07-26-120608-120642', 'listener/session0/Camera-2024-07-24-103011-103000', 'listener/session0/Camera-2024-07-09-151245-151110', 'listener/session0/Camera-2024-07-25-162817-162715'], ['listener/session0/Camera-2024-06-28-112322-112419', 'listener/session0/Camera-2024-07-09-100427-100257', 'listener/session0/Camera-2024-06-28-103912-104008', 'listener/session0/Camera-2024-07-22-135929-140003'], ['listener/session0/Camera-2024-07-24-110700-110644', 'listener/session0/Camera-2024-10-23-151539-151613', 'listener/session0/Camera-2024-10-14-151541-151421', 'listener/session0/Camera-2024-06-28-112322-112419'], ['listener/session0/Camera-2024-07-09-151245-151110', 'listener/session0/Camera-2024-06-26-122334-122317', 'listener/session0/Camera-2024-07-22-135929-140003', 'listener/session0/Camera-2024-07-09-134253-134210']], 'valid_frames': 3000, 'seconds': 17.105395555496216, 'task_components': {'valid': 1.0822426080703735, 'cover': 1.0864708423614502, 'paired': 1.1641566753387451, 'ccc_cost': 1.0185706615447998, 'sdtw_cost': 0.4526657164096832}, 'noise_keys': {'local_FM': [4000126, 14300, 'FM_noise'], 'local_task': [6000126, 14300, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14300, 'rho': 0.05, 'FM_initial_sha256': '29ee328e56afaec1c04ef5a912d71e443c0068728f49e60ca52440232f7b0599', 'task_initial_sha256': '0a84b3ef885990defaea59a9c8442f5902ebfdbcefd4ab92dd94d643b730a9df'}, 'FM_gradient': 1.867435097694397, 'task_gradient': 0.6128208637237549, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.2324419766664505}
G1-shared 400 {'phase_step': 400, 'global_step': 14400, 'FM': 0.4684251546859741, 'task': 1.6148979663848877, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.2994070053100586, 'gradient_norm': 1.7301698923110962, 'source_indices': [1351, 1302, 1294, 1275], 'crop_start': [1148, 497, 287, 535], 'slots': [1, 2, 2, 1], 'target_ids': [['listener/session5/Camera-2024-10-22-123739-123750', 'listener/session5/Camera-2024-10-22-165256-165322', 'listener/session5/Camera-2024-06-28-153101-153104', 'listener/session5/Camera-2024-07-04-120006-120008'], ['listener/session5/Camera-2024-07-17-121257-121235', 'listener/session5/Camera-2024-07-10-154722-154626', 'listener/session5/Camera-2024-07-29-150955-150932', 'listener/session5/Camera-2024-07-10-134814-134720'], ['listener/session5/Camera-2024-07-11-154330-154400', 'listener/session5/Camera-2024-07-19-151039-150947', 'listener/session5/Camera-2024-06-28-112322-112419', 'listener/session5/Camera-2024-10-15-111253-111325'], ['listener/session5/Camera-2024-07-08-120627-120613', 'listener/session5/Camera-2024-07-10-142319-142203', 'listener/session5/Camera-2024-10-23-134159-134313', 'listener/session5/Camera-2024-07-04-120006-120008']], 'valid_frames': 3000, 'seconds': 16.96640634536743, 'task_components': {'valid': 1.065299153327942, 'cover': 1.0659990310668945, 'paired': 1.1323964595794678, 'ccc_cost': 1.0033674240112305, 'sdtw_cost': 0.4112938642501831}, 'noise_keys': {'local_FM': [4000126, 14400, 'FM_noise'], 'local_task': [6000126, 14400, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14400, 'rho': 0.05, 'FM_initial_sha256': '29cdf25afa6ec51c77024a728a3d8d9558eaa906633a164da7cf400cda525c14', 'task_initial_sha256': '7879a5459d1b50b2834e0d8b9ff5de29d0a1582091ea3831e7cbdfecd6992e66'}, 'FM_gradient': 1.6445062160491943, 'task_gradient': 0.4640294015407562, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.007100115995854139}
G1-shared 500 {'phase_step': 500, 'global_step': 14500, 'FM': 0.47534194588661194, 'task': 1.609645962715149, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.3003690242767334, 'gradient_norm': 2.9314284324645996, 'source_indices': [1419, 1432, 1457, 1443], 'crop_start': [1716, 1239, 2850, 379], 'slots': [0, 2, 1, 3], 'target_ids': [['listener/session6/Camera-2024-07-26-110838-110914', 'listener/session6/Camera-2024-06-21-103121-103102', 'listener/session6/Camera-2024-07-19-151039-150947', 'listener/session6/Camera-2024-07-11-094209-094215'], ['listener/session6/Camera-2024-07-31-102814-102840', 'listener/session6/Camera-2024-07-24-110700-110644', 'listener/session6/Camera-2024-07-16-134902-134937', 'listener/session6/Camera-2024-10-22-153434-153503'], ['listener/session6/Camera-2024-10-23-134159-134313', 'listener/session6/Camera-2024-07-30-154819-154923', 'listener/session6/Camera-2024-07-10-150927-150804', 'listener/session6/Camera-2024-07-19-143058-143036'], ['listener/session6/Camera-2024-10-15-094459-094548', 'listener/session6/Camera-2024-10-22-165256-165322', 'listener/session6/Camera-2024-07-22-143349-143428', 'listener/session6/Camera-2024-07-09-104540-104439']], 'valid_frames': 3000, 'seconds': 16.930110216140747, 'task_components': {'valid': 1.05496346950531, 'cover': 1.0552055835723877, 'paired': 1.1635242700576782, 'ccc_cost': 1.0034141540527344, 'sdtw_cost': 0.3407445549964905}, 'noise_keys': {'local_FM': [4000126, 14500, 'FM_noise'], 'local_task': [6000126, 14500, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14500, 'rho': 0.05, 'FM_initial_sha256': 'f7d9e26705b0a72cc23fcfe24d9ac2b7f175526cf8b8fa4442ba9f396f78ecea', 'task_initial_sha256': '305755c2d956f3f4537f43bc76fc2bf7d55aa1c33e8e714a8883a1b0de13be06'}, 'FM_gradient': 2.8808534145355225, 'task_gradient': 0.35117876529693604, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.05902637168765068}
G1-shared 600 {'phase_step': 600, 'global_step': 14600, 'FM': 0.4953194856643677, 'task': 1.5870792865753174, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.294760227203369, 'gradient_norm': 1.492897868156433, 'source_indices': [1603, 1598, 1598, 1561], 'crop_start': [639, 164, 1192, 202], 'slots': [2, 0, 3, 3], 'target_ids': [['listener/session9/Camera-2024-07-19-151039-150947', 'listener/session9/Camera-2024-07-24-095443-095420', 'listener/session9/Camera-2024-06-28-164549-164628', 'listener/session9/Camera-2024-10-14-143533-143358'], ['listener/session9/Camera-2024-07-16-152105-152147', 'listener/session9/Camera-2024-06-28-160651-160703', 'listener/session9/Camera-2024-06-26-151459-151413', 'listener/session9/Camera-2024-07-10-142319-142203'], ['listener/session9/Camera-2024-07-16-152105-152147', 'listener/session9/Camera-2024-07-31-172208-172241', 'listener/session9/Camera-2024-10-23-155518-155524', 'listener/session9/Camera-2024-10-15-111253-111325'], ['listener/session9/Camera-2024-06-26-093649-093642', 'listener/session9/Camera-2024-07-11-154330-154400', 'listener/session9/Camera-2024-10-23-155518-155524', 'listener/session9/Camera-2024-07-24-110700-110644']], 'valid_frames': 3000, 'seconds': 33.12527871131897, 'task_components': {'valid': 1.0428270101547241, 'cover': 1.0429631471633911, 'paired': 1.1340463161468506, 'ccc_cost': 0.9892447590827942, 'sdtw_cost': 0.35013240575790405}, 'noise_keys': {'local_FM': [4000126, 14600, 'FM_noise'], 'local_task': [6000126, 14600, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14600, 'rho': 0.05, 'FM_initial_sha256': 'a3889cf19607d854b44f43623dc3700e92a77db2dfdae3686456f5dd2dfdd299', 'task_initial_sha256': 'eb65f3627ac710f9e7c6abc41e312b0af34142f0bce2786b17a0834899161251'}, 'FM_gradient': 1.3297151327133179, 'task_gradient': 0.5901079773902893, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.0072778742760419846}
G1-shared 700 {'phase_step': 700, 'global_step': 14700, 'FM': 0.8240871429443359, 'task': 1.551055908203125, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.5826845169067383, 'gradient_norm': 2.4282374382019043, 'source_indices': [535, 514, 518, 545], 'crop_start': [22, 10, 0, 0], 'slots': [1, 1, 0, 1], 'target_ids': [['listener/session14/Camera-2024-07-24-095443-095420', 'listener/session14/Camera-2024-07-10-154722-154626', 'listener/session14/Camera-2024-07-11-161602-161527', 'listener/session14/Camera-2024-10-21-121606-121455'], ['listener/session14/Camera-2024-07-11-120318-120232', 'listener/session14/Camera-2024-07-04-112307-112347', 'listener/session14/Camera-2024-07-17-104338-104241', 'listener/session14/Camera-2024-07-04-120006-120008'], ['listener/session14/Camera-2024-07-11-161602-161527', 'listener/session14/Camera-2024-08-08-153226-153307', 'listener/session14/Camera-2024-07-22-135929-140003', 'listener/session14/Camera-2024-10-23-134159-134313'], ['listener/session14/Camera-2024-07-29-143941-143856', 'listener/session14/Camera-2024-07-11-142837-142758', 'listener/session14/Camera-2024-07-10-134814-134720', 'listener/session14/Camera-2024-08-08-153226-153307']], 'valid_frames': 2790, 'seconds': 16.91956925392151, 'task_components': {'valid': 1.011588215827942, 'cover': 1.0275228023529053, 'paired': 1.1303483247756958, 'ccc_cost': 0.9651370048522949, 'sdtw_cost': 0.42867451906204224}, 'noise_keys': {'local_FM': [4000126, 14700, 'FM_noise'], 'local_task': [6000126, 14700, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14700, 'rho': 0.05, 'FM_initial_sha256': '3b472ee05519ef26e6d4e4ea9133d8557605cb4d42bb593ad80768c94beedf46', 'task_initial_sha256': '5bbaa81e03ea005d3a6ce47e35ac82935381b41e24df54cacda9d28e855c6629'}, 'FM_gradient': 2.227936267852783, 'task_gradient': 0.7138878703117371, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.07693962752819061}
G1-shared 800 {'phase_step': 800, 'global_step': 14800, 'FM': 0.41116005182266235, 'task': 1.6247682571411133, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.2533328533172607, 'gradient_norm': 1.397262692451477, 'source_indices': [58, 29, 55, 4], 'crop_start': [393, 16, 55, 0], 'slots': [0, 0, 2, 0], 'target_ids': [['listener/session0/Camera-2024-07-26-120608-120642', 'listener/session0/Camera-2024-08-08-153226-153307', 'listener/session0/Camera-2024-07-10-150927-150804', 'listener/session0/Camera-2024-07-09-151245-151110'], ['listener/session0/Camera-2024-07-11-103159-103100', 'listener/session0/Camera-2024-07-17-104338-104241', 'listener/session0/Camera-2024-10-23-155518-155524', 'listener/session0/Camera-2024-10-23-143154-143223'], ['listener/session0/Camera-2024-07-25-162817-162715', 'listener/session0/Camera-2024-10-22-173423-173423', 'listener/session0/Camera-2024-06-26-160214-160213', 'listener/session0/Camera-2024-10-21-112420-112230'], ['listener/session0/Camera-2024-06-26-151459-151413', 'listener/session0/Camera-2024-07-24-103011-103000', 'listener/session0/Camera-2024-10-14-161029-160925', 'listener/session0/Camera-2024-10-21-125749-125756']], 'valid_frames': 2941, 'seconds': 16.989986181259155, 'task_components': {'valid': 1.0727460384368896, 'cover': 1.0761737823486328, 'paired': 1.1319148540496826, 'ccc_cost': 1.005854845046997, 'sdtw_cost': 0.47128021717071533}, 'noise_keys': {'local_FM': [4000126, 14800, 'FM_noise'], 'local_task': [6000126, 14800, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14800, 'rho': 0.05, 'FM_initial_sha256': 'dfde38a86d04b9d79ffa2d28d066776fac111c25f66fb2b5688ae89acd19dd9e', 'task_initial_sha256': '60f1fe08c9ebe303eeec72a35a04b2033cfb6dfc110741aff71b8ac964830dc2'}, 'FM_gradient': 1.4148585796356201, 'task_gradient': 0.6183319091796875, 'dyn_gradient': 0.0, 'FM_task_cosine': -0.27269473671913147}
G1-shared 900 {'phase_step': 900, 'global_step': 14900, 'FM': 0.4106789827346802, 'task': 1.5518468618392944, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.170173168182373, 'gradient_norm': 1.3666632175445557, 'source_indices': [503, 572, 560, 544], 'crop_start': [149, 0, 101, 577], 'slots': [2, 0, 2, 3], 'target_ids': [['listener/session14/Camera-2024-07-09-111741-111806', 'listener/session14/Camera-2024-06-28-120152-120208', 'listener/session14/Camera-2024-07-29-150955-150932', 'listener/session14/Camera-2024-07-16-152105-152147'], ['listener/session14/Camera-2024-10-22-103728-103815', 'listener/session14/Camera-2024-07-24-110700-110644', 'listener/session14/Camera-2024-07-31-135431-135505', 'listener/session14/Camera-2024-07-04-112307-112347'], ['listener/session14/Camera-2024-08-08-153226-153307', 'listener/session14/Camera-2024-10-15-111253-111325', 'listener/session14/Camera-2024-07-31-152258-152337', 'listener/session14/Camera-2024-07-10-150927-150804'], ['listener/session14/Camera-2024-07-29-135410-135329', 'listener/session14/Camera-2024-10-23-155518-155524', 'listener/session14/Camera-2024-10-22-161742-161747', 'listener/session14/Camera-2024-07-25-162817-162715']], 'valid_frames': 2857, 'seconds': 16.934818744659424, 'task_components': {'valid': 1.0146441459655762, 'cover': 1.0189447402954102, 'paired': 1.129866123199463, 'ccc_cost': 0.960946798324585, 'sdtw_cost': 0.41627150774002075}, 'noise_keys': {'local_FM': [4000126, 14900, 'FM_noise'], 'local_task': [6000126, 14900, 'task_rollout'], 'global_seed': 8100123, 'global_step': 14900, 'rho': 0.05, 'FM_initial_sha256': 'a7b1e95d2c844a844c3a982e0cc83446787ef7e9e4cb8b5520a2674095c630a5', 'task_initial_sha256': '49a1063ac61b0dcc7d8f7c1773d4df970ae9353d18be0d50eced6d7f405fde73'}, 'FM_gradient': 1.2455334663391113, 'task_gradient': 0.520048201084137, 'dyn_gradient': 0.0, 'FM_task_cosine': -0.021278435364365578}
G1-shared 1000 {'phase_step': 1000, 'global_step': 15000, 'FM': 0.6918007135391235, 'task': 1.6123977899551392, 'dynamic': 0.0, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.5199477672576904, 'gradient_norm': 1.7864103317260742, 'source_indices': [181, 118, 135, 134], 'crop_start': [123, 245, 276, 102], 'slots': [2, 2, 1, 1], 'target_ids': [['listener/session1/Camera-2024-10-21-125749-125756', 'listener/session1/Camera-2024-10-22-161742-161747', 'listener/session1/Camera-2024-07-17-121257-121235', 'listener/session1/Camera-2024-07-19-143058-143036'], ['listener/session1/Camera-2024-07-09-151245-151110', 'listener/session1/Camera-2024-07-16-160716-160749', 'listener/session1/Camera-2024-07-31-172208-172241', 'listener/session1/Camera-2024-07-22-132508-132549'], ['listener/session1/Camera-2024-07-17-112836-112807', 'listener/session1/Camera-2024-07-11-154330-154400', 'listener/session1/Camera-2024-07-16-143113-143143', 'listener/session1/Camera-2024-10-14-161029-160925'], ['listener/session1/Camera-2024-07-16-160716-160749', 'listener/session1/Camera-2024-07-31-152258-152337', 'listener/session1/Camera-2024-10-23-143154-143223', 'listener/session1/Camera-2024-07-25-155256-155217']], 'valid_frames': 3000, 'seconds': 16.92091727256775, 'task_components': {'valid': 1.0582337379455566, 'cover': 1.0630569458007812, 'paired': 1.1535992622375488, 'ccc_cost': 0.9961130619049072, 'sdtw_cost': 0.4542756974697113}, 'noise_keys': {'local_FM': [4000126, 15000, 'FM_noise'], 'local_task': [6000126, 15000, 'task_rollout'], 'global_seed': 8100123, 'global_step': 15000, 'rho': 0.05, 'FM_initial_sha256': '2696f51cbce2ddcdd740b46538b04067ab333317f6e27d5b9c991df219289374', 'task_initial_sha256': 'ca90c2ec566b9c499db43724083a856271cb0612a567f2c489e0824c3a3bd2cc'}, 'FM_gradient': 1.673657774925232, 'task_gradient': 0.39285600185394287, 'dyn_gradient': 0.0, 'FM_task_cosine': 0.12859417498111725}
