id,relative,candidate_speaker_count,graph_stable,uncertainty_reasons
rec_47073548edf5fc48,session0/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_2dadff060f7dbec6,session0/Camera-2024-06-26-093649-093642,1,True,['brief_voice_not_resolved']
rec_d47cdf28b86a8732,session1/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_fc24b4307b4c18f4,session1/Camera-2024-06-26-093649-093642,1,True,['brief_voice_not_resolved']
rec_f730a3a153b52adc,session11/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_c9786577fdd752db,session11/Camera-2024-06-26-093649-093642,1,True,['brief_voice_not_resolved']
rec_c14b83099f9a6e15,session12/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_734c7d3d0241ad9c,session12/Camera-2024-06-26-093649-093642,1,True,['brief_voice_not_resolved']
rec_072093aefba48907,session13/Camera-2024-06-21-103121-103102,,False,['insufficient_evidence']
rec_db144dc971621f0a,session13/Camera-2024-06-26-093649-093642,1,True,['brief_voice_not_resolved']
rec_1dcbdfe33fdc2756,session14/Camera-2024-06-26-093649-093642,1,True,[]
rec_8d2b26332c3325fc,session15/Camera-2024-06-21-103121-103102,1,False,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity']"
rec_2b7506744af9d537,session15/Camera-2024-06-26-093649-093642,1,True,[]
rec_794632d8e1e8256b,session16/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_854f5f43476c1486,session16/Camera-2024-06-26-093649-093642,1,True,['brief_voice_not_resolved']
rec_3b7feda5f993fb04,session17/Camera-2024-06-21-103121-103102,2,False,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity', 'small_cluster']"
rec_a0c982590e7adf5d,session17/Camera-2024-06-26-093649-093642,2,False,['small_cluster']
rec_4aca068a3f7d6d60,session19/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_028ab332606e8d2b,session19/Camera-2024-06-26-093649-093642,1,True,['brief_voice_not_resolved']
rec_5f5f953c6ff3282f,session21/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_b07456a31c051b33,session21/Camera-2024-06-26-093649-093642,1,True,['brief_voice_not_resolved']
rec_8f92d8aaeb84fedf,session3/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_b629cbf9172a1520,session3/Camera-2024-06-26-093649-093642,1,False,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity']"
rec_16405b8d6b202ae6,session4/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_e0639f82ff051713,session4/Camera-2024-06-26-093649-093642,1,False,"['brief_voice_not_resolved', 'neighbor_sensitivity', 'partition_sensitivity']"
rec_5d2a1340f7e0f228,session5/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_ff70ed3dc0df59e6,session5/Camera-2024-06-26-093649-093642,1,True,['brief_voice_not_resolved']
rec_ec60d6f6a9240506,session6/Camera-2024-06-21-103121-103102,,False,['insufficient_evidence']
rec_3efcb8ec7db708db,session6/Camera-2024-06-26-093649-093642,,False,['insufficient_evidence']
rec_c5d993a157966d23,session7/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_2786e3497aeff856,session7/Camera-2024-06-26-093649-093642,1,True,['brief_voice_not_resolved']
rec_1efb0f33ab9f5a27,session9/Camera-2024-06-21-103121-103102,1,True,['brief_voice_not_resolved']
rec_b755feadb100aa4c,session9/Camera-2024-06-26-093649-093642,1,True,['brief_voice_not_resolved']
