model,source,candidate,best_CCC
MAM,0,0,0.12010140327200222
MAM,0,1,0.04777425055295355
MAM,0,2,0.14358523179077423
MAM,0,3,0.0413817329431743
MAM,0,4,0.06409824864928435
MAM,0,5,0.05052784856974066
MAM,0,6,0.10211702560816822
MAM,0,7,0.02026823767463097
MAM,0,8,0.028142420691626042
MAM,0,9,0.12813484926869914
MAM,1,0,0.15964101968434055
MAM,1,1,0.037647186056168624
MAM,1,2,0.08349007471847086
MAM,1,3,0.039436787016742886
MAM,1,4,0.08245816284617889
MAM,1,5,0.04093678405990706
MAM,1,6,0.061308793568243564
MAM,1,7,0.02651545936823597
MAM,1,8,0.028562579779987565
MAM,1,9,0.1586501371813582
MAM,2,0,0.20612648113479476
MAM,2,1,0.13488687253894732
MAM,2,2,0.18081346604750909
MAM,2,3,0.09572929341354758
MAM,2,4,0.13583987523058505
MAM,2,5,0.1145443990808373
MAM,2,6,0.1237103017072685
MAM,2,7,0.08697219285645791
MAM,2,8,0.1041369092242392
MAM,2,9,0.23458168679048932
MAM,3,0,0.09808196389091144
MAM,3,1,0.061919780777869624
MAM,3,2,0.14748507598439795
MAM,3,3,0.06360912854948934
MAM,3,4,0.07093314473715559
MAM,3,5,0.06143893456305196
MAM,3,6,0.0663759076719633
MAM,3,7,0.04821960702172072
MAM,3,8,0.08130207969929706
MAM,3,9,0.11066074031435415
MAM,4,0,0.14036545236297968
MAM,4,1,0.05499486133933403
MAM,4,2,0.16830643021462854
MAM,4,3,0.06049958118200971
MAM,4,4,0.09366880744203336
MAM,4,5,0.09914215129876718
MAM,4,6,0.07526023216590899
MAM,4,7,0.05337444296831493
MAM,4,8,0.0819349473974655
MAM,4,9,0.15724132732795704
MAM,5,0,0.13097636499971313
MAM,5,1,0.1346310859421075
MAM,5,2,0.13910771406595593
MAM,5,3,0.14220250500392495
MAM,5,4,0.14973061251006073
MAM,5,5,0.16647143959257205
MAM,5,6,0.1874027814846926
MAM,5,7,0.1470260665816055
MAM,5,8,0.10733694162268163
MAM,5,9,0.13292910918217987
MAM,6,0,0.19145083635140753
MAM,6,1,0.0706553060535961
MAM,6,2,0.175806328885021
MAM,6,3,0.08183192774605788
MAM,6,4,0.0913390544714678
MAM,6,5,0.09548635113219554
MAM,6,6,0.11167851614388391
MAM,6,7,0.038731381691617515
MAM,6,8,0.07648585306473288
MAM,6,9,0.21586607389761614
MAM,7,0,0.07968326137739731
MAM,7,1,0.05536067115870251
MAM,7,2,0.04521328053817753
MAM,7,3,0.04045342187681103
MAM,7,4,0.039767593277970054
MAM,7,5,0.035328558363825015
MAM,7,6,0.029517155351375973
MAM,7,7,0.038205303061097394
MAM,7,8,0.04789952277246135
MAM,7,9,0.06321258550815628
MAM,8,0,0.09492173976215876
MAM,8,1,0.03273714036313273
MAM,8,2,0.07732972745602254
MAM,8,3,0.0313435374529127
MAM,8,4,0.0758619781407254
MAM,8,5,0.09329775756705933
MAM,8,6,0.0850950944299137
MAM,8,7,0.05273784307274073
MAM,8,8,0.038467406425087364
MAM,8,9,0.1123485438253792
MAM,9,0,0.1161971477823433
MAM,9,1,0.05109930270364923
MAM,9,2,0.03670842769050018
MAM,9,3,0.04998607613248252
MAM,9,4,0.0841132952028906
MAM,9,5,0.07903654033962523
MAM,9,6,0.05935237133172116
MAM,9,7,0.07306068945996888
MAM,9,8,0.05489793332539015
MAM,9,9,0.11578172881015851
MAM,10,0,0.010214588005238839
MAM,10,1,0.022125554218215646
MAM,10,2,0.007872154578313258
MAM,10,3,0.023405458434269527
MAM,10,4,0.02287794167355738
MAM,10,5,0.02872967853698711
MAM,10,6,0.02361307909368701
MAM,10,7,0.01804171074454601
MAM,10,8,-0.0021851638553050377
MAM,10,9,0.024686587982481255
MAM,11,0,0.1074443426306512
MAM,11,1,0.030876936818907293
MAM,11,2,0.10427133894274981
MAM,11,3,0.02231326005467117
MAM,11,4,0.10291976052931108
MAM,11,5,0.06257928468786807
MAM,11,6,0.11770726526602879
MAM,11,7,0.041084130519316815
