model,source,group,dimension_weight,total,DC,slow,fast,identity_error,speed,acceleration,total_contribution,DC_contribution,slow_contribution,fast_contribution
MAM,0,AU,0.6,0.18564055228645054,0.07549836309115518,0.0840431930028412,0.026098996192454132,2.7755575615628914e-17,0.02156190476190476,0.04312543312543313,0.11138433137187033,0.045299017854693105,0.050425915801704725,0.01565939771547248
MAM,0,VA,0.08,0.11325445905145012,0.10299576808152464,0.009673526747819664,0.0005851642221058621,4.163336342344337e-17,0.026215748295109333,0.03721596255182891,0.00906035672411601,0.008239661446521971,0.0007738821398255731,4.681313776846897e-05
MAM,0,expression,0.32,0.11346752221567763,0.08372300121264427,0.027510137172141413,0.002234383830891946,0.0,0.014479136771563088,0.021420060801315286,0.036309607109016845,0.026791360388046165,0.008803243895085251,0.0007150028258854227
processed_targets,0,AU,0.6,0.2468928118149302,0.11216488278687899,0.12021416032684741,0.014513768701203801,0.0,0.008509090909090909,0.017027027027027027,0.1481356870889581,0.06729892967212739,0.07212849619610845,0.00870826122072228
processed_targets,0,VA,0.08,0.24093695226099449,0.19306009776514166,0.04615039377131954,0.001726460724533247,2.7755575615628914e-17,0.010503816214378004,0.013521472877569172,0.019274956180879557,0.015444807821211333,0.003692031501705563,0.00013811685796265977
processed_targets,0,expression,0.32,0.12673749381976335,0.07379555681778921,0.04845504342045324,0.004486893581520914,0.0,0.007967644879511416,0.011051477896737456,0.04055599802232427,0.023614578181692547,0.015505613894545037,0.0014358059460866926
MAM,1,AU,0.6,0.2104541559554413,0.11147023430391605,0.07568470555453709,0.023299216096988165,0.0,0.020005717552887364,0.0399656652360515,0.12627249357326478,0.06688214058234963,0.045410823332722255,0.0139795296581929
MAM,1,VA,0.08,0.11979856678643605,0.11376946063872058,0.005321911237178356,0.0007071949105371107,0.0,0.029965304137006585,0.04531355010582656,0.009583885342914884,0.009101556851097646,0.0004257528989742685,5.657559284296886e-05
MAM,1,expression,0.32,0.11784857432321563,0.1011842800843561,0.014428313696392529,0.0022359805424670203,1.3877787807814457e-17,0.016566201174075913,0.02535334094052223,0.037711543783429,0.03237896962699396,0.0046170603828456095,0.0007155137735894465
processed_targets,1,AU,0.6,0.1892513250182488,0.061132759419154276,0.11344620441430828,0.014672361184786206,2.7755575615628914e-17,0.008370497427101201,0.016738197424892704,0.11355079501094928,0.03667965565149257,0.06806772264858496,0.008803416710871724
processed_targets,1,VA,0.08,0.1742168718498816,0.1128612728727193,0.058791764879625424,0.002563834097536901,2.7755575615628914e-17,0.013501502275323147,0.017943337417723283,0.013937349747990529,0.009028901829817543,0.004703341190370034,0.00020510672780295209
processed_targets,1,expression,0.32,0.12161621630020142,0.05632616224579112,0.059613184865121,0.005676869189289337,4.163336342344337e-17,0.01016422428356031,0.014294150524274782,0.038917189216064456,0.018024371918653158,0.01907621915683872,0.0018165981405725879
MAM,2,AU,0.6,0.14396775006298818,0.04429353475832259,0.07306369208303125,0.026610523221634336,0.0,0.025749943272067165,0.051503178928247045,0.08638065003779291,0.026576120854993553,0.04383821524981875,0.015966313932980602
MAM,2,VA,0.08,0.15145193959243794,0.14422783442256704,0.006681986712797374,0.0005421184570734935,2.7755575615628914e-17,0.0335252265082318,0.049041884260602873,0.012116155167395035,0.011538226753805362,0.0005345589370237899,4.3369476565879476e-05
MAM,2,expression,0.32,0.10282426080733774,0.06994672220835094,0.029372698170371282,0.0035048404286155306,0.0,0.017085491126557766,0.02572038970196007,0.03290376345834808,0.0223829511066723,0.00939926341451881,0.0011215489371569699
