model,group,total,DC,slow,fast,speed,acceleration,total_contribution,DC_contribution,slow_contribution,fast_contribution
processed_targets,AU,0.2347030674102327,0.08776003764031301,0.1269378361396028,0.020005193630316807,0.010877395232096788,0.021761520426444633,0.1408218404461396,0.052656022584187806,0.07616270168376167,0.012003116178190084
processed_targets,VA,0.18322039459973286,0.11380581406965759,0.06581049515676388,0.00360408537331139,0.01547223689408585,0.019491007737513354,0.014657631567978628,0.009104465125572607,0.00526483961254111,0.0002883268298649112
processed_targets,expression,0.1288383047895175,0.05897237530980043,0.06179710149002858,0.008068827989688467,0.011865333225058176,0.01617154169683191,0.0412282575326456,0.018871160099136138,0.019775072476809145,0.0025820249567003097
processed_targets,overall,0.19670772954676383,0.08063164780889656,0.1012026137731119,0.014873467964755301,0.011561122722803558,0.01979108621785406,0.19670772954676383,0.08063164780889656,0.1012026137731119,0.014873467964755301
A12000,AU,0.17226931386431144,0.011823466866463194,0.09554370983148376,0.06490213716636442,0.08022766461766531,0.1557476939007602,0.10336158831858686,0.007094080119877916,0.057326225898890255,0.03894128229981865
A12000,VA,0.057487073006590575,0.007044694112045823,0.04086238413156655,0.009579994762978184,0.06888051272514269,0.11873487619655679,0.004598965840527246,0.0005635755289636658,0.003268990730525324,0.0007663995810382547
A12000,expression,0.09837351422434162,0.009211939731443169,0.06534808923683902,0.023813485256059367,0.05622952547358011,0.10088081027588802,0.03147952455178932,0.002947820714061814,0.020911388555788488,0.007620315281938997
A12000,overall,0.13944007871090341,0.010605476362903401,0.08150660518520415,0.047327997162795926,0.07164048794015623,0.13522926572446475,0.13944007871090341,0.010605476362903401,0.08150660518520415,0.047327997162795926
MAM,AU,0.18160834013281416,0.08477208657249732,0.07251999180991993,0.02431626175039695,0.02040383542116754,0.04079130785006726,0.1089650040796885,0.050863251943498396,0.04351199508595196,0.01458975705023817
MAM,VA,0.11866587691100398,0.1119297996894345,0.006201450258409293,0.0005346269631601863,0.028908504243930582,0.04242857945017487,0.00949327015288032,0.00895438397515476,0.0004961160206727435,4.2770157052814905e-05
MAM,expression,0.12108643084522437,0.0974048056456862,0.021252873725961442,0.002428751473576721,0.014748507589665519,0.022431967409427156,0.0387476578704718,0.031169537806619584,0.006800919592307662,0.0007772004715445507
MAM,overall,0.15720593210304054,0.09098717372527275,0.05080903069893239,0.015409727678835528,0.019274504020907933,0.03504730063707101,0.15720593210304054,0.09098717372527275,0.05080903069893239,0.015409727678835528
R2,AU,0.060065295626111806,0.020798235876452735,0.03636374128050084,0.002903318469158242,0.015289323133560776,0.021779582260891085,0.03603917737566708,0.01247894152587164,0.021818244768300504,0.0017419910814949451
R2,VA,0.003429243219060627,0.0010808994483613144,0.0021163400449777645,0.0002320037257215486,0.022962362995691148,0.02868807878549897,0.00027433945752485016,8.647195586890515e-05,0.00016930720359822118,1.856029805772389e-05
R2,expression,0.023026211762335998,0.01007413782508063,0.011972829585625205,0.0009792443516301705,0.012475583197360935,0.017319264497417008,0.0073683877639475195,0.0032237241040258013,0.003831305467400066,0.00031335819252165456
R2,overall,0.04368190459713948,0.01578913758576635,0.025818857439298785,0.0020739095720743233,0.015002769542947261,0.020904960298548013,0.04368190459713948,0.01578913758576635,0.025818857439298785,0.0020739095720743233
T1,AU,0.09926540437742543,0.009283583721605879,0.06545333346290358,0.02452848719291597,0.03614383321525631,0.06806160548082857,0.059559242626455254,0.005570150232963527,0.03927200007774215,0.01471709231574958
T1,VA,0.029492583219172686,0.002974444192322374,0.023542215605771473,0.002975923421078843,0.035888342562638606,0.06150219216865917,0.002359406657533815,0.0002379555353857899,0.0018833772484617179,0.00023807387368630743
T1,expression,0.06566943353036522,0.0074822577038247805,0.0496593785783281,0.008527797248212341,0.0340174331264965,0.05935126363916995,0.02101421872971687,0.0023943224652239296,0.015891001145064993,0.002728895119427949
T1,overall,0.08293286801370596,0.008202428233573252,0.05704637847126888,0.017684061308863838,0.03544294593464377,0.06474954302652428,0.08293286801370596,0.008202428233573252,0.05704637847126888,0.017684061308863838
T0,AU,0.09629837160767175,0.009317224627023179,0.06438531855033602,0.022595828430312524,0.03409364673020253,0.06401514143815826,0.05777902296460305,0.005590334776213907,0.038631191130201616,0.013557497058187514
T0,VA,0.029775662350588122,0.0028908197190952336,0.023050903951117127,0.003833938680375744,0.04207626274165638,0.0722877162616034,0.00238205298804705,0.0002312655775276187,0.0018440723160893702,0.0003067150944300595
T0,expression,0.06579876695040543,0.0075488919050383865,0.048351426052051706,0.00989844899331534,0.038450050518513385,0.06722218627591134,0.021055605424129736,0.002415645409612284,0.015472456336656547,0.003167503677860909
T0,overall,0.08121668137677987,0.008237245763353815,0.055947719782947526,0.017031715830478467,0.036126305223378334,0.06570320177211489,0.08121668137677987,0.008237245763353815,0.055947719782947526,0.017031715830478467
