/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
T0-task 1 {'phase_step': 1, 'global_step': 12001, 'FM': 0.382948100566864, 'task': 1.606563925743103, 'dynamic': 0.8069993257522583, 'lambda_task': 0.11848277580738069, 'lambda_dyn': 0.0, 'loss': 0.5732982754707336, 'gradient_norm': 0.8444359302520752, 'source_indices': [869, 822, 876, 786], 'crop_start': [0, 0, 0, 0], 'slots': [1, 3, 1, 3], 'target_ids': [['listener/session17/Camera-2024-10-22-123739-123750', 'listener/session17/Camera-2024-07-17-121257-121235', 'listener/session17/Camera-2024-06-21-103121-103102', 'listener/session17/Camera-2024-10-15-111253-111325'], ['listener/session17/Camera-2024-07-19-143058-143036', 'listener/session17/Camera-2024-07-24-095443-095420', 'listener/session17/Camera-2024-07-11-103159-103100', 'listener/session17/Camera-2024-07-11-142837-142758'], ['listener/session17/Camera-2024-10-23-155518-155524', 'listener/session17/Camera-2024-07-04-112307-112347', 'listener/session17/Camera-2024-07-10-154722-154626', 'listener/session17/Camera-2024-07-10-150927-150804'], ['listener/session17/Camera-2024-06-28-103912-104008', 'listener/session17/Camera-2024-07-11-161602-161527', 'listener/session17/Camera-2024-07-10-142319-142203', 'listener/session17/Camera-2024-07-31-110521-110601']], 'valid_frames': 1981, 'seconds': 16.127626657485962, 'task_components': {'valid': 1.056093454360962, 'cover': 1.0593085289001465, 'paired': 1.1425734758377075, 'ccc_cost': 0.9925494194030762, 'sdtw_cost': 0.45154064893722534}, 'FM_gradient': 0.8274582624435425, 'task_gradient': 1.1032038927078247, 'dyn_gradient': 0.8233276009559631, 'FM_task_cosine': 0.052235882729291916}
T0-task 100 {'phase_step': 100, 'global_step': 12100, 'FM': 0.40272897481918335, 'task': 1.5890589952468872, 'dynamic': 0.4540562033653259, 'lambda_task': 0.623593556880951, 'lambda_dyn': 0.0, 'loss': 1.3936560153961182, 'gradient_norm': 0.983873724937439, 'source_indices': [905, 926, 962, 889], 'crop_start': [1358, 428, 71, 1087], 'slots': [0, 1, 1, 2], 'target_ids': [['listener/session19/Camera-2024-07-11-094209-094215', 'listener/session19/Camera-2024-07-17-112836-112807', 'listener/session19/Camera-2024-07-09-104540-104439', 'listener/session19/Camera-2024-07-29-135410-135329'], ['listener/session19/Camera-2024-07-24-095443-095420', 'listener/session19/Camera-2024-07-11-111326-111141', 'listener/session19/Camera-2024-07-16-160716-160749', 'listener/session19/Camera-2024-07-19-143058-143036'], ['listener/session19/Camera-2024-10-22-115558-115626', 'listener/session19/Camera-2024-06-28-120152-120208', 'listener/session19/Camera-2024-07-22-143349-143428', 'listener/session19/Camera-2024-10-22-123739-123750'], ['listener/session19/Camera-2024-07-04-103805-103835', 'listener/session19/Camera-2024-06-26-160214-160213', 'listener/session19/Camera-2024-07-31-110521-110601', 'listener/session19/Camera-2024-10-22-173423-173423']], 'valid_frames': 3000, 'seconds': 16.894662380218506, 'task_components': {'valid': 1.0493009090423584, 'cover': 1.0505461692810059, 'paired': 1.1084861755371094, 'ccc_cost': 0.9939143657684326, 'sdtw_cost': 0.3736880421638489}, 'FM_gradient': 0.6531684994697571, 'task_gradient': 1.188311219215393, 'dyn_gradient': 0.4342663884162903, 'FM_task_cosine': -0.007992340251803398}
T0-task 200 {'phase_step': 200, 'global_step': 12200, 'FM': 0.3924265503883362, 'task': 1.5963737964630127, 'dynamic': 1.1585772037506104, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.2024054527282715, 'gradient_norm': 0.8584102392196655, 'source_indices': [1569, 1646, 1605, 1627], 'crop_start': [71, 2690, 2012, 1951], 'slots': [2, 2, 1, 0], 'target_ids': [['listener/session9/Camera-2024-06-28-153101-153104', 'listener/session9/Camera-2024-07-29-160525-160426', 'listener/session9/Camera-2024-06-28-160651-160703', 'listener/session9/Camera-2024-07-31-152258-152337'], ['listener/session9/Camera-2024-10-21-112420-112230', 'listener/session9/Camera-2024-07-04-103805-103835', 'listener/session9/Camera-2024-10-23-151539-151613', 'listener/session9/Camera-2024-07-29-150955-150932'], ['listener/session9/Camera-2024-07-22-103025-103101', 'listener/session9/Camera-2024-10-15-102854-102945', 'listener/session9/Camera-2024-07-16-143113-143143', 'listener/session9/Camera-2024-07-29-160525-160426'], ['listener/session9/Camera-2024-07-30-123234-123305', 'listener/session9/Camera-2024-07-09-104540-104439', 'listener/session9/Camera-2024-07-16-152105-152147', 'listener/session9/Camera-2024-07-11-161602-161527']], 'valid_frames': 3000, 'seconds': 16.98011803627014, 'task_components': {'valid': 1.04587984085083, 'cover': 1.0466716289520264, 'paired': 1.155303955078125, 'ccc_cost': 0.9965940713882446, 'sdtw_cost': 0.3244011104106903}, 'FM_gradient': 0.6222214102745056, 'task_gradient': 0.4792310893535614, 'dyn_gradient': 1.1933032274246216, 'FM_task_cosine': 0.08056127279996872}
T0-task 300 {'phase_step': 300, 'global_step': 12300, 'FM': 0.49469271302223206, 'task': 1.6099169254302979, 'dynamic': 0.4496934115886688, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.3200268745422363, 'gradient_norm': 2.9305782318115234, 'source_indices': [1016, 1026, 1053, 1048], 'crop_start': [1640, 2637, 1349, 823], 'slots': [0, 1, 1, 1], 'target_ids': [['listener/session21/Camera-2024-07-22-111042-111140', 'listener/session21/Camera-2024-07-09-142938-142853', 'listener/session21/Camera-2024-10-23-155518-155524', 'listener/session21/Camera-2024-07-17-121257-121235'], ['listener/session21/Camera-2024-07-26-103222-103252', 'listener/session21/Camera-2024-10-14-151541-151421', 'listener/session21/Camera-2024-07-31-110521-110601', 'listener/session21/Camera-2024-07-24-103011-103000'], ['listener/session21/Camera-2024-10-21-112420-112230', 'listener/session21/Camera-2024-07-11-134401-134311', 'listener/session21/Camera-2024-07-11-103159-103100', 'listener/session21/Camera-2024-07-09-134253-134210'], ['listener/session21/Camera-2024-10-14-161029-160925', 'listener/session21/Camera-2024-10-22-103728-103815', 'listener/session21/Camera-2024-07-30-154819-154923', 'listener/session21/Camera-2024-07-31-152258-152337']], 'valid_frames': 3000, 'seconds': 16.86227250099182, 'task_components': {'valid': 1.0552748441696167, 'cover': 1.05615234375, 'paired': 1.1624157428741455, 'ccc_cost': 1.0001031160354614, 'sdtw_cost': 0.37004387378692627}, 'FM_gradient': 2.8040380477905273, 'task_gradient': 0.6048697233200073, 'dyn_gradient': 0.6538630723953247, 'FM_task_cosine': 0.06638766825199127}
T0-task 400 {'phase_step': 400, 'global_step': 12400, 'FM': 0.3023343086242676, 'task': 1.6009151935577393, 'dynamic': 0.4340096116065979, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.117462158203125, 'gradient_norm': 1.0485074520111084, 'source_indices': [1148, 1072, 1096, 1137], 'crop_start': [294, 13, 364, 111], 'slots': [1, 2, 0, 2], 'target_ids': [['listener/session3/Camera-2024-10-21-112420-112230', 'listener/session3/Camera-2024-06-26-151459-151413', 'listener/session3/Camera-2024-07-29-150955-150932', 'listener/session3/Camera-2024-10-15-111253-111325'], ['listener/session3/Camera-2024-06-28-103912-104008', 'listener/session3/Camera-2024-07-11-142837-142758', 'listener/session3/Camera-2024-07-11-161602-161527', 'listener/session3/Camera-2024-07-16-160716-160749'], ['listener/session3/Camera-2024-07-11-111326-111141', 'listener/session3/Camera-2024-07-31-152258-152337', 'listener/session3/Camera-2024-07-11-142837-142758', 'listener/session3/Camera-2024-07-09-111741-111806'], ['listener/session3/Camera-2024-07-31-152258-152337', 'listener/session3/Camera-2024-07-19-143058-143036', 'listener/session3/Camera-2024-07-10-134814-134720', 'listener/session3/Camera-2024-10-22-103728-103815']], 'valid_frames': 3000, 'seconds': 16.888336181640625, 'task_components': {'valid': 1.0396184921264648, 'cover': 1.069610357284546, 'paired': 1.1755762100219727, 'ccc_cost': 0.9867327213287354, 'sdtw_cost': 0.5516491532325745}, 'FM_gradient': 0.5361726880073547, 'task_gradient': 0.7468885183334351, 'dyn_gradient': 0.506406843662262, 'FM_task_cosine': 0.10436230897903442}
T0-task 500 {'phase_step': 500, 'global_step': 12500, 'FM': 0.18142582476139069, 'task': 1.6104564666748047, 'dynamic': 0.418582558631897, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.0073719024658203, 'gradient_norm': 0.7278980612754822, 'source_indices': [1325, 1280, 1338, 1310], 'crop_start': [217, 538, 423, 11], 'slots': [3, 2, 1, 0], 'target_ids': [['listener/session5/Camera-2024-07-29-163415-163339', 'listener/session5/Camera-2024-07-04-112307-112347', 'listener/session5/Camera-2024-06-26-160214-160213', 'listener/session5/Camera-2024-10-23-151539-151613'], ['listener/session5/Camera-2024-07-09-111741-111806', 'listener/session5/Camera-2024-07-22-155059-155140', 'listener/session5/Camera-2024-07-11-161602-161527', 'listener/session5/Camera-2024-07-22-132508-132549'], ['listener/session5/Camera-2024-10-14-135007-134930', 'listener/session5/Camera-2024-06-28-112322-112419', 'listener/session5/Camera-2024-10-15-111253-111325', 'listener/session5/Camera-2024-10-21-103126-103143'], ['listener/session5/Camera-2024-07-22-143349-143428', 'listener/session5/Camera-2024-07-30-154819-154923', 'listener/session5/Camera-2024-07-08-120627-120613', 'listener/session5/Camera-2024-07-09-111741-111806']], 'valid_frames': 3000, 'seconds': 16.850611448287964, 'task_components': {'valid': 1.0530521869659424, 'cover': 1.056823492050171, 'paired': 1.1727936267852783, 'ccc_cost': 0.9984408617019653, 'sdtw_cost': 0.39066994190216064}, 'FM_gradient': 0.33449456095695496, 'task_gradient': 0.6028550863265991, 'dyn_gradient': 0.41382887959480286, 'FM_task_cosine': -0.10770930349826813}
T0-task 600 {'phase_step': 600, 'global_step': 12600, 'FM': 0.5071096420288086, 'task': 1.621307373046875, 'dynamic': 0.28743526339530945, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.345358371734619, 'gradient_norm': 1.30231511592865, 'source_indices': [1527, 1522, 1509, 1536], 'crop_start': [161, 29, 2444, 1208], 'slots': [2, 3, 0, 1], 'target_ids': [['listener/session7/Camera-2024-07-30-123234-123305', 'listener/session7/Camera-2024-07-26-103222-103252', 'listener/session7/Camera-2024-07-30-110806-110844', 'listener/session7/Camera-2024-08-08-153226-153307'], ['listener/session7/Camera-2024-07-29-150955-150932', 'listener/session7/Camera-2024-07-22-093331-093420', 'listener/session7/Camera-2024-10-22-161742-161747', 'listener/session7/Camera-2024-10-15-102854-102945'], ['listener/session7/Camera-2024-07-22-143349-143428', 'listener/session7/Camera-2024-07-24-095443-095420', 'listener/session7/Camera-2024-07-08-151240-151227', 'listener/session7/Camera-2024-07-09-111741-111806'], ['listener/session7/Camera-2024-07-31-172208-172241', 'listener/session7/Camera-2024-07-11-094209-094215', 'listener/session7/Camera-2024-07-24-110700-110644', 'listener/session7/Camera-2024-10-22-103728-103815']], 'valid_frames': 3000, 'seconds': 16.772557735443115, 'task_components': {'valid': 1.06742262840271, 'cover': 1.0693886280059814, 'paired': 1.146150827407837, 'ccc_cost': 0.9974493980407715, 'sdtw_cost': 0.4862923324108124}, 'FM_gradient': 0.747559666633606, 'task_gradient': 0.8541421890258789, 'dyn_gradient': 0.2785331904888153, 'FM_task_cosine': 0.13765838742256165}
T0-task 700 {'phase_step': 700, 'global_step': 12700, 'FM': 0.2955840229988098, 'task': 1.6194323301315308, 'dynamic': 0.6417091488838196, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.131706953048706, 'gradient_norm': 0.9878862500190735, 'source_indices': [231, 253, 205, 276], 'crop_start': [381, 902, 204, 1655], 'slots': [2, 2, 1, 2], 'target_ids': [['listener/session11/Camera-2024-07-16-152105-152147', 'listener/session11/Camera-2024-10-21-112420-112230', 'listener/session11/Camera-2024-07-09-104540-104439', 'listener/session11/Camera-2024-07-11-094209-094215'], ['listener/session11/Camera-2024-07-29-150955-150932', 'listener/session11/Camera-2024-07-09-100427-100257', 'listener/session11/Camera-2024-10-21-121606-121455', 'listener/session11/Camera-2024-10-22-103728-103815'], ['listener/session11/Camera-2024-07-04-103805-103835', 'listener/session11/Camera-2024-07-17-112836-112807', 'listener/session11/Camera-2024-07-22-155059-155140', 'listener/session11/Camera-2024-07-09-142938-142853'], ['listener/session11/Camera-2024-10-21-121606-121455', 'listener/session11/Camera-2024-07-22-135929-140003', 'listener/session11/Camera-2024-07-22-111042-111140', 'listener/session11/Camera-2024-07-08-143054-143035']], 'valid_frames': 3000, 'seconds': 16.94494938850403, 'task_components': {'valid': 1.0581578016281128, 'cover': 1.0614545345306396, 'paired': 1.1836438179016113, 'ccc_cost': 1.0015429258346558, 'sdtw_cost': 0.3899354934692383}, 'FM_gradient': 0.4492877125740051, 'task_gradient': 0.770747721195221, 'dyn_gradient': 0.4548055827617645, 'FM_task_cosine': 0.013238332234323025}
T0-task 800 {'phase_step': 800, 'global_step': 12800, 'FM': 0.661152720451355, 'task': 1.5770089626312256, 'dynamic': 0.5910139083862305, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.4491758346557617, 'gradient_norm': 2.8601696491241455, 'source_indices': [1395, 1408, 1457, 1458], 'crop_start': [104, 3539, 2448, 3456], 'slots': [2, 0, 0, 0], 'target_ids': [['listener/session6/Camera-2024-07-11-161602-161527', 'listener/session6/Camera-2024-06-26-122334-122317', 'listener/session6/Camera-2024-10-15-094459-094548', 'listener/session6/Camera-2024-07-31-110521-110601'], ['listener/session6/Camera-2024-07-22-132508-132549', 'listener/session6/Camera-2024-10-22-153434-153503', 'listener/session6/Camera-2024-07-24-095443-095420', 'listener/session6/Camera-2024-10-14-151541-151421'], ['listener/session6/Camera-2024-10-23-134159-134313', 'listener/session6/Camera-2024-06-28-120152-120208', 'listener/session6/Camera-2024-07-24-110700-110644', 'listener/session6/Camera-2024-07-17-104338-104241'], ['listener/session6/Camera-2024-10-23-143154-143223', 'listener/session6/Camera-2024-07-10-142319-142203', 'listener/session6/Camera-2024-07-24-095443-095420', 'listener/session6/Camera-2024-07-29-135410-135329']], 'valid_frames': 3000, 'seconds': 16.86382532119751, 'task_components': {'valid': 1.0386271476745605, 'cover': 1.0426639318466187, 'paired': 1.1108629703521729, 'ccc_cost': 0.9945629835128784, 'sdtw_cost': 0.310214638710022}, 'FM_gradient': 2.386533737182617, 'task_gradient': 0.9448927044868469, 'dyn_gradient': 1.3770979642868042, 'FM_task_cosine': 0.26152122020721436}
T0-task 900 {'phase_step': 900, 'global_step': 12900, 'FM': 0.3285432457923889, 'task': 1.6296992301940918, 'dynamic': 0.4731738567352295, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.17630672454834, 'gradient_norm': 1.0792821645736694, 'source_indices': [1124, 1132, 1150, 1098], 'crop_start': [0, 56, 87, 100], 'slots': [3, 3, 0, 0], 'target_ids': [['listener/session3/Camera-2024-07-26-120608-120642', 'listener/session3/Camera-2024-07-08-143054-143035', 'listener/session3/Camera-2024-10-22-123739-123750', 'listener/session3/Camera-2024-07-29-160525-160426'], ['listener/session3/Camera-2024-07-30-154819-154923', 'listener/session3/Camera-2024-07-16-152105-152147', 'listener/session3/Camera-2024-07-04-103805-103835', 'listener/session3/Camera-2024-07-11-094209-094215'], ['listener/session3/Camera-2024-10-21-125749-125756', 'listener/session3/Camera-2024-10-22-153434-153503', 'listener/session3/Camera-2024-07-09-134253-134210', 'listener/session3/Camera-2024-10-22-123739-123750'], ['listener/session3/Camera-2024-07-11-134401-134311', 'listener/session3/Camera-2024-07-29-135410-135329', 'listener/session3/Camera-2024-07-31-152258-152337', 'listener/session3/Camera-2024-06-26-093649-093642']], 'valid_frames': 2997, 'seconds': 17.019620418548584, 'task_components': {'valid': 1.0624197721481323, 'cover': 1.0675742626190186, 'paired': 1.2015440464019775, 'ccc_cost': 0.9965848922729492, 'sdtw_cost': 0.4700307250022888}, 'FM_gradient': 0.5527459383010864, 'task_gradient': 0.8053576946258545, 'dyn_gradient': 0.7693372964859009, 'FM_task_cosine': 0.025295119732618332}
T0-task 1000 {'phase_step': 1000, 'global_step': 13000, 'FM': 0.23584961891174316, 'task': 1.5711290836334229, 'dynamic': 0.36746498942375183, 'lambda_task': 1.1338064670562744, 'lambda_dyn': 0.0, 'loss': 2.0172059535980225, 'gradient_norm': 0.965005099773407, 'source_indices': [1457, 1431, 1385, 1389], 'crop_start': [1581, 2720, 1287, 2940], 'slots': [3, 1, 1, 2], 'target_ids': [['listener/session6/Camera-2024-10-23-134159-134313', 'listener/session6/Camera-2024-07-29-160525-160426', 'listener/session6/Camera-2024-06-28-120152-120208', 'listener/session6/Camera-2024-07-11-094209-094215'], ['listener/session6/Camera-2024-07-30-161637-161715', 'listener/session6/Camera-2024-07-08-120627-120613', 'listener/session6/Camera-2024-07-11-154330-154400', 'listener/session6/Camera-2024-07-31-152258-152337'], ['listener/session6/Camera-2024-07-10-142319-142203', 'listener/session6/Camera-2024-07-09-104540-104439', 'listener/session6/Camera-2024-06-28-120152-120208', 'listener/session6/Camera-2024-07-29-163415-163339'], ['listener/session6/Camera-2024-07-11-103159-103100', 'listener/session6/Camera-2024-07-30-161637-161715', 'listener/session6/Camera-2024-07-17-121257-121235', 'listener/session6/Camera-2024-07-04-120006-120008']], 'valid_frames': 3000, 'seconds': 16.775163412094116, 'task_components': {'valid': 1.0386343002319336, 'cover': 1.0417897701263428, 'paired': 1.0881893634796143, 'ccc_cost': 1.0017821788787842, 'sdtw_cost': 0.2614040970802307}, 'FM_gradient': 0.5893809795379639, 'task_gradient': 0.6756970286369324, 'dyn_gradient': 0.6867608428001404, 'FM_task_cosine': -0.0033876015804708004}
