/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
BANK 16 RM_fit_0001 P2
BANK 32 RM_fit_0001 N0
BANK 48 RM_fit_0003 P2
BANK 64 RM_fit_0003 N0
BANK 80 RM_fit_0005 P2
BANK 96 RM_fit_0005 N0
BANK 112 RM_fit_0007 P2
BANK 128 RM_fit_0007 N0
BANK 144 RM_fit_0009 P2
BANK 160 RM_fit_0009 N0
BANK 176 RM_fit_0011 P2
BANK 192 RM_fit_0011 N0
BANK 208 RM_fit_0013 P2
BANK 224 RM_fit_0013 N0
BANK 240 RM_fit_0015 P2
BANK 256 RM_fit_0015 N0
BANK 272 RM_fit_0017 P2
BANK 288 RM_fit_0017 N0
BANK 304 RM_fit_0019 P2
BANK 320 RM_fit_0019 N0
BANK 336 RM_fit_0021 P2
BANK 352 RM_fit_0021 N0
BANK 368 RM_fit_0023 P2
BANK 384 RM_fit_0023 N0
BANK 400 RM_fit_0025 P2
BANK 416 RM_fit_0025 N0
BANK 432 RM_fit_0027 P2
BANK 448 RM_fit_0027 N0
BANK 464 RM_fit_0029 P2
BANK 480 RM_fit_0029 N0
BANK 496 RM_fit_0031 P2
BANK 512 RM_fit_0031 N0
BANK 528 RM_fit_0033 P2
BANK 544 RM_fit_0033 N0
BANK 560 RM_fit_0035 P2
BANK 576 RM_fit_0035 N0
BANK 592 RM_fit_0037 P2
BANK 608 RM_fit_0037 N0
BANK 624 RM_fit_0039 P2
BANK 640 RM_fit_0039 N0
BANK 656 RM_fit_0041 P2
BANK 672 RM_fit_0041 N0
BANK 688 RM_fit_0043 P2
BANK 704 RM_fit_0043 N0
BANK 720 RM_fit_0045 P2
BANK 736 RM_fit_0045 N0
BANK 752 RM_fit_0047 P2
BANK 768 RM_fit_0047 N0
BANK 784 RM_fit_0049 P2
BANK 800 RM_fit_0049 N0
BANK 816 RM_fit_0051 P2
BANK 832 RM_fit_0051 N0
BANK 848 RM_fit_0053 P2
BANK 864 RM_fit_0053 N0
BANK 880 RM_fit_0055 P2
BANK 896 RM_fit_0055 N0
BANK 912 RM_fit_0057 P2
BANK 928 RM_fit_0057 N0
BANK 944 RM_fit_0059 P2
BANK 960 RM_fit_0059 N0
BANK 976 RM_fit_0061 P2
BANK 992 RM_fit_0061 N0
BANK 1008 RM_fit_0063 P2
BANK 1024 RM_fit_0063 N0
BANK 1040 RM_fit_0065 P2
BANK 1056 RM_fit_0065 N0
BANK 1072 RM_fit_0067 P2
BANK 1088 RM_fit_0067 N0
BANK 1104 RM_fit_0069 P2
BANK 1120 RM_fit_0069 N0
BANK 1136 RM_fit_0071 P2
BANK 1152 RM_fit_0071 N0
BANK 1168 RM_fit_0073 P2
BANK 1184 RM_fit_0073 N0
BANK 1200 RM_fit_0075 P2
BANK 1216 RM_fit_0075 N0
BANK 1232 RM_fit_0077 P2
BANK 1248 RM_fit_0077 N0
BANK 1264 RM_fit_0079 P2
BANK 1280 RM_fit_0079 N0
BANK 1296 RM_fit_0081 P2
BANK 1312 RM_fit_0081 N0
BANK 1328 RM_fit_0083 P2
BANK 1344 RM_fit_0083 N0
BANK 1360 RM_fit_0085 P2
BANK 1376 RM_fit_0085 N0
BANK 1392 RM_fit_0087 P2
BANK 1408 RM_fit_0087 N0
BANK 1424 RM_fit_0089 P2
BANK 1440 RM_fit_0089 N0
BANK 1456 RM_fit_0091 P2
BANK 1472 RM_fit_0091 N0
BANK 1488 RM_fit_0093 P2
BANK 1504 RM_fit_0093 N0
BANK 1520 RM_fit_0095 P2
BANK 1536 RM_fit_0095 N0
BANK 1552 RM_fit_0097 P2
BANK 1568 RM_fit_0097 N0
BANK 1584 RM_fit_0099 P2
BANK 1600 RM_fit_0099 N0
BANK 1616 RM_fit_0101 P2
BANK 1632 RM_fit_0101 N0
BANK 1648 RM_fit_0103 P2
BANK 1664 RM_fit_0103 N0
BANK 1680 RM_fit_0105 P2
BANK 1696 RM_fit_0105 N0
BANK 1712 RM_fit_0107 P2
BANK 1728 RM_fit_0107 N0
BANK 1744 RM_fit_0109 P2
BANK 1760 RM_fit_0109 N0
BANK 1776 RM_fit_0111 P2
BANK 1792 RM_fit_0111 N0
BANK 1808 RM_fit_0113 P2
BANK 1824 RM_fit_0113 N0
BANK 1840 RM_fit_0115 P2
BANK 1856 RM_fit_0115 N0
BANK 1872 RM_fit_0117 P2
BANK 1888 RM_fit_0117 N0
BANK 1904 RM_fit_0119 P2
BANK 1920 RM_fit_0119 N0
BANK 1936 RM_fit_0121 P2
BANK 1952 RM_fit_0121 N0
BANK 1968 RM_fit_0123 P2
BANK 1984 RM_fit_0123 N0
BANK 2000 RM_fit_0125 P2
BANK 2016 RM_fit_0125 N0
BANK 2032 RM_fit_0127 P2
BANK 2048 RM_fit_0127 N0
BANK 2064 RM_fit_0129 P2
BANK 2080 RM_fit_0129 N0
BANK 2096 RM_fit_0131 P2
BANK 2112 RM_fit_0131 N0
BANK 2128 RM_fit_0133 P2
BANK 2144 RM_fit_0133 N0
BANK 2160 RM_fit_0135 P2
BANK 2176 RM_fit_0135 N0
BANK 2192 RM_fit_0137 P2
BANK 2208 RM_fit_0137 N0
BANK 2224 RM_fit_0139 P2
BANK 2240 RM_fit_0139 N0
BANK 2256 RM_fit_0141 P2
BANK 2272 RM_fit_0141 N0
BANK 2288 RM_fit_0143 P2
BANK 2304 RM_fit_0143 N0
BANK 2320 RM_fit_0145 P2
BANK 2336 RM_fit_0145 N0
BANK 2352 RM_fit_0147 P2
BANK 2368 RM_fit_0147 N0
BANK 2384 RM_fit_0149 P2
BANK 2400 RM_fit_0149 N0
BANK 2416 RM_fit_0151 P2
BANK 2432 RM_fit_0151 N0
BANK 2448 RM_fit_0153 P2
BANK 2464 RM_fit_0153 N0
BANK 2480 RM_fit_0155 P2
BANK 2496 RM_fit_0155 N0
BANK 2512 RM_fit_0157 P2
BANK 2528 RM_fit_0157 N0
BANK 2544 RM_fit_0159 P2
BANK 2560 RM_fit_0159 N0
BANK 2576 RM_fit_0161 P2
BANK 2592 RM_fit_0161 N0
BANK 2608 RM_fit_0163 P2
BANK 2624 RM_fit_0163 N0
BANK 2640 RM_fit_0165 P2
BANK 2656 RM_fit_0165 N0
BANK 2672 RM_fit_0167 P2
BANK 2688 RM_fit_0167 N0
BANK 2704 RM_fit_0169 P2
BANK 2720 RM_fit_0169 N0
BANK 2736 RM_fit_0171 P2
BANK 2752 RM_fit_0171 N0
BANK 2768 RM_fit_0173 P2
BANK 2784 RM_fit_0173 N0
BANK 2800 RM_fit_0175 P2
BANK 2816 RM_fit_0175 N0
BANK 2832 RM_fit_0177 P2
BANK 2848 RM_fit_0177 N0
BANK 2864 RM_fit_0179 P2
BANK 2880 RM_fit_0179 N0
BANK 2896 RM_fit_0181 P2
BANK 2912 RM_fit_0181 N0
BANK 2928 RM_fit_0183 P2
BANK 2944 RM_fit_0183 N0
BANK 2960 RM_fit_0185 P2
BANK 2976 RM_fit_0185 N0
BANK 2992 RM_fit_0187 P2
BANK 3008 RM_fit_0187 N0
BANK 3024 RM_fit_0189 P2
BANK 3040 RM_fit_0189 N0
BANK 3056 RM_fit_0191 P2
BANK 3072 RM_fit_0191 N0
BANK 3088 RM_fit_0193 P2
BANK 3104 RM_fit_0193 N0
BANK 3120 RM_fit_0195 P2
BANK 3136 RM_fit_0195 N0
BANK 3152 RM_fit_0197 P2
BANK 3168 RM_fit_0197 N0
BANK 3184 RM_fit_0199 P2
BANK 3200 RM_fit_0199 N0
BANK 3216 RM_fit_0201 P2
BANK 3232 RM_fit_0201 N0
BANK 3248 RM_fit_0203 P2
BANK 3264 RM_fit_0203 N0
BANK 3280 RM_fit_0205 P2
BANK 3296 RM_fit_0205 N0
BANK 3312 RM_fit_0207 P2
BANK 3328 RM_fit_0207 N0
BANK 3344 RM_fit_0209 P2
BANK 3360 RM_fit_0209 N0
BANK 3376 RM_fit_0211 P2
BANK 3392 RM_fit_0211 N0
BANK 3408 RM_fit_0213 P2
BANK 3424 RM_fit_0213 N0
BANK 3440 RM_fit_0215 P2
BANK 3456 RM_fit_0215 N0
BANK 3472 RM_fit_0217 P2
BANK 3488 RM_fit_0217 N0
BANK 3504 RM_fit_0219 P2
BANK 3520 RM_fit_0219 N0
BANK 3536 RM_fit_0221 P2
BANK 3552 RM_fit_0221 N0
BANK 3568 RM_fit_0223 P2
BANK 3584 RM_fit_0223 N0
BANK 3600 RM_fit_0225 P2
BANK 3616 RM_fit_0225 N0
BANK 3632 RM_fit_0227 P2
BANK 3648 RM_fit_0227 N0
BANK 3664 RM_fit_0229 P2
BANK 3680 RM_fit_0229 N0
BANK 3696 RM_fit_0231 P2
BANK 3712 RM_fit_0231 N0
BANK 3728 RM_fit_0233 P2
BANK 3744 RM_fit_0233 N0
BANK 3760 RM_fit_0235 P2
BANK 3776 RM_fit_0235 N0
BANK 3792 RM_fit_0237 P2
BANK 3808 RM_fit_0237 N0
BANK 3824 RM_fit_0239 P2
BANK 3840 RM_fit_0239 N0
BANK 3856 RM_fit_0241 P2
BANK 3872 RM_fit_0241 N0
BANK 3888 RM_fit_0243 P2
BANK 3904 RM_fit_0243 N0
BANK 3920 RM_fit_0245 P2
BANK 3936 RM_fit_0245 N0
BANK 3952 RM_fit_0247 P2
BANK 3968 RM_fit_0247 N0
BANK 3984 RM_fit_0249 P2
BANK 4000 RM_fit_0249 N0
BANK 4016 RM_fit_0251 P2
BANK 4032 RM_fit_0251 N0
BANK 4048 RM_fit_0253 P2
BANK 4064 RM_fit_0253 N0
BANK 4080 RM_fit_0255 P2
BANK 4096 RM_fit_0255 N0
BANK 4112 RM_cal_0001 P2
BANK 4128 RM_cal_0001 N0
BANK 4144 RM_cal_0003 P2
BANK 4160 RM_cal_0003 N0
BANK 4176 RM_cal_0005 P2
BANK 4192 RM_cal_0005 N0
BANK 4208 RM_cal_0007 P2
BANK 4224 RM_cal_0007 N0
BANK 4240 RM_cal_0009 P2
BANK 4256 RM_cal_0009 N0
BANK 4272 RM_cal_0011 P2
BANK 4288 RM_cal_0011 N0
BANK 4304 RM_cal_0013 P2
BANK 4320 RM_cal_0013 N0
BANK 4336 RM_cal_0015 P2
BANK 4352 RM_cal_0015 N0
BANK 4368 RM_cal_0017 P2
BANK 4384 RM_cal_0017 N0
BANK 4400 RM_cal_0019 P2
BANK 4416 RM_cal_0019 N0
