Traceback (most recent call last):
  File "/home/zhengshiyi/.local/share/uv/python/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/home/zhengshiyi/.local/share/uv/python/cpython-3.10.19-linux-x86_64-gnu/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 58, in <module>
    p=argparse.ArgumentParser();p.add_argument('--arm',choices=ARMS,required=True);main(p.parse_args().arm)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 38, in main
    batch=active[i:i+4];d=difference(model,data,batch,fam);w=d.new_tensor([r['weight'] for r in batch]);loss=(F.softplus(-d)*w).sum()/den;assert torch.isfinite(loss);(mult*loss).backward();value+=float(loss.detach())
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 12, in difference
    a=score(model,data,rows,'A');b=score(model,data,rows,'B');d=a-b;return d[:,0] if family in ['base_context','weak_context'] else d[:,1] if family=='temporal' else d.sum(-1)
  File "/home/zhengshiyi/react2025_new/reaction_reward/train.py", line 10, in score
    def score(model,data,rows,key):return model(*data.batch(rows,key))
  File "/home/zhengshiyi/react2025_new/reaction_reward/data.py", line 23, in batch
    n=r['n'];x,t=self.source(r['source'],r['start'],n);y,u=self.target(r[which],n);assert len(x)==len(y)==n;xs.append(x);ys.append(y);xt.append(t);yt.append(u);ns.append(n)
AssertionError
RM-Gen step 1 loss {'base_context': 0.6968291699886322, 'temporal': None, 'weak_context': None, 'generated': 0.5641064047813416}
RM-Gen step 25 loss {'base_context': 0.6448722407221794, 'temporal': None, 'weak_context': 0.6831823587417603, 'generated': 0.5293118953704834}
RM-Gen step 50 loss {'base_context': 0.7028040140867233, 'temporal': None, 'weak_context': 0.5369130969047546, 'generated': 0.6246764063835144}
RM-Gen step 75 loss {'base_context': 0.6774502098560333, 'temporal': None, 'weak_context': 0.6680433750152588, 'generated': 0.3927093744277954}
RM-Gen step 100 loss {'base_context': 0.7101751416921616, 'temporal': None, 'weak_context': 0.4588388204574585, 'generated': 0.4713023900985718}
RM-Gen step 125 loss {'base_context': 0.7076468169689178, 'temporal': 0.687686026096344, 'weak_context': 0.7612025737762451, 'generated': 0.5890605449676514}
RM-Gen step 150 loss {'base_context': 0.6755130589008331, 'temporal': None, 'weak_context': 0.6757087707519531, 'generated': 0.7982834577560425}
RM-Gen step 175 loss {'base_context': 0.6939078718423843, 'temporal': None, 'weak_context': 0.559532105922699, 'generated': 0.4890425205230713}
RM-Gen step 200 loss {'base_context': 0.6738674752414227, 'temporal': None, 'weak_context': 0.8241822719573975, 'generated': 0.5318610668182373}
RM-Gen step 225 loss {'base_context': 0.3729676604270935, 'temporal': None, 'weak_context': 0.1773354709148407, 'generated': 0.06612459570169449}
RM-Gen step 250 loss {'base_context': 0.14045580103993416, 'temporal': None, 'weak_context': 0.4858679473400116, 'generated': 2.604437828063965}
RM-Gen step 275 loss {'base_context': 0.14121712185442448, 'temporal': None, 'weak_context': 0.8349334001541138, 'generated': 1.8102657794952393}
RM-Gen step 300 loss {'base_context': 0.37261196598410606, 'temporal': None, 'weak_context': 0.3253980576992035, 'generated': 0.7243852019309998}
RM-Gen step 325 loss {'base_context': 0.15082282572984695, 'temporal': None, 'weak_context': 0.12429238110780716, 'generated': 0.5751694440841675}
RM-Gen step 350 loss {'base_context': 0.5648902058601379, 'temporal': None, 'weak_context': 0.6063756346702576, 'generated': 0.6047385931015015}
RM-Gen step 375 loss {'base_context': 0.10294266045093536, 'temporal': 0.8490062952041626, 'weak_context': 0.11162243783473969, 'generated': 0.53765869140625}
